Death by Date of Death,Total Cases by Date of Specimen collection,Total Molecular Cases by Date of Specimen Collection,County,Date,Total Antigen Cases by Date of Specimen Collection
0,3,9,Craven,2021-07-15,3
0,3,9,Craven,2021-07-16,3
0,3,13,Craven,2021-07-21,3
0,3,7,Craven,2021-07-23,3
0,3,8,Craven,2021-07-25,3
0,3,7,Craven,2021-08-08,3
0,3,15,Craven,2021-09-17,3
0,3,0,Craven,2021-09-18,3
0,3,36,Cumberland,2021-05-02,3
0,3,39,Cumberland,2021-05-12,3
0,3,28,Cumberland,2021-05-26,3
0,3,11,Cumberland,2021-06-19,3
0,3,15,Cumberland,2021-06-22,3
0,3,6,Cumberland,2021-09-18,3
0,3,8,Currituck,2021-07-29,3
0,3,11,Currituck,2021-08-17,3
0,3,14,Currituck,2021-08-19,3
0,3,10,Currituck,2021-08-21,3
0,3,16,Currituck,2021-08-26,3
0,3,13,Currituck,2021-09-03,3
0,3,8,Currituck,2021-09-04,3
0,3,23,Currituck,2021-09-07,3
0,3,15,Currituck,2021-09-09,3
0,3,6,Currituck,2021-09-15,3
0,3,13,Davidson,2021-03-28,3
0,3,21,Davidson,2021-04-08,3
0,3,14,Davidson,2021-04-10,3
0,3,15,Davidson,2021-04-11,3
0,3,29,Davidson,2021-04-15,3
0,3,37,Davidson,2021-05-05,3
0,3,12,Davidson,2021-05-14,3
0,3,21,Davidson,2021-05-18,3
0,3,5,Davidson,2021-06-09,3
0,3,4,Davidson,2021-07-06,3
0,3,1,Davidson,2021-07-07,3
0,3,56,Davidson,2021-07-30,3
0,3,22,Davidson,2021-09-18,3
0,3,7,Davie,2021-03-24,3
0,3,11,Davie,2021-03-29,3
0,3,5,Davie,2021-04-08,3
0,3,2,Davie,2021-04-18,3
0,3,1,Davie,2021-05-04,3
0,3,3,Davie,2021-05-06,3
0,3,4,Davie,2021-05-07,3
0,3,0,Davie,2021-07-18,3
0,3,0,Davie,2021-07-19,3
0,3,11,Davie,2021-07-26,3
0,3,8,Davie,2021-07-31,3
0,3,15,Davie,2021-08-03,3
0,3,21,Davie,2021-08-18,3
0,3,40,Davie,2021-09-08,3
0,3,3,Davie,2021-09-18,3
0,3,8,Duplin,2021-03-25,3
0,3,4,Duplin,2021-03-26,3
0,3,2,Duplin,2021-04-02,3
0,3,0,Duplin,2021-04-04,3
0,3,4,Duplin,2021-04-15,3
0,3,7,Duplin,2021-04-16,3
0,3,6,Duplin,2021-04-21,3
0,3,1,Duplin,2021-04-24,3
0,3,2,Duplin,2021-05-24,3
0,3,5,Duplin,2021-06-24,3
0,3,4,Duplin,2021-06-28,3
0,3,6,Duplin,2021-07-07,3
0,3,2,Duplin,2021-07-08,3
0,3,8,Duplin,2021-07-10,3
0,3,3,Duplin,2021-07-15,3
0,3,9,Duplin,2021-07-25,3
0,3,14,Duplin,2021-09-18,3
0,3,32,Durham,2021-03-27,3
0,3,30,Durham,2021-03-28,3
0,3,25,Durham,2021-04-10,3
0,3,54,Durham,2021-04-13,3
0,3,50,Durham,2021-04-20,3
0,3,25,Durham,2021-04-30,3
0,3,24,Durham,2021-05-06,3
0,3,20,Durham,2021-05-12,3
0,3,16,Durham,2021-05-18,3
0,3,9,Durham,2021-05-19,3
0,3,9,Durham,2021-07-11,3
0,3,19,Durham,2021-07-25,3
0,3,76,Durham,2021-08-02,3
0,3,105,Durham,2021-08-20,3
0,3,62,Durham,2021-08-29,3
0,3,5,Edgecombe,2021-04-25,3
0,3,2,Edgecombe,2021-05-20,3
0,3,16,Edgecombe,2021-07-29,3
0,3,41,Edgecombe,2021-08-24,3
0,3,38,Edgecombe,2021-09-16,3
0,3,31,Forsyth,2021-04-18,3
0,3,8,Forsyth,2021-06-03,3
0,3,7,Forsyth,2021-06-04,3
0,3,16,Forsyth,2021-06-21,3
0,3,3,Forsyth,2021-06-30,3
0,3,8,Forsyth,2021-07-01,3
0,3,10,Forsyth,2021-07-10,3
0,3,8,Forsyth,2021-07-11,3
0,3,23,Franklin,2021-03-25,3
0,3,17,Franklin,2021-03-29,3
0,3,16,Franklin,2021-03-30,3
0,3,11,Franklin,2021-04-01,3
0,3,8,Franklin,2021-04-11,3
0,3,10,Franklin,2021-04-15,3
0,3,26,Franklin,2021-04-16,3
0,3,13,Franklin,2021-04-21,3
0,3,18,Franklin,2021-05-05,3
0,3,5,Franklin,2021-05-08,3
0,3,12,Franklin,2021-05-12,3
0,3,3,Franklin,2021-06-24,3
0,3,20,Franklin,2021-08-06,3
0,3,29,Franklin,2021-08-12,3
0,3,14,Franklin,2021-08-22,3
0,3,11,Franklin,2021-09-12,3
0,3,26,Gaston,2021-05-06,3
0,3,16,Gaston,2021-05-14,3
0,3,41,Gaston,2021-07-20,3
0,3,15,Gaston,2021-09-18,3
0,3,0,Graham,2021-06-17,3
0,3,0,Graham,2021-06-21,3
0,3,1,Graham,2021-07-22,3
0,3,1,Graham,2021-07-29,3
0,3,2,Graham,2021-08-03,3
0,3,0,Graham,2021-08-04,3
0,3,1,Graham,2021-08-07,3
0,3,4,Graham,2021-09-12,3
0,3,0,Graham,2021-09-17,3
0,3,10,Granville,2021-03-26,3
0,3,10,Granville,2021-03-27,3
0,3,4,Granville,2021-03-30,3
0,3,15,Granville,2021-04-19,3
0,3,3,Granville,2021-04-24,3
0,3,12,Granville,2021-04-26,3
0,3,5,Granville,2021-05-10,3
0,3,1,Granville,2021-05-19,3
0,3,0,Granville,2021-05-25,3
0,3,4,Granville,2021-07-06,3
0,3,16,Granville,2021-08-09,3
0,3,25,Granville,2021-08-12,3
0,3,29,Granville,2021-08-16,3
0,3,32,Granville,2021-08-17,3
0,3,38,Granville,2021-08-18,3
0,3,20,Granville,2021-09-04,3
0,3,1,Greene,2021-06-03,3
0,3,4,Greene,2021-07-28,3
0,3,10,Greene,2021-08-03,3
0,3,31,Greene,2021-08-12,3
0,3,12,Greene,2021-08-13,3
0,3,10,Greene,2021-08-18,3
0,3,6,Greene,2021-08-25,3
0,3,12,Greene,2021-08-27,3
0,3,9,Greene,2021-09-02,3
0,3,25,Guilford,2021-04-04,3
0,3,11,Guilford,2021-06-10,3
0,3,9,Guilford,2021-06-17,3
0,3,12,Guilford,2021-06-24,3
0,3,11,Guilford,2021-07-05,3
0,3,15,Guilford,2021-07-11,3
0,3,17,Halifax,2021-03-30,3
0,3,10,Halifax,2021-04-02,3
0,3,5,Halifax,2021-04-28,3
0,3,3,Halifax,2021-05-04,3
0,3,2,Halifax,2021-05-17,3
0,3,13,Halifax,2021-07-23,3
0,3,2,Halifax,2021-07-24,3
0,3,15,Halifax,2021-07-27,3
0,3,39,Halifax,2021-08-26,3
0,3,30,Halifax,2021-09-03,3
0,3,10,Halifax,2021-09-06,3
0,3,10,Harnett,2021-04-03,3
0,3,16,Harnett,2021-04-30,3
0,3,16,Harnett,2021-05-13,3
0,3,2,Harnett,2021-05-31,3
0,3,6,Harnett,2021-06-08,3
0,3,11,Harnett,2021-06-14,3
0,3,3,Harnett,2021-06-22,3
0,3,10,Harnett,2021-06-28,3
0,3,6,Harnett,2021-07-11,3
0,3,18,Harnett,2021-07-17,3
0,3,40,Harnett,2021-07-25,3
0,3,30,Harnett,2021-07-31,3
0,3,35,Harnett,2021-08-07,3
0,3,45,Harnett,2021-08-28,3
0,3,41,Harnett,2021-09-11,3
0,3,26,Harnett,2021-09-12,3
0,3,5,Haywood,2021-04-03,3
0,3,8,Haywood,2021-04-09,3
0,3,2,Haywood,2021-04-10,3
0,3,3,Haywood,2021-04-13,3
0,3,2,Haywood,2021-04-15,3
0,3,7,Haywood,2021-04-27,3
0,3,0,Haywood,2021-04-28,3
0,3,3,Haywood,2021-05-12,3
0,3,4,Haywood,2021-05-17,3
0,3,3,Haywood,2021-05-21,3
0,3,2,Haywood,2021-05-24,3
0,3,0,Haywood,2021-06-02,3
0,3,1,Haywood,2021-06-04,3
0,3,0,Haywood,2021-06-05,3
0,3,0,Haywood,2021-06-07,3
0,3,2,Haywood,2021-07-11,3
0,3,12,Haywood,2021-07-22,3
0,3,9,Haywood,2021-07-23,3
0,3,33,Haywood,2021-08-18,3
0,3,6,Henderson,2021-04-18,3
0,3,7,Henderson,2021-05-21,3
0,3,3,Henderson,2021-06-03,3
0,3,1,Henderson,2021-06-23,3
0,3,15,Henderson,2021-07-16,3
0,3,10,Henderson,2021-07-18,3
0,3,12,Henderson,2021-07-25,3
0,3,27,Henderson,2021-07-31,3
0,3,1,Henderson,2021-09-18,3
0,3,13,Hertford,2021-08-30,3
0,3,12,Hertford,2021-08-31,3
0,3,22,Hertford,2021-09-01,3
0,3,7,Hoke,2021-03-31,3
0,3,7,Hoke,2021-05-24,3
0,3,6,Hoke,2021-05-26,3
0,3,4,Hoke,2021-05-27,3
0,3,2,Hoke,2021-06-29,3
0,3,2,Hoke,2021-06-30,3
0,3,9,Hoke,2021-07-14,3
0,3,15,Hoke,2021-07-16,3
0,3,20,Hoke,2021-07-19,3
0,3,16,Hoke,2021-07-22,3
0,3,11,Hoke,2021-07-23,3
0,3,5,Hoke,2021-07-24,3
0,3,9,Hoke,2021-08-01,3
0,3,27,Hoke,2021-08-20,3
0,3,14,Hoke,2021-08-28,3
0,3,3,Hyde,2021-04-07,3
0,3,3,Hyde,2021-04-19,3
0,3,6,Iredell,2021-06-04,3
0,3,2,Iredell,2021-06-13,3
0,3,2,Iredell,2021-06-20,3
0,3,5,Iredell,2021-06-25,3
0,3,4,Iredell,2021-07-01,3
0,3,4,Iredell,2021-07-17,3
0,3,3,Jackson,2021-04-06,3
0,3,14,Jackson,2021-07-27,3
0,3,9,Jackson,2021-07-29,3
0,3,24,Jackson,2021-08-05,3
0,3,10,Jackson,2021-08-08,3
0,3,31,Jackson,2021-08-16,3
0,3,25,Jackson,2021-09-03,3
0,3,14,Jackson,2021-09-04,3
0,3,38,Jackson,2021-09-08,3
0,3,14,Jackson,2021-09-14,3
0,3,4,Johnston,2021-05-22,3
0,3,7,Johnston,2021-05-31,3
0,3,7,Johnston,2021-06-10,3
0,3,0,Jones,2021-05-24,3
0,3,4,Jones,2021-07-23,3
0,3,6,Jones,2021-08-18,3
0,3,5,Jones,2021-09-01,3
0,3,0,Jones,2021-09-17,3
0,3,9,Lee,2021-03-29,3
0,3,4,Lee,2021-04-12,3
0,3,5,Lee,2021-04-13,3
0,3,1,Lee,2021-05-07,3
0,3,3,Lee,2021-05-13,3
0,3,9,Lee,2021-05-14,3
0,3,9,Lee,2021-07-13,3
0,3,23,Lee,2021-08-01,3
0,3,26,Lee,2021-09-16,3
0,3,3,Lenoir,2021-03-24,3
0,3,2,Lenoir,2021-03-29,3
0,3,6,Lenoir,2021-04-14,3
0,3,9,Lenoir,2021-04-27,3
0,3,1,Lenoir,2021-05-02,3
0,3,5,Lenoir,2021-05-27,3
0,3,3,Lenoir,2021-05-28,3
0,3,5,Lenoir,2021-06-11,3
0,3,11,Lenoir,2021-07-22,3
0,3,16,Lenoir,2021-08-07,3
0,3,46,Lenoir,2021-08-26,3
0,3,12,Lenoir,2021-09-04,3
0,3,28,Lenoir,2021-09-05,3
0,3,15,Lenoir,2021-09-11,3
0,3,28,Lenoir,2021-09-12,3
0,3,7,Lincoln,2021-04-01,3
0,3,27,Lincoln,2021-04-13,3
0,3,10,Lincoln,2021-05-14,3
0,3,9,Lincoln,2021-05-18,3
0,3,2,Lincoln,2021-05-23,3
0,3,3,Lincoln,2021-06-26,3
0,3,1,Lincoln,2021-07-02,3
0,3,6,Lincoln,2021-07-09,3
0,3,2,Lincoln,2021-07-13,3
0,3,22,Lincoln,2021-07-23,3
0,3,15,Lincoln,2021-07-25,3
0,3,23,Lincoln,2021-08-14,3
0,3,33,Lincoln,2021-08-28,3
0,3,41,Lincoln,2021-09-11,3
0,3,9,Lincoln,2021-09-18,3
0,3,3,Macon,2021-03-26,3
0,3,4,Macon,2021-03-29,3
0,3,1,Macon,2021-04-06,3
0,3,2,Macon,2021-04-19,3
0,3,0,Macon,2021-06-25,3
0,3,28,Macon,2021-09-03,3
0,3,1,Madison,2021-03-25,3
0,3,3,Madison,2021-04-07,3
0,3,1,Madison,2021-04-10,3
0,3,0,Madison,2021-04-28,3
0,3,24,Madison,2021-08-23,3
0,3,29,Madison,2021-09-02,3
0,3,13,Madison,2021-09-15,3
0,3,0,Martin,2021-07-16,3
0,3,6,Martin,2021-07-23,3
0,3,11,Martin,2021-08-02,3
0,3,19,Martin,2021-08-10,3
0,3,9,Martin,2021-08-27,3
0,3,10,Martin,2021-09-05,3
0,3,3,Martin,2021-09-06,3
0,3,4,McDowell,2021-04-11,3
0,3,4,McDowell,2021-04-17,3
0,3,4,McDowell,2021-05-24,3
0,3,2,McDowell,2021-06-21,3
0,3,12,McDowell,2021-08-04,3
0,3,1,McDowell,2021-09-18,3
0,3,1,Mitchell,2021-03-29,3
0,3,4,Mitchell,2021-04-12,3
0,3,8,Mitchell,2021-04-19,3
0,3,4,Mitchell,2021-04-21,3
0,3,2,Mitchell,2021-04-26,3
0,3,1,Mitchell,2021-04-27,3
0,3,2,Mitchell,2021-05-05,3
0,3,14,Montgomery,2021-08-25,3
0,3,35,Montgomery,2021-08-30,3
0,3,28,Montgomery,2021-08-31,3
0,3,26,Montgomery,2021-09-02,3
0,3,22,Montgomery,2021-09-10,3
0,3,11,Montgomery,2021-09-16,3
0,3,10,Moore,2021-04-15,3
0,3,15,Moore,2021-04-20,3
0,3,15,Moore,2021-04-22,3
0,3,19,Moore,2021-04-26,3
0,3,12,Moore,2021-05-10,3
0,3,3,Moore,2021-05-26,3
0,3,5,Moore,2021-07-09,3
0,3,20,Moore,2021-07-22,3
0,3,39,Moore,2021-07-29,3
0,3,19,Moore,2021-08-01,3
0,3,41,Moore,2021-08-06,3
0,3,42,Moore,2021-09-06,3
0,3,73,Moore,2021-09-10,3
0,3,39,Moore,2021-09-11,3
0,3,39,Moore,2021-09-12,3
0,3,9,Nash,2021-04-03,3
0,3,17,Nash,2021-04-10,3
0,3,10,Nash,2021-04-17,3
0,3,22,Nash,2021-04-27,3
0,3,8,Nash,2021-05-02,3
0,3,5,Nash,2021-05-17,3
0,3,5,Nash,2021-05-20,3
0,3,5,Nash,2021-06-21,3
0,3,0,Nash,2021-06-28,3
0,3,6,Nash,2021-07-06,3
0,3,4,Nash,2021-07-13,3
0,3,7,Nash,2021-07-24,3
0,3,22,Nash,2021-07-28,3
0,3,18,Nash,2021-08-03,3
0,3,10,Nash,2021-08-07,3
0,3,41,Nash,2021-08-19,3
0,3,18,Nash,2021-08-22,3
0,3,18,Nash,2021-09-06,3
0,3,5,New Hanover,2021-05-15,3
0,3,5,New Hanover,2021-05-19,3
0,3,5,New Hanover,2021-06-14,3
0,3,2,New Hanover,2021-06-16,3
0,3,2,New Hanover,2021-06-22,3
0,3,4,New Hanover,2021-06-25,3
0,3,3,New Hanover,2021-06-29,3
0,3,2,New Hanover,2021-06-30,3
0,3,8,New Hanover,2021-07-02,3
0,3,3,Northampton,2021-08-11,3
0,3,9,Onslow,2021-03-25,3
0,3,11,Onslow,2021-04-03,3
0,3,14,Onslow,2021-04-17,3
0,3,15,Onslow,2021-04-24,3
0,3,16,Onslow,2021-06-02,3
0,3,11,Onslow,2021-06-15,3
0,3,2,Onslow,2021-06-26,3
0,3,14,Onslow,2021-06-28,3
0,3,63,Onslow,2021-09-11,3
0,3,12,Orange,2021-04-13,3
0,3,11,Orange,2021-04-26,3
0,3,1,Orange,2021-06-01,3
0,3,39,Orange,2021-08-17,3
0,3,11,Orange,2021-08-22,3
0,3,46,Orange,2021-09-03,3
0,3,58,Orange,2021-09-08,3
0,3,2,Pamlico,2021-04-02,3
0,3,4,Pamlico,2021-08-05,3
0,3,9,Pamlico,2021-08-24,3
0,3,9,Pamlico,2021-08-27,3
0,3,12,Pamlico,2021-09-08,3
0,3,10,Pamlico,2021-09-14,3
0,3,7,Pamlico,2021-09-16,3
0,3,5,Pasquotank,2021-04-27,3
0,3,1,Pasquotank,2021-07-20,3
0,3,7,Pasquotank,2021-07-28,3
0,3,19,Pasquotank,2021-08-10,3
0,3,8,Pasquotank,2021-08-17,3
0,3,21,Pasquotank,2021-08-20,3
0,3,17,Pasquotank,2021-09-10,3
0,3,6,Pender,2021-03-24,3
0,3,4,Pender,2021-04-02,3
0,3,6,Pender,2021-04-17,3
0,3,8,Pender,2021-04-21,3
0,3,6,Pender,2021-04-22,3
0,3,11,Pender,2021-04-30,3
0,3,2,Pender,2021-05-02,3
0,3,1,Pender,2021-05-08,3
0,3,15,Pender,2021-05-10,3
0,3,5,Pender,2021-05-18,3
0,3,5,Pender,2021-06-02,3
0,3,0,Pender,2021-06-20,3
0,3,9,Pender,2021-07-24,3
0,3,20,Pender,2021-07-29,3
0,3,29,Pender,2021-07-30,3
0,3,15,Pender,2021-08-03,3
0,3,14,Pender,2021-08-07,3
0,3,3,Perquimans,2021-04-13,3
0,3,0,Perquimans,2021-05-16,3
0,3,1,Perquimans,2021-07-20,3
0,3,3,Perquimans,2021-08-06,3
0,3,1,Person,2021-04-03,3
0,3,2,Person,2021-04-15,3
0,3,5,Person,2021-04-23,3
0,3,0,Person,2021-04-24,3
0,3,10,Person,2021-05-06,3
0,3,1,Person,2021-05-13,3
0,3,5,Person,2021-07-02,3
0,3,4,Person,2021-07-06,3
0,3,4,Person,2021-07-12,3
0,3,6,Person,2021-07-16,3
0,3,13,Person,2021-08-02,3
0,3,13,Person,2021-08-05,3
0,3,15,Person,2021-08-13,3
0,3,10,Person,2021-08-29,3
0,3,17,Person,2021-08-30,3
0,3,22,Person,2021-09-02,3
0,3,25,Person,2021-09-03,3
0,3,29,Pitt,2021-04-06,3
0,3,38,Pitt,2021-04-12,3
0,3,51,Pitt,2021-04-14,3
0,3,42,Pitt,2021-04-20,3
0,3,49,Pitt,2021-04-22,3
0,3,42,Pitt,2021-04-23,3
0,3,27,Pitt,2021-05-12,3
0,3,25,Pitt,2021-06-01,3
0,3,46,Pitt,2021-07-22,3
0,3,77,Pitt,2021-07-26,3
0,3,66,Pitt,2021-07-27,3
0,3,64,Pitt,2021-08-04,3
0,3,0,Polk,2021-04-21,3
0,3,0,Polk,2021-04-26,3
0,3,5,Polk,2021-07-27,3
0,3,3,Polk,2021-08-13,3
0,3,3,Polk,2021-08-21,3
0,3,1,Polk,2021-08-27,3
0,3,3,Polk,2021-09-11,3
0,3,2,Randolph,2021-04-25,3
0,3,3,Randolph,2021-05-14,3
0,3,12,Randolph,2021-05-18,3
0,3,1,Randolph,2021-05-28,3
0,3,4,Randolph,2021-05-30,3
0,3,7,Randolph,2021-06-10,3
0,3,4,Randolph,2021-06-18,3
0,3,3,Randolph,2021-06-21,3
0,3,7,Randolph,2021-06-30,3
0,3,3,Randolph,2021-07-03,3
0,3,1,Randolph,2021-07-07,3
0,3,3,Randolph,2021-07-10,3
0,3,10,Richmond,2021-03-31,3
0,3,8,Richmond,2021-04-06,3
0,3,10,Richmond,2021-04-08,3
0,3,8,Richmond,2021-04-13,3
0,3,8,Richmond,2021-04-16,3
0,3,11,Richmond,2021-04-19,3
0,3,12,Richmond,2021-04-26,3
0,3,5,Richmond,2021-04-28,3
0,3,7,Richmond,2021-06-01,3
0,3,10,Richmond,2021-06-16,3
0,3,16,Richmond,2021-08-14,3
0,3,18,Richmond,2021-09-05,3
0,3,2,Robeson,2021-04-03,3
0,3,7,Robeson,2021-05-01,3
0,3,0,Robeson,2021-05-08,3
0,3,2,Robeson,2021-05-22,3
0,3,5,Robeson,2021-05-23,3
0,3,4,Robeson,2021-05-27,3
0,3,0,Robeson,2021-06-13,3
0,3,4,Robeson,2021-06-17,3
0,3,6,Robeson,2021-07-01,3
0,3,5,Rockingham,2021-03-25,3
0,3,9,Rockingham,2021-03-26,3
0,3,3,Rockingham,2021-03-27,3
0,3,8,Rockingham,2021-03-31,3
0,3,14,Rockingham,2021-04-05,3
0,3,6,Rockingham,2021-04-07,3
0,3,14,Rockingham,2021-04-12,3
0,3,10,Rockingham,2021-04-15,3
0,3,12,Rockingham,2021-04-21,3
0,3,12,Rockingham,2021-04-23,3
0,3,2,Rockingham,2021-04-25,3
0,3,11,Rockingham,2021-05-05,3
0,3,3,Rockingham,2021-05-22,3
0,3,7,Rockingham,2021-06-01,3
0,3,7,Rockingham,2021-07-22,3
0,3,6,Rockingham,2021-07-23,3
0,3,12,Rockingham,2021-07-27,3
0,3,14,Rockingham,2021-08-03,3
0,3,10,Rowan,2021-03-28,3
0,3,9,Rowan,2021-04-11,3
0,3,32,Rowan,2021-04-15,3
0,3,13,Rowan,2021-04-17,3
0,3,9,Rowan,2021-04-24,3
0,3,34,Rowan,2021-04-28,3
0,3,9,Rowan,2021-05-19,3
0,3,11,Rowan,2021-07-03,3
0,3,10,Rowan,2021-07-07,3
0,3,15,Rowan,2021-07-08,3
0,3,27,Rowan,2021-07-16,3
0,3,18,Rowan,2021-07-17,3
0,3,26,Rowan,2021-07-20,3
0,3,47,Rowan,2021-08-08,3
0,3,67,Rowan,2021-09-15,3
0,3,9,Rowan,2021-09-18,3
0,3,1,Rutherford,2021-03-25,3
0,3,4,Rutherford,2021-03-26,3
0,3,2,Rutherford,2021-04-03,3
0,3,2,Rutherford,2021-04-09,3
0,3,8,Rutherford,2021-04-13,3
0,3,7,Rutherford,2021-04-15,3
0,3,7,Rutherford,2021-04-20,3
0,3,13,Rutherford,2021-05-17,3
0,3,2,Rutherford,2021-05-21,3
0,3,2,Rutherford,2021-07-12,3
0,3,6,Rutherford,2021-07-17,3
0,3,20,Rutherford,2021-07-28,3
0,3,31,Rutherford,2021-08-08,3
0,3,37,Rutherford,2021-08-10,3
0,3,23,Rutherford,2021-08-15,3
0,3,13,Sampson,2021-04-02,3
0,3,17,Sampson,2021-04-05,3
0,3,1,Sampson,2021-04-17,3
0,3,7,Sampson,2021-04-30,3
0,3,3,Sampson,2021-06-16,3
0,3,3,Sampson,2021-06-21,3
0,3,3,Sampson,2021-06-23,3
0,3,6,Sampson,2021-06-30,3
0,3,6,Sampson,2021-07-11,3
0,3,8,Sampson,2021-07-21,3
0,3,5,Scotland,2021-04-06,3
0,3,4,Scotland,2021-04-15,3
0,3,0,Scotland,2021-04-21,3
0,3,7,Scotland,2021-04-26,3
0,3,4,Scotland,2021-04-28,3
0,3,6,Scotland,2021-05-03,3
0,3,1,Scotland,2021-06-05,3
0,3,0,Scotland,2021-06-17,3
0,3,6,Scotland,2021-07-12,3
0,3,3,Scotland,2021-07-13,3
0,3,2,Scotland,2021-07-14,3
0,3,1,Scotland,2021-07-17,3
0,3,8,Scotland,2021-07-25,3
0,3,11,Scotland,2021-08-13,3
0,3,17,Stanly,2021-03-26,3
0,3,28,Stanly,2021-08-03,3
0,3,64,Stanly,2021-08-26,3
0,3,47,Stanly,2021-09-02,3
0,3,62,Stanly,2021-09-03,3
0,3,82,Stanly,2021-09-08,3
0,3,31,Stanly,2021-09-16,3
0,3,4,Stokes,2021-04-15,3
0,3,7,Stokes,2021-04-21,3
0,3,7,Stokes,2021-05-04,3
0,3,3,Stokes,2021-05-06,3
0,3,5,Stokes,2021-05-18,3
0,3,3,Stokes,2021-07-19,3
0,3,21,Stokes,2021-07-26,3
0,3,15,Stokes,2021-07-27,3
0,3,9,Stokes,2021-08-04,3
0,3,26,Stokes,2021-08-09,3
0,3,20,Stokes,2021-08-12,3
0,3,24,Stokes,2021-08-13,3
0,3,20,Stokes,2021-08-23,3
0,3,25,Stokes,2021-08-24,3
0,3,23,Stokes,2021-09-10,3
0,3,4,Surry,2021-04-01,3
0,3,0,Surry,2021-04-11,3
0,3,3,Surry,2021-04-17,3
0,3,5,Surry,2021-05-01,3
0,3,6,Surry,2021-05-04,3
0,3,6,Surry,2021-05-06,3
0,3,9,Surry,2021-05-11,3
0,3,10,Surry,2021-05-14,3
0,3,4,Surry,2021-05-21,3
0,3,1,Surry,2021-05-28,3
0,3,0,Surry,2021-06-26,3
0,3,1,Surry,2021-07-10,3
0,3,1,Surry,2021-07-11,3
0,3,4,Surry,2021-07-18,3
0,3,16,Surry,2021-07-22,3
0,3,10,Surry,2021-07-25,3
0,3,11,Surry,2021-07-30,3
0,3,1,Swain,2021-07-31,3
0,3,3,Swain,2021-08-21,3
0,3,5,Swain,2021-08-22,3
0,3,8,Swain,2021-08-27,3
0,3,9,Swain,2021-09-07,3
0,3,5,Swain,2021-09-09,3
0,3,5,Swain,2021-09-10,3
0,3,1,Transylvania,2021-04-02,3
0,3,9,Transylvania,2021-04-16,3
0,3,5,Transylvania,2021-04-29,3
0,3,0,Transylvania,2021-05-05,3
0,3,1,Transylvania,2021-05-08,3
0,3,0,Transylvania,2021-05-13,3
0,3,2,Transylvania,2021-07-17,3
0,3,5,Transylvania,2021-07-24,3
0,3,3,Transylvania,2021-07-26,3
0,3,11,Transylvania,2021-08-26,3
0,3,21,Transylvania,2021-08-27,3
0,3,4,Tyrrell,2021-08-12,3
0,3,2,Tyrrell,2021-08-17,3
0,3,15,Union,2021-05-18,3
0,3,11,Union,2021-05-19,3
0,3,22,Union,2021-05-20,3
0,3,3,Union,2021-05-22,3
0,3,15,Union,2021-05-25,3
0,3,3,Union,2021-05-29,3
0,3,7,Union,2021-06-01,3
0,3,4,Union,2021-06-08,3
0,3,3,Union,2021-06-16,3
0,3,9,Union,2021-06-26,3
0,3,7,Union,2021-06-27,3
0,3,4,Union,2021-07-02,3
0,3,1,Union,2021-07-04,3
0,3,23,Union,2021-07-08,3
0,3,17,Union,2021-07-18,3
0,3,35,Union,2021-07-25,3
0,3,79,Union,2021-07-31,3
0,3,92,Union,2021-08-14,3
0,3,24,Union,2021-09-18,3
0,3,11,Vance,2021-04-08,3
0,3,6,Vance,2021-04-09,3
0,3,5,Vance,2021-04-15,3
0,3,4,Vance,2021-04-27,3
0,3,4,Vance,2021-05-18,3
0,3,5,Vance,2021-07-30,3
0,3,12,Vance,2021-08-04,3
0,3,20,Vance,2021-08-12,3
0,3,20,Vance,2021-08-18,3
0,3,11,Vance,2021-08-22,3
0,3,20,Vance,2021-09-02,3
0,3,22,Vance,2021-09-05,3
0,3,17,Wake,2021-06-12,3
0,3,7,Wake,2021-07-04,3
0,3,2,Warren,2021-03-28,3
0,3,1,Warren,2021-08-09,3
0,3,4,Washington,2021-05-14,3
0,3,4,Washington,2021-05-25,3
0,3,8,Washington,2021-08-17,3
0,3,7,Washington,2021-08-23,3
0,3,9,Washington,2021-08-26,3
0,3,4,Washington,2021-09-10,3
0,3,8,Watauga,2021-03-25,3
0,3,2,Watauga,2021-03-28,3
0,3,3,Watauga,2021-04-08,3
0,3,4,Watauga,2021-04-12,3
0,3,5,Watauga,2021-04-13,3
0,3,1,Watauga,2021-04-14,3
0,3,2,Watauga,2021-04-19,3
0,3,2,Watauga,2021-07-22,3
0,3,13,Watauga,2021-07-30,3
0,3,7,Watauga,2021-08-04,3
0,3,8,Watauga,2021-08-08,3
0,3,11,Watauga,2021-08-12,3
0,3,6,Watauga,2021-08-15,3
0,3,19,Watauga,2021-08-16,3
0,3,8,Watauga,2021-08-28,3
0,3,23,Watauga,2021-09-03,3
0,3,5,Watauga,2021-09-04,3
0,3,21,Watauga,2021-09-10,3
0,3,7,Wayne,2021-04-06,3
0,3,7,Wayne,2021-04-09,3
0,3,4,Wayne,2021-04-10,3
0,3,25,Wayne,2021-04-12,3
0,3,7,Wayne,2021-05-01,3
0,3,7,Wayne,2021-05-11,3
0,3,6,Wayne,2021-05-17,3
0,3,3,Wayne,2021-05-22,3
0,3,4,Wayne,2021-05-24,3
0,3,5,Wayne,2021-05-29,3
0,3,4,Wayne,2021-06-10,3
0,3,0,Wayne,2021-06-17,3
0,3,7,Wayne,2021-06-28,3
0,3,11,Wayne,2021-07-13,3
0,3,5,Wilkes,2021-03-25,3
