County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Robeson,62350,54103,1559,1021,16258,44533,13870,39212
Hoke,26890,21753,6412,4390,7166,13312,5979,11384
Yancey,9737,8604,179,134,1108,8450,919,7551
Lee,37170,32761,722,466,12355,24093,11095,21200
Buncombe,183834,157289,7372,4327,45483,130979,42249,110713
Hyde,3495,3178,11,,178,3306,155,3023
Edgecombe,26979,22866,937,550,7603,18439,6462,15854
Transylvania,19868,15409,386,255,3493,15989,2986,12168
Chatham,47968,42136,5053,3112,14037,28878,12607,26417
Durham,247060,214567,8184,5379,61199,177677,56839,152349
Tyrrell,2079,1812,,,184,1895,143,1669
Moore,63539,56189,5066,3231,17273,41200,15269,37689
Randolph,67439,59599,954,653,23442,43043,20729,38217
Rowan,67428,59318,4294,3241,22918,40216,20309,35768
Ashe,16177,12883,231,136,3465,12481,2934,9813
Henderson,72995,61045,1756,1045,15096,56143,12915,47085
Vance,28451,25000,495,343,7838,20118,6791,17866
Union,139215,125197,1414,773,54978,82823,51087,73337
Washington,6563,5682,66,41,1854,4643,1604,4037
Davidson,88511,76426,2224,1367,26966,59321,23767,51292
Granville,40717,36286,5491,4745,10961,24265,9757,21784
Watauga,33553,26004,223,107,4820,28510,4145,21752
Cleveland,53017,46963,723,403,15989,36305,13849,32711
Graham,4304,3681,454,336,907,2943,744,2601
Gates,4990,4408,147,68,587,4256,496,3844
Carteret,48801,42549,7127,4972,13533,28141,11915,25662
Alamance,107263,95783,2077,1316,28678,76508,25897,68570
Mecklenburg,757053,660577,9920,5594,269277,477856,247615,407368
Brunswick,94864,83548,3009,2017,25822,66033,23108,58423
Stanly,30081,26998,773,571,7595,21713,6663,19764
Perquimans,6692,5705,20,12,1203,5469,985,4708
Madison,12895,10401,235,138,1403,11257,1259,9004
Pasquotank,23232,19812,52,21,5805,17375,4960,14831
Catawba,91422,82102,1193,579,33262,56967,29337,52186
Caldwell,41494,35743,343,189,11928,29223,9656,25898
Wilkes,34614,30460,395,240,10988,23231,9778,20442
Greene,15552,12794,3433,2494,3022,9097,2619,7681
Rockingham,49342,43994,625,381,15491,33226,13485,30128
Macon,22219,17770,534,327,3204,18481,2604,14839
Out o,123530,100955,,,806,122724,981,99974
Wake,866472,768774,12217,7732,285546,568709,266140,494902
Warren,11631,10518,166,122,2657,8808,2389,8007
Guilford,352878,314865,5669,3261,117085,230124,107415,204189
Bladen,24309,20115,6757,4611,4725,12827,3958,11546
Cumberland,234452,192014,91036,65758,61408,82008,53688,72568
Chowan,8824,7409,245,95,1832,6747,1676,5638
Pamlico,7441,6660,237,172,1320,5884,1039,5449
Scotland,18770,16314,296,193,5390,13084,4331,11790
Johnston,122901,106489,3746,2145,40475,78680,36254,68090
Clay,5654,5073,253,130,1051,4350,953,3990
Martin,11839,9999,246,174,2703,8890,2237,7588
Cherokee,14143,12498,716,471,2912,10515,2308,9719
Orange,119695,105479,1461,921,26514,91720,25289,79269
Burke,44816,39267,826,467,11861,32129,10180,28620
Surry,38373,34560,399,244,12148,25826,10882,23434
Wayne,66470,58082,6735,5118,21064,38671,18256,34708
Avery,10148,8505,191,93,1658,8299,1430,6982
Pitt,104351,88265,2311,1416,32775,69265,29196,57653
Bertie,11028,9666,133,68,2141,8754,1835,7763
Hertford,12305,10861,95,41,3588,8622,3079,7741
Person,23708,21200,441,301,6254,17013,5245,15654
Caswell,11589,10371,233,128,1786,9570,1436,8807
