County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Alamance,108013,96418,2071,1355,28832,77110,26054,69009
Mecklenburg,753885,657307,9840,5758,270645,473400,248956,402593
Brunswick,95213,83935,3030,2022,25981,66202,23275,58638
Stanly,29845,26792,759,592,7653,21433,6707,19493
Perquimans,6726,5743,20,12,1209,5497,992,4739
Madison,12882,10406,247,138,1407,11228,1267,9001
Pasquotank,23270,19849,52,21,5839,17379,4993,14835
Wilkes,34841,30623,387,256,11074,23380,9840,20527
Caldwell,41642,35884,349,189,12007,29286,9719,25976
Catawba,91843,82439,1195,598,33406,57242,29480,52361
Greene,15567,12943,3390,2571,3031,9146,2639,7733
Rockingham,49453,44068,633,387,15597,33223,13579,30102
Out o,135953,111189,,,909,135044,1083,110106
Macon,22274,17834,538,327,3215,18521,2615,14892
Wake,872109,772818,12079,7897,286850,573180,267495,497426
Warren,11683,10547,167,122,2661,8855,2394,8031
Guilford,354609,316489,5584,3398,117821,231204,108176,204915
Bladen,24291,20333,6687,4780,4742,12862,3977,11576
Cumberland,234394,194474,89809,67180,61803,82782,54086,73208
Chowan,8853,7443,246,94,1844,6763,1689,5660
Pamlico,7388,6611,239,177,1326,5823,1051,5383
Scotland,18868,16424,303,197,5418,13147,4353,11874
Johnston,123703,107250,3715,2229,40739,79249,36552,68469
Clay,5661,5093,252,138,1054,4355,959,3996
Cherokee,14151,12525,719,472,2919,10513,2319,9734
Martin,11854,10000,247,178,2715,8892,2251,7571
Orange,120920,106821,1465,930,26645,92810,25435,80456
Burke,44784,39277,801,492,11893,32090,10217,28568
Wayne,66436,58481,6430,5246,21193,38813,18409,34826
Surry,38622,34752,404,266,12184,26034,10917,23569
Avery,10265,8618,193,95,1667,8405,1433,7090
Pitt,105028,88943,2287,1460,33000,69741,29430,58053
Bertie,11013,9652,135,70,2146,8732,1845,7737
Hertford,12343,10907,97,42,3602,8644,3099,7766
Person,23817,21293,441,302,6290,17086,5274,15717
Caswell,11614,10405,234,139,1789,9591,1440,8826
