County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Cumberland,233610,191175,90450,65084,61286,81874,53585,72506
Chowan,8812,7408,242,95,1829,6741,1676,5637
Pamlico,7428,6644,236,171,1311,5881,1030,5443
Scotland,18734,16302,296,191,5382,13056,4331,11780
Johnston,122573,106235,3676,2105,40340,78557,36149,67981
Clay,5649,5056,251,113,1051,4347,954,3989
Cherokee,14135,12492,713,470,2913,10509,2307,9715
Martin,11825,9966,244,158,2696,8885,2228,7580
Orange,119330,105126,1457,920,26457,91416,25237,78969
Burke,44742,39167,806,431,11841,32095,10155,28581
Surry,38338,34517,397,244,12139,25802,10867,23406
Wayne,66310,57948,6695,5063,21009,38606,18217,34668
Avery,10142,8499,191,93,1655,8296,1425,6981
Pitt,104077,88078,2259,1360,32726,69092,29169,57549
Bertie,11010,9663,132,66,2135,8743,1835,7762
Hertford,12286,10849,93,41,3580,8613,3075,7733
Person,23669,21174,439,301,6242,16988,5234,15639
Caswell,11567,10338,231,109,1782,9554,1433,8796
