County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Carteret,48824,42558,7135,4980,13535,28154,11914,25664
Alamance,107351,95837,2086,1317,28696,76569,25917,68603
Mecklenburg,757295,660795,9945,5606,269483,477867,247815,407374
Brunswick,94899,83574,3010,2018,25838,66051,23116,58440
Stanly,30085,27003,773,571,7598,21714,6670,19762
Perquimans,6702,5708,20,12,1204,5478,986,4710
Madison,12898,10403,235,138,1404,11259,1259,9006
Pasquotank,23246,19813,52,21,5811,17383,4959,14833
Wilkes,34624,30465,396,240,10999,23229,9785,20440
Caldwell,41521,35750,344,189,11947,29230,9658,25903
Catawba,91459,82139,1198,580,33275,56986,29358,52201
Greene,15559,12801,3440,2495,3021,9098,2622,7684
Rockingham,49359,44003,627,383,15505,33227,13494,30126
Out o,124278,101473,,,813,123465,987,100486
Macon,22229,17780,535,327,3207,18487,2605,14848
Wake,867359,769385,12245,7742,285746,569368,266321,495322
Warren,11649,10533,166,122,2658,8825,2390,8021
Guilford,353126,315112,5679,3272,117173,230274,107538,204302
Bladen,24331,20136,6772,4622,4728,12831,3963,11551
Cumberland,234667,192176,91115,65832,61472,82080,53736,72608
Chowan,8828,7413,245,95,1834,6749,1678,5640
Pamlico,7441,6665,237,174,1320,5884,1042,5449
Scotland,18792,16322,298,194,5393,13101,4334,11794
Johnston,123005,106560,3754,2149,40510,78741,36271,68140
Clay,5655,5075,253,130,1054,4348,955,3990
Cherokee,14144,12498,716,471,2911,10517,2307,9720
Martin,11839,10000,246,174,2704,8889,2237,7589
Orange,119816,105580,1463,922,26530,91823,25297,79361
Burke,44849,39303,826,467,11867,32156,10186,28650
Surry,38401,34587,400,245,12153,25848,10887,23455
Wayne,66545,58140,6744,5121,21082,38719,18278,34741
Avery,10152,8514,191,93,1658,8303,1431,6990
Pitt,104452,88335,2314,1422,32811,69327,29221,57692
Bertie,11029,9667,133,69,2141,8755,1836,7762
Hertford,12311,10868,97,41,3590,8624,3082,7745
Person,23715,21214,441,301,6257,17017,5250,15663
Caswell,11598,10374,233,128,1788,9577,1435,8811
