Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
27014,36512,35138,202,28058,13296,78015,Caldwell,149,315,9632,1285,28046,11862,8701,82178,202,38766,36487,1354,322,10386,16769,10386,12051,27090,37037,65842,13587,219,71809,9271,27022,26235,315,9271,38747,182
7069,8842,8510,100,7478,4224,19940,Polk,88,116,1627,735,7475,3401,1552,20724,100,9367,8820,750,144,1745,6644,1745,3517,7181,8924,17478,4364,118,18752,1651,7073,6858,116,1651,9336,97
24563,35032,33517,220,25858,12447,67979,Surry,178,284,10551,2076,25838,10193,9713,71783,220,37285,35009,2225,301,11126,14964,11125,10391,24599,35434,56811,12816,227,62223,10226,24578,23584,284,10227,37247,200
17214,20274,19553,349,17896,8903,34121,Macon,238,421,2776,797,17884,7868,2540,35858,349,21256,20213,829,470,2890,10350,2890,8006,17185,20382,29260,9093,403,31614,2650,17221,16664,421,2650,21195,258
3900,4923,4784,23,4135,2527,10740,Clay,23,25,1001,316,4135,2188,951,11231,23,5231,4877,317,92,1004,3581,1004,2239,4001,5027,9352,2581,69,10050,954,3900,3810,25,954,5164,25
12786,17457,16743,102,13408,6251,35700,Yadkin,87,148,4554,824,13401,5340,4232,37667,102,18496,17433,819,168,4920,7711,4920,5446,12895,17597,29851,6370,119,32660,4545,12793,12409,148,4545,18469,105
90313,90356,88387,,102671,35649,,Out of State,,,,,102610,35649,,,,102671,90313,,,,,,40319,99520,99520,,40319,,,,90356,88387,,,102610,
35035,107849,103378,47549,38196,18645,180787,Onslow,2472,56449,24133,2707,38177,13466,21872,197938,48639,121579,107813,2839,56496,26887,19026,26887,13777,36543,115879,149343,19599,48662,162055,24139,35046,33957,55203,24141,121513,2983
15232,19938,19100,247,16484,6785,42075,Richmond,129,283,4415,626,16473,6030,3992,44829,247,21693,19897,664,320,4889,8183,4889,6159,15966,20664,34516,6961,281,38043,4418,15239,14861,283,4418,21645,138
115561,160594,152386,3795,122479,47296,248550,Buncombe,2022,5648,38756,8115,122414,37159,38087,261191,3795,170666,160493,7926,5677,42510,53494,42504,37677,114086,158490,213777,47966,3851,230148,41137,115605,110504,5648,41138,170566,2363
76564,121950,110962,567,80893,26473,226508,Union,411,895,39875,4309,80840,21753,38038,239859,567,129766,121897,4311,913,47960,31234,47948,22436,75278,116048,176616,27254,589,202043,44766,76595,72357,895,44766,129683,507
67091,109235,100624,1448,72023,24749,202607,Cabarrus,860,2067,37345,4247,71982,19642,35732,216453,1448,117340,109193,4305,2081,43236,29064,43229,20174,66789,106201,161462,25415,1460,181104,40654,67117,63444,2067,40658,117278,936
3894,5456,5219,28,4306,2344,10985,Washington,16,55,1661,387,4295,1941,1453,11580,28,6087,5436,460,56,1725,2932,1725,2088,4109,5825,9274,2581,38,10083,1514,3904,3738,55,1514,6075,33
33390,50941,47759,872,35577,13634,126086,Harnett,348,1260,16191,1810,35541,11476,14921,135976,872,55149,50851,1898,1311,18261,17458,18261,11793,33656,51096,100990,14081,941,112079,16589,33411,31966,1249,16589,55062,390
29812,39779,37940,345,31210,13269,86176,Burke,261,485,9640,1553,31196,11455,8810,90485,345,42230,39746,1670,494,10526,18720,10525,11651,29914,40039,73860,13632,365,79893,9589,29825,28785,485,9589,42206,311
22014,35553,33689,4244,23266,8911,57336,Granville,514,4556,8926,1224,23251,7173,8461,60443,4244,37772,35524,1175,4606,9900,10674,9897,7359,21906,35388,48058,9078,4260,52711,9266,22025,20984,4556,9268,37704,544
67591,103928,98684,851,72818,30354,211171,Gaston,652,1294,34529,5002,72768,24700,32014,224529,851,112742,103872,5210,1317,38607,36651,38607,25590,70302,106125,174276,31615,872,191721,35430,67626,65819,1294,35430,112669,815
16765,22886,21927,290,17925,8100,48532,Edgecombe,201,391,5742,1027,17918,6872,5243,51472,290,24753,22878,1096,403,6425,10509,6425,7041,17410,23543,39904,8376,295,43948,5823,16768,16394,391,5823,24734,239
25904,30126,28900,54,27990,7581,54308,Watauga,54,88,4323,605,27953,6922,3967,56177,54,32621,30078,641,123,4508,9229,4508,7267,26420,30831,49022,7979,66,51530,4120,25940,24879,88,4120,32549,71
10901,17272,16179,772,12161,3967,50664,Hoke,223,1081,5308,523,12140,3221,4981,55234,772,19289,17251,553,1106,6022,5854,6022,3354,11410,17799,40282,4145,777,44624,5578,10917,10426,1081,5578,19243,238
7834,9541,9185,15,8564,3527,18126,Bertie,15,34,1665,323,8559,3189,1555,18947,15,10415,9526,342,42,1809,4479,1809,3419,8312,10011,15647,3780,28,16854,1677,7836,7615,34,1677,10402,19
15548,20820,19860,284,16284,6993,37405,Person,180,384,5046,1008,16272,5805,4693,39490,284,22060,20804,1034,384,5392,7938,5391,5886,15430,20860,31361,7120,292,34239,4972,15556,14883,384,4972,22047,200
19302,24118,23275,275,20346,10118,44735,Beaufort,224,383,4439,828,20334,9066,4062,46994,275,25742,24086,864,398,4998,11538,4998,9327,19835,24657,37669,10460,298,41131,4509,19311,18938,383,4509,25715,269
16305,21904,20868,2203,17089,6777,42001,Jackson,536,3377,3048,488,17076,5753,2777,43938,2481,23917,21862,523,3439,3389,8759,3389,5874,16420,22442,36721,7027,2512,39175,3076,16316,15888,2974,3076,23842,630
52145,79834,75457,512,54481,26155,150636,Catawba,349,698,26931,3800,54460,22006,24990,159551,512,84677,79795,3968,724,29472,29156,29471,22350,51629,79258,124631,26699,533,137151,27138,52162,49955,698,27139,84629,381
494957,743886,683982,6092,532431,134995,1044525,Wake,2706,8500,221545,21355,532062,110934,215890,1111761,6092,796762,743669,21126,8554,255777,133864,255762,115550,482755,712800,849055,139666,6105,941934,242620,495152,462000,8500,242629,796324,2990
32250,45701,43421,368,34113,15615,92365,Cleveland,285,497,13170,2358,34105,12972,11944,97947,368,49067,45676,2437,518,14436,18575,14436,13276,32602,46269,76504,16034,386,84044,13058,32257,31109,497,13058,49038,321
22727,30488,28972,303,24629,9018,59389,Sampson,202,400,7373,1177,24618,7639,6883,63531,303,33029,30465,1226,420,7980,11637,7980,7864,23491,31264,48081,9324,317,53473,7435,22736,21786,400,7435,32998,234
16891,22983,22001,272,17978,7719,52603,Columbus,199,340,5553,1050,17969,6470,5029,55508,272,24740,22968,1130,355,6407,11419,6407,6651,17655,23548,44013,8008,278,48224,5805,16899,16700,340,5806,24716,227
8761,10143,9837,69,9176,3976,21496,Caswell,58,91,1518,261,9166,3657,1231,22604,69,10896,10134,369,109,1611,5005,1611,3745,8903,10512,18383,4183,71,19944,1304,8768,8537,91,1304,10868,69
7514,8552,8264,103,7980,3696,17212,Yancey,103,133,843,144,7978,3449,762,18069,103,9147,8523,139,173,994,4744,994,3562,7779,8755,14782,3816,130,15969,906,7516,7399,133,906,9105,115
20889,31481,29617,432,22791,9214,57893,Lee,213,625,9481,1289,22771,7712,9027,61779,432,34178,31449,1294,641,10746,10404,10746,7947,21600,31706,47136,9485,458,52144,10128,20895,20158,625,10128,34142,244
7649,10447,9993,10,8273,3786,22610,Hertford,10,25,2692,582,8266,3194,2459,23677,10,11410,10429,582,50,3087,4836,3087,3383,8112,10829,19299,3977,23,20898,2770,7654,7524,25,2770,11378,12
30499,43305,41614,338,31985,15730,86406,Rockingham,263,471,12624,2583,31968,12884,11739,91010,338,45913,43275,2579,490,13438,18996,13438,13185,30831,43926,72695,16069,356,79246,12438,30511,29537,471,12438,45877,305
26082,37915,36492,500,27566,15429,66672,Carteret,324,560,10997,2299,27559,12806,10407,69473,500,40333,37893,2249,599,12168,17867,12168,13270,26917,38474,57537,15858,517,62070,11311,26086,25585,560,11312,40287,339
415199,643737,598519,4838,451686,118383,1037049,Mecklenburg,2024,7518,209803,21377,451357,94982,199652,1110356,4838,697930,643467,21688,7606,238638,127686,238594,99058,420481,637802,852079,123242,4892,937616,223430,415404,394029,7518,223441,697469,2496
3933,7312,6828,1996,4132,2439,13403,Swain,394,3182,1120,194,4131,1851,974,14271,2294,8569,7284,211,3226,1211,2803,1211,1887,3974,7831,11137,2582,2321,12138,1057,3934,3858,2737,1057,8524,484
7482,8949,8734,61,7951,3373,16905,Avery,50,78,1375,278,7945,3045,1281,17557,61,9552,8939,286,99,1502,4020,1502,3179,7822,9275,14969,3523,65,15935,1396,7488,7392,78,1396,9525,58
16444,23252,21854,297,18135,7475,41780,Vance,189,391,6319,1099,18113,6187,5951,44535,297,25485,23234,1085,403,6947,8487,6946,6379,16866,23576,34092,7677,302,37671,6493,16456,15606,391,6494,25450,213
20416,25013,23992,253,21801,9331,47245,Halifax,190,367,4294,818,21783,8323,3927,50010,253,26903,24991,866,371,4731,10690,4731,8533,20939,25600,39391,9622,262,43237,4322,20429,19812,367,4322,26881,223
33750,50770,48289,550,35831,16024,89023,Nash,362,766,15526,2929,35809,12733,14734,94298,550,54124,50741,2949,773,17520,17956,17520,13083,34801,51093,73765,16454,563,81106,16441,33766,33005,766,16441,54095,422
20714,26386,25389,525,22458,10151,63605,Rutherford,431,610,5008,1332,22438,8388,4776,67029,525,28497,26354,1357,644,5395,14855,5395,8814,21663,27281,53422,10634,545,58398,5115,20724,20088,610,5117,28443,463
10567,13721,13223,80,11424,5300,26129,Ashe,69,107,2913,816,11414,4415,2830,27203,80,14704,13696,747,124,3156,7249,3155,4690,10981,14001,22479,5527,99,24214,3049,10573,10313,107,3049,14676,90
13303,20101,19353,137,14053,7528,43536,Stokes,117,206,6740,1491,14046,5920,6180,45591,137,21525,20059,1598,249,7223,9917,7223,6091,13637,20583,37145,7837,172,40306,6619,13310,13036,206,6619,21475,148
2716,3776,3647,231,2890,1517,8040,Graham,37,349,849,147,2889,1333,752,8441,266,4125,3747,158,375,860,2067,860,1367,2804,3962,6767,1577,293,7414,765,2718,2664,309,765,4098,52
20667,29864,28332,340,22006,9452,59482,Pender,250,500,8613,1310,21995,7892,7927,63060,340,32203,29842,1355,511,9686,11716,9685,8122,21165,30278,49058,9761,354,53967,8835,20675,20065,500,8835,32180,284
36789,57729,55054,7142,38802,19355,95778,Craven,838,8028,13593,2518,38780,15999,12796,102139,7142,61666,57674,2484,8099,14765,20103,14765,16298,36535,58145,80387,19630,7183,87409,13743,36803,35116,8017,13743,61573,848
207176,302948,284082,2298,220533,76779,505896,Guilford,1493,3468,88172,14335,220423,60951,83743,537174,2298,324117,302855,14646,3498,100086,83442,100065,62842,208065,299705,418240,79242,2311,459608,93381,207256,198041,3468,93381,323956,1754
10391,11740,11342,119,10757,4397,20741,Madison,86,206,1148,244,10751,4067,1088,21755,119,12254,11719,261,221,1276,5034,1275,4095,10387,11741,17939,4461,136,19327,1209,10395,10135,206,1209,12232,105
26765,39076,36949,258,28311,14028,70897,Chatham,150,342,11658,2428,28284,11450,11035,74470,258,41636,39047,2399,377,12948,18634,12945,11745,26615,38615,59661,14307,272,65198,12024,26778,25656,342,12026,41571,163
62724,89160,84225,1005,66194,22079,170444,Pitt,504,1462,24695,2993,66148,18582,22627,180742,1005,95724,89103,3185,1482,28048,25045,28047,18823,63190,89347,142466,22604,1027,155511,25374,62759,60593,1462,25374,95657,596
38770,53673,51488,686,40963,22087,94937,Moore,413,881,13895,3198,40952,18476,13016,100880,686,57292,53625,3272,916,15413,24192,15413,19393,39762,54538,79328,23107,729,86466,14169,38775,37786,881,14169,57246,442
150218,217129,203531,1995,163102,56645,359934,Forsyth,1218,3071,61597,10229,162959,45198,58980,382295,1995,234759,217014,10171,3100,68557,62720,68544,46889,151587,216255,295401,58559,2008,325690,64801,150319,142556,3071,64802,234574,1499
52314,88719,83590,1156,55213,25076,171884,Iredell,845,1506,33623,5128,55176,19103,31893,181806,1156,94322,88669,5022,1522,37587,29513,37587,19866,52880,88009,140623,25792,1188,156060,35199,52332,50541,1506,35199,94269,904
14793,18011,17373,207,15134,7876,33015,Transylvania,194,277,3005,1060,15129,6622,2896,34385,207,18568,17992,1040,291,3143,10809,3143,6690,14499,17781,29099,7956,224,30988,2992,14795,14270,277,2992,18549,226
8590,10830,10415,124,9153,4238,21211,Martin,107,174,2132,466,9147,3665,1977,22440,124,11602,10815,487,183,2266,5372,2266,3787,8801,11107,17917,4397,133,19455,2101,8596,8314,174,2101,11587,123
7830,10206,9781,111,8357,3806,18843,Warren,83,136,2121,494,8349,3229,2041,19731,111,10874,10192,480,146,2371,5173,2371,3310,8026,10283,16200,3880,117,17477,2251,7838,7629,136,2251,10856,90
3474,4527,4328,41,3658,1799,8956,Jones,26,55,1046,211,3657,1562,934,9419,41,4855,4517,226,71,1126,2257,1126,1593,3505,4606,7704,1849,51,8314,1002,3474,3353,55,1002,4838,30
15756,22840,21587,236,16445,7929,40760,Davie,162,339,6600,1578,16431,6189,6263,42846,236,24089,22814,1608,347,7297,9279,7297,6319,15518,22457,33901,8109,251,37262,6822,15767,15088,339,6822,24067,182
71300,195709,185247,74369,76528,36430,310252,Cumberland,6022,92506,45868,5826,76414,24582,42766,335509,76578,220892,195629,5952,92552,51812,40937,51809,25198,72036,207797,252655,38145,76616,277878,47751,71341,68112,89893,47752,220729,6995
19381,22448,21516,336,20472,7871,43474,McDowell,218,495,2966,513,20460,7140,2600,45756,336,24087,22432,592,506,3109,9517,3109,7281,19390,22851,36617,8136,347,39943,2715,19386,18580,495,2715,24064,263
9659,12523,12199,420,10142,6167,27420,Cherokee,178,533,2677,746,10137,5243,2382,28612,420,13415,12475,804,578,2695,8723,2695,5370,9804,13014,23877,6384,462,25640,2396,9665,9397,533,2396,13365,210
5697,7259,6963,,6455,2967,13243,Chowan,,,1542,405,6451,2562,1465,13943,,8100,7258,380,,1645,3521,1645,2876,6208,7750,11164,3256,,12171,1561,5698,5498,,1561,8096,
80744,105076,96871,818,87543,22432,142010,Orange,343,1117,21686,2950,87468,19139,21470,148476,818,112789,104996,2882,1165,24081,21654,24080,19733,77045,99848,119925,23005,857,130842,23434,80785,74583,1117,23434,112665,390
12826,15358,14830,71,13390,5475,35620,Alexander,59,89,2466,304,13381,5112,2255,37497,71,16185,15316,319,132,2663,7667,2663,5244,12992,15547,30040,5628,109,32781,2419,12830,12504,89,2419,16133,65
153221,209496,197454,4545,165040,41239,301307,Durham,1428,5967,49189,5564,164961,34247,47393,321488,4545,225818,209424,5651,6008,54770,43764,54764,35301,152184,207340,255829,42578,4568,275950,51658,153270,145516,5967,51658,225692,1626
50112,64153,61399,959,52447,25999,111764,Henderson,765,1428,12877,3740,52429,21494,12268,117417,959,67699,64121,3773,1435,13817,30961,13817,21757,49556,63861,95451,26403,979,103234,13050,50123,48172,1428,13051,67674,873
14529,19206,18419,0,16385,6396,37393,Pasquotank,0,12,4868,861,16359,5535,4476,39824,0,21512,19180,933,29,5098,6841,5098,6063,15602,20482,31068,7008,14,34029,4651,14541,13943,12,4651,21469,12
5736,6871,6697,66,6012,3296,12261,Pamlico,49,76,1064,246,6012,3001,980,12726,66,7255,6859,250,92,1151,3866,1151,3077,5895,7035,10805,3379,78,11540,1057,5736,5651,76,1057,7239,52
5687,6788,6559,52,6085,2759,14242,Mitchell,52,101,990,229,6084,2478,896,14964,52,7323,6765,242,114,1124,3810,1124,2549,5950,7041,12229,2863,75,13195,1026,5687,5611,101,1026,7309,72
8927,10815,10497,13,10056,3959,26216,Currituck,13,33,1912,338,10048,3608,1766,27763,13,12121,10796,345,45,2020,4551,2020,4126,9799,11744,21675,4490,28,23787,1856,8931,8718,33,1856,12101,19
61823,85178,82768,1487,64649,42223,137478,Brunswick,1133,1810,21536,6308,64630,34782,20546,142820,1487,89687,85150,6101,1838,23200,46605,23199,36000,63268,86614,121795,43343,1503,129086,21840,61833,60735,1810,21842,89639,1242
51584,74776,71190,928,55329,24399,158409,Davidson,695,1238,22349,4215,55300,19489,20870,167609,928,80578,74726,4260,1267,23982,31089,23980,19938,52401,75988,131285,24978,961,144432,22214,51600,49392,1238,22215,80518,780
21916,34514,32530,384,23141,10095,65799,Franklin,246,505,11553,1876,23127,7973,10985,69685,384,36626,34478,1860,524,12961,11935,12960,8155,22101,34159,54524,10290,410,59978,12178,21926,21161,505,12178,36592,275
20562,25441,24369,0,21349,9150,35367,Dare,0,10,4847,558,21339,8592,4468,37009,0,26700,25418,585,23,5328,8201,5328,8762,20397,25254,30088,9357,17,32745,4856,20568,19901,10,4856,26677,10
93140,138640,131406,1233,98431,40012,223363,New Hanover,852,1803,42101,5847,98401,33313,40002,234473,1233,147684,138600,5956,1820,47433,43147,47414,34187,93971,137875,191812,41136,1254,206724,44227,93158,90171,1803,44228,147618,993
11226,15262,14543,151,12160,5566,31131,Bladen,90,176,3804,628,12153,4848,3541,32722,151,16525,15230,660,216,4149,7459,4149,5018,11664,15644,26077,5776,177,28574,3853,11232,10851,176,3853,16478,98
8035,10497,10113,95,8589,3645,23143,Anson,69,119,2352,358,8588,3218,2077,24446,95,11385,10493,404,128,2668,4730,2668,3302,8427,10898,19608,3783,99,21306,2363,8035,7941,119,2363,11375,77
