COVID Suspected Race Other,COVID Confirmed 50-59,Date Filter,COVID Suspected Hispanic,COVID Confirmed 60-69,COVID Confirmed 80-,COVID Suspected Alaskan Native American Indian,COVID Confirmed Race Not Disclosed,COVID Suspected 18-19,COVID Confirmed White,COVID Suspected Black African American,COVID Suspected Race Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Alaskan Native American Indian,COVID Suspected Age Unknown,COVID Confirmed Black African American,COVID Suspected Ethnicity Missing,COVID Suspected 20-29,COVID Confirmed Asian,COVID Suspected 70-79,COVID Suspected Asian,COVID Suspected Gender Not Disclosed,Max Date,COVID Confirmed 0-17,COVID Suspected White,COVID Suspected Female,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Confirmed Age Missing,COVID Suspected 40-49,COVID Suspected Gender Unknown,COVID Confirmed Female,COVID Confirmed 20-29,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Missing,COVID Suspected Non-Hispanic,COVID Confirmed Gender Not Disclosed,COVID Suspected 80-,COVID Suspected 50-59,today,COVID Confirmed 30-39,COVID Confirmed Male,COVID Suspected Male,COVID Confirmed Race Other,COVID Suspected Native Hawaiian Pacific Islander,COVID Confirmed Non-Hispanic,COVID Suspected 60-69,COVID Confirmed 70-79,COVID Confirmed Gender Unknown,COVID Suspected Race Not Disclosed,Date,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed 40-49,COVID Suspected 0-17,COVID Confirmed Age Unknown,COVID Suspected 30-39,COVID Confirmed 18-19,COVID Suspected Age Missing
15,32,T,16,30,31,4,6,4,103,93,0,0,3,0,44,1,16,3,66,4,0,2021-02-15,2,213,175,3,0,6,28,0,31,12,89,6,0,0,290,2,55,60,2021-02-19,13,77,145,9,0,153,67,38,0,6,2020-11-06,9,16,20,0,17,0,0
11,31,T,15,38,27,1,6,3,99,81,4,12,3,2,39,4,28,3,50,2,12,2021-02-15,2,224,149,8,12,18,21,5,29,0,78,3,0,5,292,0,48,54,2021-02-19,6,87,163,15,0,136,74,43,0,9,2020-11-11,4,14,19,0,24,1,0
15,64,T,8,105,92,2,22,1,296,90,0,0,7,2,119,3,13,10,79,4,37,2021-02-15,4,214,145,0,0,19,21,0,27,1,246,13,0,0,303,13,69,50,2021-02-19,31,217,152,22,0,412,62,121,0,10,2021-01-06,45,30,8,15,24,1,0
16,27,T,12,47,57,1,6,2,142,77,0,5,3,0,52,0,16,5,47,1,13,2021-02-15,2,186,147,1,5,13,16,5,30,0,111,8,0,5,258,0,57,45,2021-02-19,13,112,125,15,0,185,51,48,0,5,2020-11-19,25,21,17,0,21,0,0
12,22,T,11,23,24,0,0,1,60,69,5,4,5,0,34,8,22,0,54,0,0,2021-02-15,0,161,99,24,4,6,13,3,19,3,51,5,0,5,218,0,31,36,2021-02-19,4,52,124,4,0,93,44,21,1,3,2020-10-17,5,6,20,0,18,0,5
10,54,T,6,79,83,2,9,0,241,71,0,0,7,0,116,0,13,5,54,2,28,2021-02-15,3,157,101,0,0,13,14,0,24,0,187,8,1,0,233,0,51,29,2021-02-19,25,205,124,14,1,348,55,111,1,10,2021-01-19,32,28,9,0,18,2,0
11,53,T,9,82,72,3,6,0,237,75,0,0,5,1,72,0,11,4,56,4,28,2021-02-15,2,159,127,0,0,17,25,0,32,1,167,6,0,0,224,2,49,43,2021-02-19,12,177,102,22,0,296,40,79,0,6,2020-12-21,33,35,5,3,21,2,0
11,25,T,17,22,28,4,2,0,76,73,8,10,1,0,48,14,12,1,47,0,0,2021-02-15,0,159,123,27,10,12,12,8,27,3,75,3,1,9,222,0,49,45,2021-02-19,10,61,112,7,0,110,55,36,0,10,2020-10-18,13,13,9,0,13,0,8
8,64,T,11,66,88,4,13,1,213,70,2,7,9,0,108,3,12,2,56,0,17,2021-02-15,5,156,119,12,7,16,19,1,28,0,185,14,0,4,220,0,42,39,2021-02-19,12,174,105,14,1,306,46,88,0,12,2021-01-23,34,25,10,0,19,0,0
15,41,T,12,60,58,0,10,1,175,65,0,0,3,0,90,0,27,2,38,1,29,2021-02-15,6,146,115,0,-1,18,13,0,23,1,125,15,0,1,208,0,36,39,2021-02-19,22,166,88,11,0,260,43,60,0,6,2021-02-06,15,30,12,0,14,0,0
