At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - NC
82169,71653,116239,71635,71168,69057,32334,116236,115310,112639,30648,116239,71653,216666,221448,222841,223986,289081,57611,234939,248010,258868,78927,265757,279281,291859,Missing,34970,34970,34970,19187,36094,187871,186478,181696,62982,38005,47427,,37988,47427,40358,37845,9849,48826,47338,9783,,,,,MISSING COUNTY,187892,84079,7575,95818,90919,95633,155683,155443,150374,61503,143833,85008,97413,8319,97379,92468,112350,108115,39509,102593,112629
11082,15628,8421,15624,15567,15372,7855,8421,8389,8142,3193,8421,15628,23600,24042,24131,24168,46554,13471,40772,43020,44110,13805,42952,45402,46708,Wilson,86,86,86,34,119,24045,23956,23514,11048,609,371,76972,609,371,654,609,316,417,371,237,63224,15337,81801,69710,WILSON COUNTY,24049,12589,2018,14403,13892,14393,31651,31552,30901,11471,29754,11875,13553,2006,13549,13088,30115,29561,11228,28526,30140
504,912,95,912,908,896,465,95,95,94,39,95,912,990,1003,1007,1007,2078,694,1868,1956,1994,707,1945,2036,2081,Tyrrell,,,,,,1007,1003,990,504,,,3827,,,,,,,,,3288,810,4016,3533,TYRRELL COUNTY,1007,174,40,183,181,183,1898,1895,1855,667,1771,150,155,39,155,155,1838,1801,655,1718,1839
13971,14268,15455,14263,14198,13989,6390,15455,15419,15163,7317,15455,14268,30547,31012,31113,31181,66477,16727,57444,60264,61646,17452,61811,64923,66693,Wayne,1395,1395,1395,264,1458,29718,29617,29152,13707,6722,5386,115046,6667,5349,6760,6554,1010,5413,5255,745,94031,20802,123131,103693,WAYNE COUNTY,29723,18440,3456,21129,20374,21122,38804,38633,37882,12986,36817,17422,19859,3326,19850,19198,36339,35717,12656,34767,36374
3173,3109,2989,3109,3083,3024,1582,2989,2986,2962,1579,2989,3109,6008,6091,6120,6141,12690,4469,11394,11784,11988,4632,12099,12528,12820,Montgomery,22,22,22,12,43,6098,6069,5986,3161,214,142,25757,214,142,297,214,122,200,142,97,21266,5743,27173,23512,MONTGOMERY COUNTY,6098,2940,593,3139,3096,3139,9384,9337,9218,3917,8945,2759,2945,550,2945,2903,8831,8739,3822,8493,8843
8827,9443,7656,9443,9425,9344,4884,7655,7637,7502,3880,7656,9443,16953,17169,17205,17219,33391,10833,29465,30788,31341,11118,31315,32769,33446,Lenoir,107,107,107,63,120,17098,17062,16846,8764,475,291,52801,475,291,493,475,268,325,291,206,43423,11303,55949,47933,LENOIR COUNTY,17099,9647,1898,10927,10595,10923,22026,21993,21699,8952,21193,9079,10264,1838,10261,9972,20746,20525,8789,20095,20752
4387,5127,3956,5127,5106,5058,2370,3956,3952,3885,1992,3956,5127,8991,9106,9131,9143,18744,5926,16378,17059,17347,6271,17654,18447,18826,Scotland,48,48,48,25,60,9083,9058,8943,4362,252,169,32530,252,169,302,252,144,219,169,104,26793,6531,34823,29381,SCOTLAND COUNTY,9083,4753,1014,5398,5249,5395,13126,13097,12946,5113,12649,4339,4895,912,4893,4777,12229,12113,4910,11870,12233
23280,26779,31116,26776,26330,25407,11156,31114,30994,30299,12036,31116,26779,55882,57500,58066,58117,107077,27563,93080,98677,102220,28488,97394,103346,107759,Alamance,176,176,176,88,222,57890,57324,55706,23192,2071,1289,159560,2071,1289,2142,2048,936,1358,1276,697,132145,29035,169509,145046,ALAMANCE COUNTY,57895,25698,4784,28753,27651,28727,76864,76279,73624,22768,69648,24393,27271,4494,27267,26281,73468,71107,22372,67411,73591
1055,1473,795,1473,1458,1424,731,795,795,788,324,795,1473,2437,2478,2493,2518,6793,1501,5423,5678,5812,1787,6362,6648,6844,Camden,225,225,225,0,250,2268,2253,2212,1055,2033,1388,10327,2018,1388,2071,1946,211,1398,1333,41,8407,1833,10867,9354,CAMDEN COUNTY,2268,841,139,907,879,904,3866,3856,3751,1437,3575,819,880,130,879,853,3533,3437,1330,3271,3534
2609,4303,1760,4303,4269,4230,1648,1760,1758,1708,680,1760,4303,6710,6844,6892,6944,15538,3640,13007,13728,14108,4024,14339,15142,15626,Greene,829,817,772,281,881,6063,6027,5938,2328,3413,2541,20022,3250,2407,3474,2949,924,2576,2169,596,16884,3592,21069,18372,GREENE COUNTY,6063,2638,436,3026,2959,3025,9126,9100,8933,2664,8752,2473,2848,418,2847,2791,8681,8530,2626,8365,8684
15061,12765,18524,12759,12717,12474,6485,18524,18482,18229,8265,18524,12765,31244,31740,31824,31847,67393,19352,58700,61399,62710,20179,63123,66017,67609,Rowan,541,541,541,311,558,31283,31199,30703,14750,4238,3213,133830,4238,3213,4347,4238,1750,3300,3213,1509,110729,25371,142088,122048,ROWAN COUNTY,31289,21267,3806,23004,22461,22994,40258,40161,39318,14623,37618,19878,21456,3700,21453,20983,37918,37203,14143,35609,37954
2759,3872,809,3872,3864,3839,2416,809,809,797,343,809,3872,4636,4673,4681,4681,9322,3809,8238,8532,8695,3966,8812,9152,9367,Northampton,,,,,,4681,4673,4636,2759,159,72,18570,159,72,194,159,102,97,72,59,16132,5256,19483,17363,NORTHAMPTON COUNTY,4681,1420,352,1563,1543,1562,7610,7601,7450,3512,7233,1348,1470,325,1470,1456,7125,7004,3425,6818,7128
8003,7016,9167,7014,6968,6837,3366,9167,9163,9007,4621,9167,7016,15860,16147,16197,16226,34586,11051,30434,31725,32296,11523,32645,34025,34715,Wilkes,16,16,16,16,43,16181,16131,15844,7987,316,193,64946,316,193,398,316,224,251,193,168,54628,15162,68412,59783,WILKES COUNTY,16183,10398,2279,11036,10948,11031,23281,23239,22761,9020,21931,9841,10447,2165,10444,10366,21582,21166,8718,20400,21598
11594,8384,16676,8383,8323,8207,4143,16676,16601,16235,7430,16676,8384,24492,24974,25109,25130,45157,13686,40133,42059,43130,13964,41997,44055,45281,Lincoln,50,50,50,21,70,25059,24924,24442,11573,394,246,81663,394,246,416,394,252,279,246,203,67981,15456,86111,74647,LINCOLN COUNTY,25060,15588,2550,17622,17053,17603,27243,27160,26608,11162,26015,14681,16608,2516,16607,16068,26234,25745,10967,25206,26243
11537,12066,9878,12066,12025,11872,7108,9878,9851,9689,4429,9878,12066,21561,21876,21944,21961,41486,14092,37411,38862,39434,14366,39278,40861,41576,Caldwell,0,0,0,0,17,21944,21876,21561,11537,338,204,78015,338,204,357,338,195,224,204,151,65842,16769,82178,71809,CALDWELL COUNTY,21944,11025,1643,11974,11741,11964,29245,29184,28782,12528,27915,10108,10918,1590,10916,10735,28281,27923,12351,27099,28292
1965,2438,1416,2438,2427,2381,1282,1416,1412,1374,683,1416,2438,3755,3839,3854,3854,9055,3946,8103,8429,8595,4129,8565,8907,9118,Polk,,,,,,3854,3839,3755,1965,172,100,19940,172,100,213,172,136,131,100,88,17478,6644,20724,18752,POLK COUNTY,3854,1727,791,1882,1834,1879,7023,7004,6901,3202,6666,1653,1805,770,1805,1761,6651,6568,3088,6350,6659
9603,9871,9732,9869,9796,9581,4884,9730,9727,9625,4673,9732,9871,19265,19582,19658,19677,38383,12549,34255,35795,36445,12936,36004,37662,38540,Surry,59,59,59,46,74,19599,19523,19206,9557,351,238,67979,351,238,403,351,256,245,238,193,56811,14964,71783,62223,SURRY COUNTY,19603,11498,2470,12166,12058,12163,25971,25869,25253,10210,24155,10813,11428,2363,11424,11352,24740,24205,9993,23204,24772
6971,8256,3410,8250,8223,8121,4946,3410,3410,3392,2025,3410,8256,11513,11633,11660,11691,22156,9300,20221,20868,21224,9510,21118,21835,22250,Macon,0,0,0,0,25,11660,11633,11513,6971,477,356,34121,477,356,537,477,266,415,356,239,29260,10350,35858,31614,MACON COUNTY,11666,3064,926,3211,3174,3210,18502,18469,18184,8318,17577,2866,2999,908,2998,2977,17801,17535,8153,16999,17810
2107,2650,617,2650,2642,2613,1742,617,616,615,365,617,2650,3228,3258,3267,3267,5527,2652,5046,5166,5315,2738,5329,5460,5658,Clay,,,,,,3267,3258,3228,2107,128,64,10740,128,64,253,128,54,158,64,23,9352,3581,11231,10050,CLAY COUNTY,3267,1050,353,1056,1054,1055,4349,4344,4278,2331,4151,992,998,342,997,996,4159,4106,2287,3990,4159
5083,4456,5469,4455,4430,4361,2438,5469,5464,5384,2633,5469,4456,9757,9906,9936,9948,19727,6620,17753,18502,18851,6755,18566,19391,19801,Yadkin,12,12,12,12,23,9924,9894,9745,5071,169,109,35700,169,109,193,169,118,131,109,93,29851,7711,37667,32660,YADKIN COUNTY,9925,5173,926,5636,5559,5633,13972,13925,13663,5711,13224,4917,5355,946,5354,5277,13351,13116,5581,12727,13365
26197,57877,5319,57868,56347,54386,23387,5319,5282,5217,2810,5319,57877,59603,61629,63187,63196,124385,42408,106673,110128,114333,45133,115669,119535,126635,Out of State,,,,,,63187,61629,59603,26197,,,,,,,,,,,,,,,,OUT OF STATE,63196,768,152,849,808,844,125786,123541,118727,44981,114901,970,1101,221,1101,1039,113072,109089,42187,105703,113232
15701,10394,23622,10390,10276,10014,4780,23622,23546,23064,9790,23622,10394,42586,43558,43748,43780,133607,19741,112289,117667,120182,20930,124466,130616,133899,Onslow,9736,9736,9508,1131,9764,34012,33822,33078,14570,61316,52094,180787,60585,51651,61373,58572,2935,52125,50085,2178,149343,19026,197938,162055,ONSLOW COUNTY,34016,27733,3413,31687,30450,31651,40839,40640,39581,14582,38161,25827,29433,3245,29431,28399,38546,37617,14318,36377,38624
5116,6898,3726,6897,6844,6722,3384,3726,3725,3651,1712,3726,6898,10416,10612,10666,10704,23779,7271,20659,21568,22011,7508,22315,23346,23901,Richmond,43,43,43,20,80,10623,10569,10373,5096,469,326,42075,469,326,537,469,198,393,326,153,34516,8183,44829,38043,RICHMOND COUNTY,10624,5129,787,5666,5579,5666,17698,17644,17298,6523,16717,4712,5207,735,5207,5133,16392,16109,6383,15621,16411
43879,65161,49332,65132,64024,61910,25724,49332,49003,47664,18020,49332,65161,109840,113293,114730,114860,182870,49671,159577,168143,174924,51230,167139,176222,184657,Buncombe,266,266,266,135,367,114464,113027,109574,43744,7344,4435,248550,7326,4435,7436,7265,2864,4496,4395,2142,213777,53494,261191,230148,BUNCOMBE COUNTY,114493,40824,8503,45526,43990,45409,131695,130117,124906,39863,119050,40340,45031,8742,44986,43507,124865,120201,38787,114842,125397
23700,22851,53390,22841,22626,21652,7289,53389,52812,50125,16309,53390,22851,71951,75612,76404,76464,138693,27382,116489,127617,133358,27960,121143,132717,139224,Union,174,174,174,102,223,76230,75438,71777,23598,1385,734,226508,1385,734,1425,1340,654,810,716,432,176616,31234,239859,202043,UNION COUNTY,76241,44310,5042,55138,51510,54957,82661,82351,79822,22264,75493,42873,53390,5113,53363,49979,79074,76904,21837,72900,79158
21907,25350,43440,25347,24952,23954,8915,43438,43026,41189,12794,43440,25350,65712,68558,69365,69391,129428,25672,107072,116357,122295,26538,113234,123037,130064,Cabarrus,580,580,569,198,601,68785,67978,65143,21709,4219,2628,202607,4192,2628,4285,4080,1298,2653,2559,984,161462,29064,216453,181104,CABARRUS COUNTY,68790,41149,4983,49503,46517,49352,76276,75857,72328,20257,68005,39821,47903,4955,47897,45157,71641,68572,19733,64692,71739
2096,2166,1320,2165,2158,2138,1371,1320,1320,1312,725,1320,2166,3450,3478,3485,3501,6558,2515,5615,5868,5979,2748,6173,6439,6580,Washington,0,0,0,0,15,3485,3478,3450,2096,64,40,10985,64,40,66,64,40,41,40,27,9274,2932,11580,10083,WASHINGTON COUNTY,3486,1791,518,1857,1853,1856,4657,4638,4522,2190,4318,1597,1665,448,1664,1659,4261,4169,2040,3978,4273
11063,12530,14956,12528,12387,12063,5686,14955,14877,14475,5203,14956,12530,27620,28421,28640,28676,64346,13985,53019,57012,59037,14706,57466,62014,64658,Harnett,1157,1157,1082,174,1190,27483,27264,26538,10889,7380,5251,126086,7023,5056,7466,6140,979,5290,4372,660,100990,17458,135976,112079,HARNETT COUNTY,27486,18358,2188,21258,20310,21209,35934,35757,34681,11539,32968,17406,20022,2128,20013,19185,33687,32771,11197,31241,33725
10912,11695,11515,11695,11616,11339,5554,11515,11497,11294,5358,11515,11695,22643,23123,23220,23257,44642,13647,39550,41490,42398,14032,41712,43773,44850,Burke,10,10,10,0,47,23210,23113,22633,10912,754,451,86176,754,451,830,754,368,518,451,264,73860,18720,90485,79893,BURKE COUNTY,23210,10795,1909,11880,11647,11864,32140,32024,31372,11755,30163,10013,10999,1836,10999,10828,30810,30211,11547,29086,30881
7993,10654,9524,10652,10538,10207,4192,9523,9482,9260,3535,9524,10654,21256,21809,21964,21986,40637,9133,35221,37171,38296,9383,37314,39443,40904,Granville,1789,1789,1789,266,1808,20175,20020,19467,7727,5466,4716,57336,5466,4716,5563,5466,642,4782,4716,534,48058,10674,60443,52711,GRANVILLE COUNTY,20178,9732,1357,10973,10637,10958,24368,24213,23340,7384,22116,9373,10536,1413,10533,10221,22934,22234,7186,21132,22978
25024,26048,34276,26034,25862,25406,11844,34276,34118,33223,13002,34276,26048,58943,60294,60624,60693,121965,32097,105336,111018,114111,33513,112438,118609,122388,Gaston,314,314,314,178,369,60310,59980,58629,24846,1954,1210,211171,1954,1210,2026,1921,1020,1254,1185,696,174276,36651,224529,191721,GASTON COUNTY,60324,38140,5934,43430,41971,43381,76932,76630,74684,26559,72377,36077,41025,5768,41022,39704,71747,70104,25633,68074,71832
6677,8655,4303,8654,8632,8547,4671,4303,4286,4185,1952,4303,8655,12828,13014,13053,13102,26935,8313,23268,24378,24913,8737,25144,26368,27058,Edgecombe,96,96,96,54,144,12957,12918,12732,6623,882,522,48532,882,522,943,866,424,575,501,232,39904,10509,51472,43948,EDGECOMBE COUNTY,12958,6752,1266,7642,7435,7635,18473,18418,18051,7047,17526,6271,7079,1208,7079,6908,17250,16948,6873,16496,17259
7247,13329,6363,13327,13022,12462,4957,6363,6360,6275,2290,6363,13329,18737,19382,19690,19692,33132,7824,29033,30322,31409,8204,30887,32087,33469,Watauga,,,,,,19690,19382,18737,7247,133,65,54308,133,65,223,133,74,108,65,55,49022,9229,56177,51530,WATAUGA COUNTY,19692,4635,732,4820,4797,4818,28426,28181,27157,7398,26119,4283,4456,696,4456,4436,26786,25821,7073,24685,26845
3615,5074,4397,5072,4999,4879,2199,4397,4375,4252,1276,4397,5074,10139,10431,10526,10566,26853,4501,20868,22566,23506,4820,23774,25780,27006,Hoke,1057,1057,1008,140,1095,9469,9374,9131,3475,6396,4553,50664,6187,4425,6446,5603,597,4568,3977,444,40282,5854,55234,44624,HOKE COUNTY,9471,6187,660,7183,6895,7176,13377,13281,12698,3563,11984,5902,6805,627,6804,6555,12093,11586,3430,10989,12133
2620,3855,1500,3855,3852,3813,1911,1500,1497,1476,709,1500,3855,5289,5349,5355,5365,10960,3732,9688,10040,10222,3954,10412,10801,11037,Bertie,0,0,0,0,10,5355,5349,5289,2620,69,26,18126,69,26,135,69,20,69,26,16,15647,4479,18947,16854,BERTIE COUNTY,5355,1958,394,2146,2101,2146,8756,8745,8631,3540,8385,1824,1992,374,1992,1951,8157,8063,3342,7838,8161
6584,6881,7053,6876,6826,6695,3079,7053,7029,6919,3472,7053,6881,13670,13911,13985,13995,23695,7505,21014,22040,22592,7655,22007,23092,23790,Person,56,56,56,33,61,13929,13855,13614,6551,441,294,37405,441,294,452,441,225,302,294,186,31361,7938,39490,34239,PERSON COUNTY,13934,5747,1201,6273,6100,6269,17065,16985,16551,6229,15819,5411,5901,1171,5899,5736,16362,16010,6148,15309,16389
8586,9822,5093,9822,9800,9703,5721,5093,5090,5019,2806,5093,9822,14810,14978,15003,15005,27609,10751,24786,25672,26129,11199,26213,27214,27693,Beaufort,88,88,88,59,90,14915,14890,14722,8527,671,380,44735,671,380,714,671,390,476,380,243,37669,11538,46994,41131,BEAUFORT COUNTY,14915,5140,1018,5773,5680,5772,21206,21166,20863,9791,20402,4788,5342,978,5342,5256,20301,20036,9530,19618,20311
5962,7065,5021,7059,6985,6853,3319,5021,5013,4887,2329,5021,7065,12827,13228,13342,13382,25558,7117,21786,22885,23774,7368,23454,24659,25791,Jackson,1262,1230,1087,314,1296,12080,11998,11740,5648,4172,3168,42001,3814,2867,4319,3424,678,3256,2533,570,36721,8759,43938,39175,JACKSON COUNTY,12086,3439,617,3839,3771,3833,17633,17553,17074,6073,16591,3183,3564,590,3563,3504,16929,16514,5957,16070,16954
21958,14587,33800,14583,14351,13832,7041,33800,33702,33004,14890,33800,14587,46881,48098,48428,48477,91327,27821,80742,85331,87516,28379,84228,89041,91658,Catawba,45,45,45,27,90,48383,48053,46836,21931,1154,694,150636,1154,694,1215,1126,508,759,683,354,124631,29156,159551,137151,CATAWBA COUNTY,48387,30022,4707,33325,32404,33293,57118,56880,55483,23164,53080,28407,31539,4605,31538,30699,55192,53938,22862,51652,55218
146361,202974,350436,202874,194731,181558,52264,350409,346115,332630,93612,350436,202974,515641,542299,554736,554923,858536,143863,716613,778684,829159,147273,744229,808460,870001,Wake,1453,1453,1453,485,1513,553283,540846,514188,145876,12477,8183,1044525,12431,8167,12578,12285,3814,8231,8072,2951,849055,133864,1111761,941934,WAKE COUNTY,553410,239342,24446,286209,268421,284985,571214,561074,527608,119013,492602,235238,280194,24883,279876,263659,537915,506858,116029,473303,540734
13194,13897,12702,13896,13809,13575,7006,12701,12680,12431,6162,12702,13897,26042,26525,26633,26666,52842,16608,46372,48810,49833,17106,49181,51806,52964,Cleveland,36,36,36,26,67,26597,26489,26006,13168,673,400,92365,673,400,728,673,388,474,400,291,76504,18575,97947,84044,CLEVELAND COUNTY,26599,14643,2754,16014,15866,16012,36222,36157,35267,13964,33865,13544,14816,2658,14816,14687,34534,33723,13659,32428,34543
