At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
19709,37539,38203,38203,38226,25523,25523,25070,13798,12644,12644,12433,5889,12644,25531,71467,68262,Henderson,36,36,36,22,51,1557,989,111764,26545,63614,66590,68331,27125,66380,69554,71540,1557,989,1608,1557,930,1045,989,767,95451,30961,117417,HENDERSON COUNTY,103234,13467,3939,14666,14305,14666,55266,55244,53692,22256,51356,12850,13995,13994,13671,3900,51930,53279,53291,21878,49775
4232,8973,9073,9073,9088,5801,5801,5728,2746,3272,3272,3245,1486,3272,5803,22717,20510,Pasquotank,0,0,0,0,13,33,0,37393,6602,19272,20111,20541,7196,21251,22185,22763,33,0,49,33,21,17,0,0,31068,6841,39824,PASQUOTANK COUNTY,34029,5279,981,5576,5508,5576,17138,17108,16644,6194,15939,4918,5166,5166,5114,912,14997,15344,15358,5690,14354
2172,3616,3632,3632,3632,2553,2553,2541,1548,1079,1079,1075,624,1079,2553,7563,7197,Pamlico,,,,,,155,110,12261,3384,6947,7123,7251,3472,7267,7468,7613,155,110,205,155,77,164,110,59,10805,3866,12726,PAMLICO COUNTY,11540,1160,268,1265,1246,1265,6143,6143,6067,3127,5952,1098,1186,1186,1171,264,5842,5901,5901,3061,5739
1643,3334,3373,3373,3374,2758,2758,2734,1362,615,615,600,281,615,2759,7640,7110,Mitchell,,,,,,104,52,14242,2806,6810,7030,7134,2919,7281,7532,7655,104,52,117,104,74,75,52,52,12229,3810,14964,MITCHELL COUNTY,13195,1067,259,1217,1207,1217,6321,6319,6221,2586,6110,975,1113,1113,1107,241,5871,5945,5946,2513,5783
2290,4638,4675,4675,4675,3193,3193,3171,1603,1482,1482,1467,687,1482,3193,13481,11993,Currituck,,,,,,940,618,26216,4145,11473,11874,12053,4721,12875,13304,13556,912,618,1004,817,87,672,542,25,21675,4551,27763,CURRITUCK COUNTY,23787,2043,378,2190,2144,2190,10362,10351,10248,4256,10015,1908,2044,2044,2003,374,9253,9331,9337,3746,9023
32723,52041,52469,52469,52480,22326,22326,22167,14789,30066,30066,29797,17879,30066,22328,93250,88859,Brunswick,77,77,77,55,86,2761,1928,137478,43092,85037,87635,88916,44149,88995,91849,93331,2761,1928,2817,2737,1555,1965,1918,1204,121795,46605,142820,BRUNSWICK COUNTY,129086,22744,6411,25023,24287,25020,65491,65469,64801,36183,63514,21761,23874,23872,23220,6615,62487,63059,63077,35273,61358
16923,36345,36918,36918,36946,19144,19144,18855,9710,17703,17703,17419,7165,17703,19149,86384,80101,Davidson,71,71,71,48,94,1933,1277,158409,25149,74846,78646,80185,25875,80260,84503,86492,1933,1277,2008,1886,918,1345,1241,697,131285,31089,167609,DAVIDSON COUNTY,144432,24071,4523,26137,25634,26135,58347,58316,56936,20434,54303,22623,24451,24450,24049,4484,53320,54374,54389,19968,50982
7079,16948,17258,17258,17282,7430,7430,7299,3263,9828,9828,9649,3816,9828,7434,39280,36846,Franklin,0,0,0,0,20,1194,699,65799,10331,33839,35957,36924,10612,35857,38188,39373,1194,699,1269,1124,397,767,649,264,54524,11935,69685,FRANKLIN COUNTY,59978,12265,1966,14049,13608,14048,24055,24038,23386,8249,22468,11685,13296,13296,12941,1976,22317,22851,22861,8091,21505
6590,13553,13765,13765,13771,6920,6920,6811,3848,6845,6845,6742,2742,6845,6926,27879,26652,Dare,,,,,,237,116,35367,9305,24957,26065,26730,9580,26035,27223,27953,237,116,297,237,63,189,116,0,30088,8201,37009,DARE COUNTY,32745,5159,623,5867,5597,5866,21789,21776,21389,8894,20639,4817,5509,5509,5248,603,20701,21027,21032,8702,20024
30562,75044,76734,76734,76760,31490,31490,30816,13987,45105,45105,44089,16491,45105,31507,154840,147003,New Hanover,139,139,139,84,148,3084,1945,223363,40748,135183,142730,147075,41742,141798,149927,154969,3071,1945,3157,3001,1247,1993,1894,931,191812,43147,234473,NEW HANOVER COUNTY,206724,44144,6246,51146,48654,51124,100666,100632,98202,34249,94653,42116,48821,48820,46579,6171,94206,96238,96261,33646,91173
3581,6602,6691,6691,6692,4683,4683,4645,2698,2008,2008,1957,883,2008,4684,23827,20602,Bladen,,,,,,6651,4631,31131,5948,18861,20281,20646,6406,21670,23333,23919,6487,4572,6737,5675,649,4670,3919,403,26077,7459,32722,BLADEN COUNTY,28574,4155,709,4581,4504,4581,12601,12595,12342,5048,11840,3902,4289,4289,4235,671,11474,11682,11687,4874,11040
2408,5022,5071,5071,5072,3998,3998,3972,1973,1073,1073,1050,435,1073,3999,12095,11266,Anson,,,,,,146,95,23143,3733,10662,11094,11281,3875,11403,11879,12138,146,95,188,146,82,109,95,69,19608,4730,24446,ANSON COUNTY,21306,2546,432,2908,2876,2908,9042,9041,8857,3361,8711,2319,2645,2645,2622,385,8377,8526,8527,3279,8248
18991,32019,32019,32019,32595,,,,,,,,,,,0,0,"",32019,32019,32019,18991,32595,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,
