First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.12417037721582794,0.9897321428571428,Missing or Undisclosed,0.07955977484667731,Alexander ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.9933566433566433
0.0614174901710764,0.18340472790734572,Missing or Undisclosed,0.03851875464881522,Rutherford ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.19934011547979105
,0.0023035230352303525,Missing or Undisclosed,,Franklin ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.003056665882906184
,,Missing or Undisclosed,,Wake ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.0016778523489932886,0.00022214817283127845,Missing or Undisclosed,0.0008389261744966443,Haywood ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00019436345966958212
0.027766334349509765,0.0229861537412182,Missing or Undisclosed,0.017220070857707836,Henderson ,Ethnicity,Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.02226483434537126
,0.0017416086130462318,Missing or Undisclosed,,Richmond ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
0.579404192717911,0.3340259519972861,Missing or Undisclosed,0.29433615299742555,Durham ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.2561533783567519
0.4793238756414126,0.41977266719534756,Missing or Undisclosed,0.3378609518060167,Caldwell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.39311636619058765
,0.0049579734283611565,Missing or Undisclosed,,Brunswick ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00022240343983986953
0.4729640256014125,0.4585428479726116,Missing or Undisclosed,0.245420436989627,Wilson ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.40524781341107874
,0.0001311991603253739,Missing or Undisclosed,,Wilkes ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
,0.0028280032491952226,Missing or Undisclosed,,Missing  / Out of State,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0005702229571762559
,0.0002577651759247326,Missing or Undisclosed,,Lenoir ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
0.08243792652824161,0.4095581605049594,Male,0.04014810512559895,Columbus ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3894366197183099
,,Missing or Undisclosed,,Beaufort ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.5766949152542373,0.4715869715869716,Missing or Undisclosed,0.36483050847457626,Avery ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.4173533688802714
,0.002101723413198823,Missing or Undisclosed,,Bladen ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0013368983957219253
0.4484605087014726,0.35708847266636207,Missing or Undisclosed,0.280168292216485,Davie ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.3132349796878341
0.163322445170322,0.28688524590163933,Missing or Undisclosed,0.08586094260382642,Clay ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.25034013605442174
0.03262233375156838,0.01310483870967742,Missing or Undisclosed,0.010037641154328732,Gates ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.007469654528478057
0.492018779342723,0.3095706971248523,Missing or Undisclosed,0.3730829420970266,Person ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.4008069939475454
0.0453035336756267,0.09316770186335405,Missing or Undisclosed,0.023557837511325883,Mitchell ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.09665427509293681
,0.0042660461508629045,Missing or Undisclosed,,Edgecombe ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.000983767830791933
,,Missing or Undisclosed,,Scotland ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.22529581068116405,0.9722829212190914,Missing or Undisclosed,0.12349429698326404,Pasquotank ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.9836552748885586
0.06969684192773117,0.08582554517133956,Missing or Undisclosed,0.032339671965256986,Iredell ,Race,Missing or Undisclosed,County,Black or African-American,Missing or Undisclosed,0.06500550894143571
,0.0011061946902654867,Missing or Undisclosed,,Swain ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0025974025974025974
0.5232139797841356,0.31327896599476845,Missing or Undisclosed,0.43695391468219974,Cabarrus ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.3931709572992138
,,Missing or Undisclosed,,Transylvania ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.3882691201840138,0.3463096886700518,Missing or Undisclosed,0.18907418056354228,Cabarrus ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.25342993679667025
0.07186147186147186,0.004766827475304387,Missing or Undisclosed,0.048484848484848485,Moore ,Race,Missing or Undisclosed,County,American Indian or Alaskan Native,Missing or Undisclosed,0.005178472350656556
,,Missing or Undisclosed,,Buncombe ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.03011376310506357,Missing or Undisclosed,,Buncombe ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.02374832364774251
0.32276988870003837,0.3678915135608049,Missing or Undisclosed,0.15439442951916224,Davidson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.2616614012265378
0.023501762632197415,0.0017216148747525178,Missing or Undisclosed,0.01527614571092832,Burke ,Race,Missing or Undisclosed,County,American Indian or Alaskan Native,Missing or Undisclosed,0.00172322375397667
,0.8218658804416499,Missing or Undisclosed,,Missing  / Out of State,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.8521411872041968
0.1748608170626519,0.9137471829543127,Missing or Undisclosed,0.0760213283149063,Currituck ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9137606032045241
0.0019015021867275148,0.0005128994204236549,Missing or Undisclosed,0.0009507510933637574,Cabarrus ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00038538615692924313
0.012524084778420038,0.009706019598693421,Missing or Undisclosed,0.008790944123314066,Nash ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.013657623947614593
,0.03380925185608224,Missing or Undisclosed,,Lincoln ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.032518896115310246
0.10769591740966682,0.1717171717171717,Missing or Undisclosed,0.04152979821679963,Greene ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.17753259779338015
0.05641025641025641,0.12561174551386622,Missing or Undisclosed,0.029304029304029304,Tyrrell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.14285714285714285
,0.0004016709511568123,Missing or Undisclosed,,Harnett ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0002684563758389262
0.12047017895263949,0.9602941176470587,Missing or Undisclosed,0.05771815618164088,Jackson ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9626373626373625
,0.00025693290625374693,Missing or Undisclosed,,Guilford ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00023508076703495989
0.12293065620636925,0.8214127054642382,Missing or Undisclosed,0.06329366398510737,Cleveland ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.8852519992560908
,0.0004336513443191674,Missing or Undisclosed,,Watauga ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00022021581149526536
,0.5708655495050995,Female,,Missing  / Out of State,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.5819695500940868
0.14136795903438185,0.4083465398837824,Male,0.05248719824433065,Washington ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.41294964028776976
,0.0008122988056199044,Missing or Undisclosed,,Missing  / Out of State,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.000684267548611507
0.07282260413632391,0.08638562543192813,Missing or Undisclosed,0.03495484998543548,Perquimans ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.0913937547600914
0.4827320580305559,0.3045274155665344,Missing or Undisclosed,0.3665425600205418,Robeson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.3554974473913585
0.15289084757013913,0.6839760775417613,Missing or Undisclosed,0.12088915113909812,Pitt ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.7379143452079464
0.09291984805559438,0.7019867549668874,Missing or Undisclosed,0.053942804873400835,Wayne ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.7868791697553744
0.0758594917787743,0.19254742547425474,Missing or Undisclosed,0.032030749519538756,Franklin ,Race,Missing or Undisclosed,County,Black or African-American,Missing or Undisclosed,0.14107688690336234
0.12282746071726289,0.3925123886454126,Male,0.0840959816426593,New Hanover ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3908840929922507
0.0188953488372093,0.016112117456382878,Missing or Undisclosed,0.012354651162790697,Alamance ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.01995305164319249
0.060304142632406924,0.1097328244274809,Missing or Undisclosed,0.03530851249781507,Montgomery ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.15574402467232074
0.07031873629771207,0.3830771115330434,Male,0.038473213783798976,Mecklenburg ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3731733914940022
0.02577319587628866,0.010906824555936428,Missing or Undisclosed,0.011045655375552283,Cherokee ,Race,Missing or Undisclosed,County,Suppressed,Missing or Undisclosed,0.007747933884297521
,0.000777000777000777,Missing or Undisclosed,,Polk ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0005777007510109763
,0.0005774386471437409,Missing or Undisclosed,,Pitt ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00016883336147222692
0.10182143923559271,0.3971787239549631,Male,0.0511263727149066,Lee ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.37585365853658537
