Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
39084,92300,93427,96162,MISSING COUNTY,126690,33256,83746,,126683,96068,85105,92073,13872,75828,78553,9474,78790,,33256,,24585,28518,94384,212593,194789,9415,94381,41840,,32594,,,Missing,90799,28570,213163,212018,7992,39084,,222436,93429,7348,29829,96445,33261,,,91950,96429,39060,30227,87286,200909,205711,28583,46990,,124894,39989,24374,38457,71983,221080,93427,126683
332,5460,5559,30432,WILSON COUNTY,16715,11124,10776,15,16698,30417,11635,29896,6205,28421,28745,222,28758,63224,11124,69710,2084,506,12191,43335,38614,266,12189,12716,28,11072,15,76972,Wilson,11948,506,41305,41266,1785,332,81801,44268,5559,1815,510,13326,11128,15337,0,12933,13323,332,10969,28864,41005,40701,506,13050,15,16547,356,10709,8289,27506,44246,5559,16698
,67,67,1860,TYRRELL COUNTY,751,684,141,,751,1858,166,1825,392,1756,1774,,1775,3288,684,3533,28,,146,1999,1816,,146,665,,684,,3827,Tyrrell,146,,1921,1920,36,,4016,2034,67,36,,174,684,810,,174,174,,645,1741,1907,1902,,681,,751,,629,420,1675,2032,67,751
8427,10207,10263,37614,WAYNE COUNTY,20232,9932,15916,26,20221,37578,17034,37130,4725,34720,34980,1126,35004,94031,9932,103693,4912,10422,17967,66746,57871,1619,17963,16227,36,9869,26,115046,Wayne,17606,10698,61431,61370,3025,8334,123131,67958,10263,3128,10842,19502,9933,20802,13,18918,19501,8165,12474,36062,63518,60660,10819,17221,26,20102,8460,12076,9650,33790,67898,10263,20221
122,2116,2128,9162,MONTGOMERY COUNTY,4331,2203,2563,,4331,9160,2736,9104,1204,8636,8668,94,8669,21266,2203,23512,1091,150,2741,12150,11112,105,2741,4373,,2199,,25757,Montgomery,2715,150,11554,11531,483,122,27173,12278,2128,515,186,2930,2203,5743,,2896,2930,122,3894,8879,11765,11473,150,4514,,4315,144,3796,2295,8427,12240,2128,4331
276,4758,4801,21340,LENOIR COUNTY,11762,6921,8366,26,11748,21336,8986,21129,3754,19875,19976,196,19980,43423,6921,47933,2434,412,9409,31481,28138,237,9409,10193,39,6902,26,52801,Lenoir,9257,412,29695,29661,1645,276,55949,31968,4802,1688,427,10201,6921,11303,12,9940,10201,276,8544,20675,30073,29408,412,10469,26,11686,306,8352,6200,19496,31949,4801,11748
158,2353,2388,12633,SCOTLAND COUNTY,6118,3730,4026,,6118,12630,4434,12542,1969,11773,11824,99,11824,26793,3730,29381,1150,205,4505,17675,15749,124,4505,5776,,3724,,32530,Scotland,4458,205,16523,16487,836,158,34823,17911,2388,914,241,5037,3730,6531,,4928,5037,158,4977,12295,16934,16389,205,6015,,6077,194,4841,3119,11565,17872,2388,6118
1037,21076,21324,74517,ALAMANCE COUNTY,39472,18114,22589,0,39438,74495,24216,72397,8155,69476,71031,654,71048,132145,18114,145046,8012,1436,24953,99859,89430,735,24953,26114,32,17900,0,159560,Alamance,24322,1436,97047,97021,4101,1037,169509,102866,21324,4415,1454,26895,18116,29035,0,26026,26894,1037,21947,68354,94006,94835,1436,27097,0,38976,1046,21359,16167,65804,102825,21324,39438
1085,492,494,3767,CAMDEN COUNTY,1681,1187,768,,1681,3758,784,3673,631,3354,3408,0,3410,8407,1187,9354,201,852,816,5348,5054,0,816,1385,,1184,,10327,Camden,802,852,5323,5309,116,1085,10867,5501,494,129,889,845,1187,1833,,823,845,1085,1375,3501,5137,5241,852,1504,,1676,1097,1269,832,3201,5455,494,1681
68,1167,1190,8669,GREENE COUNTY,3876,2686,2232,,3876,8665,2420,8530,1352,8061,8144,54,8145,16884,2686,18372,447,84,2566,11365,10237,60,2566,2922,,2681,,20022,Greene,2543,84,10793,10778,368,68,21069,11576,1190,386,101,2806,2686,3592,,2751,2806,68,2543,8379,10883,10672,84,2989,,3848,82,2500,1799,7937,11555,1190,3876
2888,12136,12251,40036,ROWAN COUNTY,22359,10009,18327,91,22351,40017,19950,39403,5648,37379,37770,1481,37785,110729,10009,122048,5228,3521,19697,64073,56969,1630,19695,19211,99,9945,91,133830,Rowan,19392,3521,60402,60353,3298,2888,142088,65163,12251,3445,3554,21573,10009,25371,64,21149,21573,2888,14795,37645,61116,59659,3521,19870,91,22172,2920,14432,10940,35754,65111,12251,22351
70,509,512,7706,NORTHAMPTON COUNTY,3552,3040,1247,,3552,7703,1333,7591,1965,7109,7157,57,7160,16132,3040,17363,218,108,1363,9162,8256,68,1363,3820,,3030,,18570,Northampton,1356,108,8606,8590,303,70,19483,9311,512,328,124,1481,3040,5256,,1463,1481,70,3553,7385,8826,8535,108,3949,,3539,83,3460,2183,6939,9292,512,3552
184,6405,6455,22825,WILKES COUNTY,11866,5410,9230,,11865,22816,9862,22389,2824,20795,21119,160,21127,54628,5410,59783,3179,234,9790,33019,29465,180,9790,10636,,5358,,64946,Wilkes,9747,234,31123,31093,1951,184,68412,33555,6455,2077,260,10470,5411,15162,,10396,10470,184,8771,21570,31666,30726,234,11028,,11763,206,8525,6003,20051,33520,6455,11865
239,11405,11550,26994,LINCOLN COUNTY,17881,6329,13789,,17879,26987,14769,26572,3251,25590,25886,199,25889,67981,6329,74647,4914,368,15563,43218,39109,236,15563,13088,,6305,,81663,Lincoln,15166,368,41724,41688,2182,239,86111,44152,11550,2213,389,16769,6331,15456,,16278,16769,239,10897,25991,41128,40995,368,13346,,17710,272,10707,8165,25081,44124,11550,17879
202,6588,6658,28590,CALDWELL COUNTY,16420,9762,9388,,16420,28577,10330,28271,5889,27371,27593,149,27601,65842,9762,71809,2807,317,10116,39632,36156,183,10116,13480,,9698,,78015,Caldwell,9990,317,37936,37911,1375,202,82178,40141,6658,1445,325,11226,9762,16769,,11044,11226,202,12146,27415,38062,37563,317,13774,,16286,219,11956,8696,26566,40120,6658,16420
100,1070,1091,7312,POLK COUNTY,3228,2137,1593,,3228,7308,1671,7221,1184,6891,6960,88,6964,17478,2137,18752,509,118,1735,9120,8360,98,1735,4108,,2123,,19940,Polk,1697,118,8817,8795,745,100,20724,9282,1091,760,146,1824,2137,6644,,1781,1824,100,3379,6973,8762,8688,118,4237,,3193,118,3275,1693,6667,9250,1091,3228
221,6483,6529,25782,SURRY COUNTY,14369,7840,10205,,14369,25760,11055,25262,4043,24195,24510,179,24524,56811,7840,62223,2997,292,10805,37192,33593,207,10804,12246,,7773,,67979,Surry,10764,292,35557,35535,2152,221,71783,37801,6529,2297,309,11710,7840,14964,,11638,11709,221,10101,24121,35468,35180,292,12605,,14256,228,9915,7040,23167,37761,6529,14369
351,2322,2327,18311,MACON COUNTY,9476,7147,2679,,9474,18301,2919,18043,4498,17329,17531,238,17538,29260,7147,31614,1352,439,2813,21514,19796,259,2813,8976,,7119,,34121,Macon,2798,439,20758,20695,819,351,35858,21847,2327,856,483,3053,7149,10350,,3032,3053,351,8092,17407,20765,20478,439,9207,,9441,407,7919,5850,16766,21793,2327,9474
23,407,408,4260,CLAY COUNTY,2644,2236,967,,2644,4260,1017,4201,1487,4000,4039,23,4039,9352,2236,10050,227,25,970,5246,4884,25,970,2551,,2222,,10740,Clay,970,25,5078,5032,321,23,11231,5373,408,323,93,1020,2236,3581,,1020,1020,23,2260,4082,5124,4993,25,2608,,2629,69,2207,1714,3894,5305,408,2644
102,3780,3814,13615,YADKIN COUNTY,7280,3466,4538,,7280,13607,4868,13410,2018,12873,13014,87,13021,29851,3466,32660,1808,149,4925,18802,17127,105,4925,6298,,3450,,35700,Yadkin,4874,149,18065,18041,851,102,37667,19091,3814,840,171,5305,3466,7711,,5243,5305,102,5477,12977,17994,17849,149,6422,,7230,119,5360,3826,12487,19061,3814,7280
,,,113198,OUT OF STATE,32440,32437,,,32437,113131,,110296,12162,97740,99694,,99746,,32437,,,,,110296,95334,,,37308,,31859,,,Out of State,,,99746,99694,,,,113198,,,,,32440,,,,,,42438,107475,107475,97740,,42438,,31859,,37308,12162,95334,113131,,32437
50117,15146,15295,39253,ONSLOW COUNTY,22695,7279,23693,113,22687,39235,25820,38399,3660,35531,36070,2516,36091,149343,7279,162055,6459,56071,26743,124248,106923,3048,26741,18975,119,7220,113,180787,Onslow,26077,57428,112975,112928,2876,49991,197938,126419,15295,3011,57742,29424,7281,19026,39,28421,29424,48822,13904,37037,118928,111599,57680,19963,113,22479,50141,13583,10158,34408,126339,15295,22687
249,2538,2568,17086,RICHMOND COUNTY,7881,5312,4284,,7880,17074,4715,16806,2804,15557,15735,131,15742,34516,5312,38043,1238,290,4762,22303,19683,144,4762,6886,,5301,,42075,Richmond,4726,290,20788,20746,664,249,44829,22691,2568,703,329,5276,5313,8183,,5207,5276,249,6226,16290,21295,20532,290,7073,,7839,284,6091,4042,15150,22640,2568,7880
3838,35336,36070,127458,BUNCOMBE COUNTY,89882,53654,38999,84,89808,127383,39695,122766,22583,117971,121612,2032,121677,213777,53654,230148,11726,5713,43423,171360,155424,2373,43422,47850,142,52750,84,248550,Buncombe,42140,5713,168976,168872,8259,3838,261191,177454,36070,8081,5742,44254,53670,53494,56,42881,44246,3838,38204,116844,162252,163949,5713,48658,84,88170,3876,37559,34365,112587,177342,36070,89808
569,37021,38125,82936,UNION COUNTY,56167,17990,39929,41,56156,82881,41685,80439,5976,77007,78830,412,78867,176616,17990,202043,11411,902,49517,130221,113212,510,49516,26681,45,17566,41,226508,Union,46926,902,128976,128915,4504,569,239859,135996,38126,4507,920,52140,17996,31234,25,48880,52127,569,22465,75799,118386,124502,902,27482,41,54628,592,21765,17412,72714,135910,38125,56156
1453,29258,29867,73983,CABARRUS COUNTY,47263,17314,37318,54,47235,73940,38907,71101,5991,67123,69147,862,69175,161462,17314,181104,8628,2141,44446,117383,102125,945,44442,24641,80,17032,54,202607,Cabarrus,42444,2141,115088,115042,4401,1453,216453,122807,29868,4468,2157,46667,17315,29064,19,44141,46657,1453,19935,66837,107885,111020,2141,25348,54,46344,1467,19378,14638,63354,122738,29867,47235
28,878,883,4447,WASHINGTON COUNTY,2574,1690,1519,,2573,4436,1718,4370,1126,4003,4033,16,4043,9274,1690,10083,458,55,1583,6204,5378,33,1583,2388,,1688,,10985,Washington,1578,55,5664,5644,408,28,11580,6286,883,475,56,1783,1691,2932,,1779,1783,28,2109,4177,5950,5609,55,2617,,2566,38,1964,1584,3831,6274,883,2573
892,9822,9943,35554,HARNETT COUNTY,19478,9494,16062,13,19450,35517,17207,34760,4826,32796,33250,348,33270,100990,9494,112079,3521,1313,18255,55205,48261,394,18254,13439,38,9424,13,126086,Harnett,17794,1324,52479,52396,1911,892,135976,56748,9944,1991,1392,19802,9496,17458,0,19121,19801,892,11505,33072,51592,51482,1339,13890,13,19259,954,11180,8347,31307,56657,9943,19450
347,7877,7960,31413,BURKE COUNTY,17420,9459,9322,,17419,31399,10177,30993,4889,29754,30059,261,30073,73860,9459,79893,3666,494,10242,42523,38333,312,10242,13218,,9405,,86176,Burke,10136,494,40683,40648,1609,347,90485,43148,7960,1730,503,11232,9460,18720,,11036,11231,347,11565,29782,40453,40237,494,13607,,17282,368,11348,8555,28664,43124,7960,17419
4404,6502,6585,23658,GRANVILLE COUNTY,15622,7718,8848,1291,15594,23641,9324,23005,3507,21897,22282,516,22299,48058,7718,52711,2375,4837,9898,38076,34086,571,9895,8891,1318,7614,1291,57336,Granville,9681,4837,36611,36581,1282,4404,60443,39049,6585,1224,4885,10506,7719,10674,181,10234,10503,4404,7292,21822,35983,35982,4837,9087,1291,15407,4414,7093,6063,20834,38981,6585,15594
856,23383,23756,75083,GASTON COUNTY,42921,19097,33693,60,42913,75031,36131,73560,9242,68357,69369,653,69413,174276,19097,191721,8964,1319,38173,114884,101027,824,38173,30755,66,18976,60,211171,Gaston,37283,1319,108463,108398,5187,856,224529,117625,23756,5393,1342,41200,19099,36651,42,40005,41199,856,25880,71362,108812,106496,1319,32097,60,42419,877,24915,18248,66478,117549,23756,42913
290,2782,2818,17889,EDGECOMBE COUNTY,8932,6080,5658,26,8924,17881,6177,17621,3457,16524,16668,201,16672,39904,6080,43948,1311,393,6359,24866,22081,239,6359,7962,34,6064,26,48532,Edgecombe,6273,393,23326,23317,1080,290,51472,25314,2818,1147,405,7020,6080,10509,15,6852,7020,290,6856,17145,23715,23087,393,8242,26,8872,295,6681,4783,16133,25294,2818,8924
54,4532,4580,28449,WATAUGA COUNTY,14237,9655,4080,,14235,28410,4463,27461,4051,25878,26665,54,26701,49022,9655,51530,1467,90,4253,32194,28945,72,4253,7657,,9554,,54308,Watauga,4237,90,31020,30972,624,54,56177,33240,4580,663,127,4664,9657,9229,,4643,4664,54,7335,26462,31015,30169,90,8070,,14086,66,6979,5518,24811,33164,4580,14235
781,2791,2829,12659,HOKE COUNTY,6482,3593,5393,24,6446,12638,5725,12286,1684,11106,11308,227,11328,40282,3593,44624,799,1168,6150,19869,16776,243,6150,4060,59,3566,24,50664,Hoke,6017,1168,18264,18239,554,781,55234,20471,2829,583,1193,6619,3594,5854,0,6415,6619,781,3413,11639,18532,17904,1168,4239,24,6381,786,3279,2483,10602,20425,2829,6446
15,980,988,8720,BERTIE COUNTY,3709,2721,1671,,3709,8715,1798,8648,1515,7939,7969,15,7971,15647,2721,16854,496,34,1808,10624,9406,19,1808,3566,,2720,,18126,Bertie,1798,34,9807,9792,329,15,18947,10732,988,349,43,1969,2721,4479,,1942,1969,15,3454,8411,10243,9752,34,3822,,3700,28,3222,2011,7720,10718,988,3709
284,4503,4532,16631,PERSON COUNTY,9553,5008,5015,0,9540,16617,5393,16271,2495,15668,15914,180,15922,31361,5008,34239,2188,391,5378,22395,20287,201,5378,7092,13,4989,0,37405,Person,5308,391,21592,21576,1052,284,39490,22877,4532,1081,391,5855,5008,7938,0,5733,5854,284,5941,15555,21339,21260,391,7223,0,9492,292,5860,4683,14988,22862,4532,9540
276,3468,3495,20710,BEAUFORT COUNTY,10859,7328,4351,36,10859,20699,4722,20474,4535,19556,19702,224,19710,37669,7328,41131,1940,389,4872,26141,23787,271,4872,10236,36,7313,36,44735,Beaufort,4823,389,24881,24850,871,276,46994,26464,3495,913,405,5349,7328,11538,26,5278,5349,276,9409,20034,25145,24655,389,10593,36,10817,299,9141,6501,19160,26437,3495,10859
2764,3435,3503,17414,JACKSON COUNTY,9949,5747,2952,688,9938,17399,3200,16953,2825,16348,16678,544,16693,36721,5747,39175,1551,3181,3301,24022,21184,652,3301,6848,697,5689,688,42001,Jackson,3264,3540,22792,22743,518,2593,43938,24845,3503,553,3857,3574,5749,8759,249,3529,3574,2302,5909,16499,22880,22205,3794,7114,688,9812,2798,5786,4625,15930,24767,3503,9938
516,23879,24190,55757,CATAWBA COUNTY,35230,11026,26497,0,35216,55736,28442,54616,5726,52754,53552,350,53570,124631,11026,137151,10592,713,29341,86172,77507,385,29340,26510,10,10883,0,150636,Catawba,28753,713,83450,83408,4007,516,159551,88118,24190,4181,743,31618,11030,29156,0,30843,31617,516,22505,52179,81334,82023,713,27071,0,34762,539,22153,16318,50494,88066,24190,35216
6115,233428,238024,551994,WAKE COUNTY,381376,143068,223177,191,381283,551574,228597,522767,38475,497469,520858,2710,521110,849055,143068,941934,57236,8742,262548,788704,693170,3009,262535,136586,210,137753,191,1044525,Wake,250742,8742,789786,789508,22138,6115,1111761,832537,238034,21929,8797,271746,143132,133864,54,257195,271724,6115,116933,487481,724820,754326,8742,141871,191,371372,6128,111738,95765,463878,832040,238024,381283
369,9010,9145,35342,CLEVELAND COUNTY,19951,10806,12669,,19951,35333,13869,34595,5714,32922,33417,285,33424,76504,10806,84044,4443,500,13908,50233,44742,323,13908,15875,,10740,,92365,Cleveland,13822,500,47719,47694,2425,369,97947,51138,9145,2509,522,15274,10806,18575,,15138,15274,369,13482,33227,47596,47113,500,16314,,19750,387,13165,10157,31704,51107,9145,19951
305,4535,4573,25310,SAMPSON COUNTY,11497,6909,7328,0,11482,25297,7854,25012,3743,23076,23209,204,23218,48081,6909,53473,2076,420,7978,33918,29736,236,7978,9117,14,6871,0,59389,Sampson,7910,420,31515,31492,1221,305,63531,34361,4573,1275,433,8618,6910,11637,0,8486,8618,305,7912,23873,32147,31291,420,9423,0,11406,319,7692,5819,22103,34335,4573,11482
273,2818,2858,17978,COLUMBUS COUNTY,8111,5240,5401,0,8098,17967,5959,17753,2761,16649,16772,199,16782,44013,5240,48224,1484,344,6332,24926,22115,227,6330,7529,13,5229,0,52603,Columbus,6251,344,23393,23375,1105,273,55508,25316,2858,1187,361,6977,5240,11419,0,6829,6977,273,6430,17451,23754,23173,344,7844,0,8047,279,6225,4245,16441,25288,2858,8098
69,890,894,9385,CASWELL COUNTY,4744,3848,1328,,4742,9376,1604,9256,2142,8864,8933,58,8940,18383,3848,19944,365,92,1415,11040,10025,69,1415,4023,,3825,,21496,Caswell,1401,92,10426,10417,271,69,22604,11203,894,381,110,1708,3850,5005,,1692,1708,69,3776,8995,10691,10334,92,4226,,4715,71,3694,2507,8628,11176,894,4742
104,337,352,8273,YANCEY COUNTY,4529,4177,812,,4529,8271,884,8128,2407,7703,7799,104,7801,14782,4177,15969,127,133,960,9298,8480,115,960,3754,,4148,,17212,Yancey,959,133,8892,8863,150,104,18069,9487,352,144,175,1039,4177,4744,,1037,1039,104,3608,7963,8980,8766,133,3867,,4485,131,3500,2534,7564,9443,352,4529
436,6718,6798,23196,LEE COUNTY,12802,5977,9556,0,12775,23176,10031,22563,3148,20882,21293,214,21302,47136,5977,52144,2674,641,10898,34488,30064,248,10898,9179,27,5931,0,57893,Lee,10714,641,32664,32627,1339,436,61779,35422,6798,1344,658,11568,5977,10404,0,11284,11568,436,7857,21607,32279,32032,641,9449,0,12649,464,7626,5822,20072,35385,6798,12775
10,1289,1295,8417,HERTFORD COUNTY,4421,3126,2657,,4421,8409,2869,8339,1786,7749,7796,10,7804,19299,3126,20898,621,25,3024,11619,10285,12,3024,3877,,3124,,22610,Hertford,2987,25,10851,10830,617,10,23677,11774,1295,610,50,3307,3126,4836,,3255,3307,10,3434,8192,11086,10746,25,4056,,4413,23,3250,2407,7618,11741,1295,4421
