First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
0.014830508474576272,0.005874947545111204,Missing or Undisclosed,0.005296610169491525,Mitchell ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.0037907505686125853
,0.03552011598405219,Missing or Undisclosed,,Wilkes ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0013086864060199573
,,Missing or Undisclosed,,Wayne ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.0005244755244755245,0.00017384249869618125,Missing or Undisclosed,0.00034965034965034965,Rowan ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00016556291390728477
0.16231146862246407,0.6403154677182257,Female,0.10579050097592713,Cumberland ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.6365577621183003
0.16579120157583715,0.047133490444968146,Missing or Undisclosed,0.1057124097176625,Cumberland ,Race,Missing or Undisclosed,County,Asian or Pacific Islander,Missing or Undisclosed,0.0458395615346288
,,Missing or Undisclosed,,Avery ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.18801551730631616,0.9755716239984367,Missing or Undisclosed,0.1256826484878159,Currituck ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.9823373564910215
0.5694962686567164,0.32038834951456313,Missing or Undisclosed,0.37235696517412936,Granville ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.3506588579795022
,0.0051508462104488595,Missing or Undisclosed,,Henderson ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0014621070587279668
0.029661847106304613,0.03935738795882292,Missing or Undisclosed,0.014066846910387523,Onslow ,Ethnicity,Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.03287244757806062
0.000407000407000407,0.000243605359317905,Missing or Undisclosed,0.0,Warren ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Suppressed,0.0
0.523117254528122,0.2895778364116095,Missing or Undisclosed,0.3739275500476644,Edgecombe ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.38333740532616667
0.23770032500280175,0.17427624551505025,Missing or Undisclosed,0.11307856102207778,Orange ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.1304910117687632
0.055484167049105096,0.1401170539491221,Missing or Undisclosed,0.02856815052776503,Rowan ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.10306291390728475
,0.0019267822736030828,Missing or Undisclosed,,Hyde ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.002173913043478261
0.08616810059563203,0.1378361211094643,Missing or Undisclosed,0.04103242885506287,Montgomery ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.12520193861066237
,0.0005600018666728889,Missing or Undisclosed,,Cumberland ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,7.11794433767528e-05
,8.905248159582047e-05,Missing or Undisclosed,,Union ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
,0.012943539388529346,Missing or Undisclosed,,Chatham ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0009031940224977421
0.14999261992619925,0.18053795406900308,Missing or Undisclosed,0.055616236162361624,Guilford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.11541524575769332
0.2629038355288028,0.9720460165573594,Missing or Undisclosed,0.09107563465061502,Macon ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9796684391617141
,0.028318795555024492,Missing or Undisclosed,,Nash ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0023485204321277596
,0.06340167046317388,Missing or Undisclosed,,Duplin ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.05920146856356127
,0.009319664492078284,Missing or Undisclosed,,Hoke ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.009773976786805132
,0.00417519443307409,Missing or Undisclosed,,Watauga ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.006926121372031663
,,Missing or Undisclosed,,Franklin ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.018847006651884702,Missing or Undisclosed,,Columbus ,Ethnicity,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0006917223887479825
0.1697891287910611,0.975857073877354,Missing or Undisclosed,0.09714637766389425,Alexander ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.9919931369745496
0.08766337264902774,0.163706716936204,Missing or Undisclosed,0.05440442035915418,Rutherford ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.2028928076084803
