Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
19602,19485,23708,20613,BEAUFORT COUNTY,10102,224,20602,4691,20408,9121,0,4331,276,10079,0,37669,0,10102,41131,19101,387,4849,26039,270,0,6174,24758,276,10210,44735,BEAUFORT,387,865,4849,46994,0,26330,24563,907,402,5315,11538,5244,5315,9388,19969,25047,387,10102,10565,299,4802,19610,276
16621,16323,21146,17378,JACKSON COUNTY,8710,544,17364,3189,16936,5779,247,2937,2587,8638,679,36721,679,8710,39175,15911,3171,3284,23979,650,679,4247,22709,2298,6840,42001,JACKSON,3528,517,3284,43938,679,24780,22158,552,3841,3561,8759,3515,3561,5899,16484,22844,3778,8710,7101,2791,3248,16634,2757
53388,52666,77307,55529,CATAWBA COUNTY,32991,350,55508,28214,54496,22124,,26377,514,32760,,124631,,32994,137151,50416,708,29150,85783,383,,15824,83092,514,26456,150636,CATAWBA,708,3982,29149,159551,,87579,81795,4150,737,31313,29156,30579,31312,22480,52075,80997,708,32991,27013,536,28615,53406,514
517307,496673,691701,549034,WAKE COUNTY,350585,2708,548620,227511,521651,111560,13,222406,6104,345047,59,849055,59,350600,941934,463191,8696,260730,786287,3004,59,93065,784387,6104,136298,1044525,WAKE,8696,22030,260717,1111761,59,827431,752643,21817,8751,269646,133864,255940,269624,116730,486551,722758,8696,350585,141551,6117,249866,517540,6104
33231,32798,44562,35105,CLEVELAND COUNTY,18617,285,35096,13748,34434,13139,,12593,369,18518,,76504,,18617,84044,31600,499,13827,49939,322,,9750,47452,369,15840,92365,CLEVELAND,499,2416,13827,97947,,50761,46910,2498,520,15136,18575,15006,15136,13436,33091,47338,499,18617,16256,387,13743,33238,369
23084,22992,29624,25132,SAMPSON COUNTY,10269,203,25120,7784,24918,7679,,7287,304,10234,,48081,,10269,53473,22033,418,7932,33749,235,,5477,31343,304,9099,59389,SAMPSON,418,1217,7932,63531,,34104,31164,1266,430,8542,11637,8413,8542,7899,23793,31995,418,10269,9400,318,7868,23093,304
16771,16663,22098,17947,COLUMBUS COUNTY,7454,199,17936,5896,17759,6242,,5370,272,7426,,44013,,7454,48224,16456,344,6280,24856,227,,4058,23337,272,7544,52603,COLUMBUS,344,1103,6278,55508,,25189,23141,1185,360,6882,11419,6753,6882,6448,17461,23701,344,7454,7860,278,6206,16779,272
8883,8827,9986,9333,CASWELL COUNTY,4413,58,9323,1592,9222,3685,,1318,69,4395,,18383,,4415,19944,8599,91,1405,10992,69,,2388,10367,69,4013,21496,CASWELL,91,270,1405,22604,,11137,10287,379,109,1695,5005,1679,1695,3770,8969,10652,91,4413,4218,71,1391,8891,69
7749,7664,8438,8224,YANCEY COUNTY,4268,103,8222,878,8091,3494,,808,103,4244,,14782,,4268,15969,7527,133,956,9255,115,,2456,8837,103,3747,17212,YANCEY,133,150,956,18069,,9431,8722,144,174,1033,4744,1031,1033,3601,7924,8935,133,4268,3860,130,955,7751,103
21239,20887,30008,23111,LEE COUNTY,11997,213,23091,9923,22531,7635,,9485,433,11918,,47136,,11997,52144,20090,633,10790,34327,247,,5636,32498,433,9178,57893,LEE,633,1330,10790,61779,,35190,31947,1337,650,11429,10404,11163,11429,7861,21588,32144,633,11997,9445,460,10627,21248,433
7766,7733,10251,8386,HERTFORD COUNTY,4098,10,8378,2849,8313,3242,,2637,10,4092,,19299,,4098,20898,7604,25,3003,11574,12,,2289,10800,10,3864,22610,HERTFORD,25,612,3003,23677,,11724,10709,607,50,3288,4836,3236,3288,3427,8168,11042,25,4098,4046,23,2966,7774,10
30879,30696,42534,32495,ROCKINGHAM COUNTY,18039,263,32477,13363,32117,13008,0,12489,338,17976,0,72695,0,18039,79246,29707,473,13396,46735,306,0,9827,44645,338,15955,86406,ROCKINGHAM,473,2684,13396,91010,0,47406,44253,2690,493,14418,18996,14145,14418,13330,31042,44878,473,18039,16326,357,13219,30892,338
26373,26213,37171,27867,CARTERET COUNTY,17539,324,27860,11485,27615,12900,,10958,500,17481,,57537,,17540,62070,25713,563,12190,40687,339,,9866,39084,500,15627,66672,CARTERET,563,2403,12188,69473,,41332,38627,2345,603,12862,17867,12509,12862,13372,27050,39098,563,17539,16056,517,11914,26377,500
430353,419046,609155,466333,MECKLENBURG COUNTY,274970,2028,465967,216511,449675,95464,69,206930,4934,271516,147,852079,147,274978,937616,397291,7685,239558,699258,2518,147,75979,675148,4934,119476,1037049,MECKLENBURG,7685,21984,239545,1110356,147,726258,655392,22300,7774,252151,127686,241898,252100,99804,425429,649625,7685,274970,124622,4988,231412,430602,4934
4016,3956,6987,4188,SWAIN COUNTY,2459,405,4187,1161,4100,1863,267,1024,2397,2450,642,11137,642,2459,12138,3875,2921,1107,8688,492,642,1365,7724,2088,2467,13403,SWAIN,3340,199,1107,14271,642,9081,7458,216,3640,1253,2803,1248,1253,1901,4001,8083,3593,2459,2609,2600,1105,4017,2570
7556,7504,8809,8040,AVERY COUNTY,3998,50,8034,1431,7949,3065,,1335,61,3983,,14969,,3998,15935,7413,78,1459,9585,58,,2100,9086,61,3396,16905,AVERY,78,281,1459,17557,,9706,9022,290,100,1566,4020,1558,1566,3199,7854,9363,78,3998,3547,65,1457,7562,61
17107,16827,22518,18927,VANCE COUNTY,8801,189,18902,6638,18379,6248,,6297,297,8752,,34092,,8801,37671,15924,393,6927,26007,214,,4439,24352,297,7575,41780,VANCE,393,1138,6925,44535,,26662,23979,1125,405,7330,8487,7235,7329,6449,17302,24333,393,8801,7788,302,6855,17123,297
20831,20715,24534,22276,HALIFAX COUNTY,9801,190,22257,4574,21973,8347,,4212,253,9767,,39391,,9801,43237,20069,368,4665,27360,223,,5262,25771,253,9391,47245,HALIFAX,368,854,4665,50010,,27738,25595,897,372,5090,10690,5019,5090,8547,21184,26126,368,9801,9667,262,4627,20844,253
33741,33518,48928,36006,NASH COUNTY,19218,362,35984,16343,35514,12553,0,15628,550,19121,0,73765,0,19220,81106,32750,768,17719,54548,423,0,9404,52040,550,15954,89023,NASH,768,3039,17719,94298,0,55545,51484,3054,775,18764,17956,18266,18764,12892,34585,51696,768,19218,16369,563,17416,33758,550
21239,21051,25960,22998,RUTHERFORD COUNTY,11228,431,22979,5229,22685,8470,,5023,526,11185,,53422,,11228,58398,20411,614,5438,28907,465,,6175,27234,526,10263,63605,RUTHERFORD,614,1362,5436,67029,,29337,26957,1385,648,5691,14855,5608,5691,8879,21965,27808,614,11228,10729,546,5380,21250,526
