county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
BEAUFORT COUNTY,2672,2672,1885,2650,2672,1788,1788,1776,1334,1788,884,884,884,874,551,8609,9823,5090,9823,9799,9702,5742,5090,5086,5014,2808,5090,9823,14804,14973,15001,15014,27661,10806,24840,25727,26190,11256,26266,27269,27783,Beaufort,88,88,88,59,101,14913,14885,14716,8550,671,384,44735,671,384,747,671,390,490,384,243,37669,11538,46994,41131,BEAUFORT COUNTY,14913,5160,1025,5792,5698,5790,21244,21200,20900,9841,20435,4804,5355,5355,5268,982,20075,20335,20345,9581,19652
JACKSON COUNTY,2135,2139,1261,2095,2139,1074,1072,1054,731,1074,1065,1065,1063,1041,530,5966,7061,5019,7053,6976,6846,3320,5019,5011,4886,2332,5019,7061,12852,13250,13371,13424,25624,7127,21843,22942,23834,7415,23520,24723,25875,Jackson,1299,1263,1120,314,1344,12072,11987,11732,5652,4229,3209,42001,3870,2907,4393,3480,714,3299,2572,570,36721,8759,43938,39175,JACKSON COUNTY,12080,3443,619,3841,3773,3835,17641,17560,17080,6082,16597,3189,3569,3568,3511,591,16524,16939,16966,5966,16082
CATAWBA COUNTY,7943,7961,4709,7794,7961,2384,2374,2303,1590,2384,5577,5577,5569,5491,3119,22037,14599,33816,14595,14360,13839,7062,33816,33717,33029,14948,33816,14599,46913,48122,48456,48527,91462,27908,80845,85419,87599,28512,84384,89180,91787,Catawba,45,45,45,27,112,48411,48077,46868,22010,1200,706,150636,1200,706,1247,1172,553,771,695,354,124631,29156,159551,137151,CATAWBA COUNTY,48415,30094,4752,33376,32459,33345,57164,56917,55521,23207,53118,28471,31581,31580,30746,4650,53967,55218,55247,22904,51679
WAKE COUNTY,113685,114273,41923,108846,114303,32163,31895,30025,12960,32191,82112,82110,81790,78821,28963,146980,202367,350636,202264,193973,180842,52398,350608,346306,332942,94012,350636,202367,515495,542000,554593,554763,859354,144525,717690,779636,830152,148145,745253,809371,871395,Wake,1721,1721,1711,570,1760,552872,540279,513784,146410,12669,8385,1044525,12623,8368,12763,12476,4043,8434,8267,3001,849055,133864,1111761,941934,WAKE COUNTY,553003,239847,24625,286551,268865,285312,572081,561373,527883,119477,492930,235739,280531,280199,264083,25082,507185,538217,541187,116442,473684
CLEVELAND COUNTY,4009,4010,2599,3962,4011,2344,2344,2322,1586,2344,1667,1666,1665,1640,1013,13174,13808,12698,13807,13720,13490,6963,12697,12676,12434,6185,12698,13808,25960,26432,26540,26573,52711,16566,46269,48683,49704,17083,49089,51686,52848,Cleveland,36,36,36,26,67,26504,26396,25924,13148,687,401,92365,687,401,767,687,412,485,401,291,76504,18575,97947,84044,CLEVELAND COUNTY,26506,14670,2768,16026,15879,16024,36055,36000,35120,13903,33732,13567,14827,14827,14699,2669,33583,34383,34392,13606,32301
SAMPSON COUNTY,2261,2261,1286,2251,2261,1352,1352,1350,754,1352,909,909,909,901,532,7632,9519,6991,9516,9481,9278,4459,6991,6985,6856,3145,6991,9519,16181,16513,16554,16613,36067,9662,31205,32815,33506,10011,33568,35335,36150,Sampson,47,47,47,28,103,16507,16466,16134,7604,633,413,59389,633,413,674,633,290,482,413,208,48081,11637,63531,53473,SAMPSON COUNTY,16510,8395,1439,9202,9008,9202,26274,26232,25694,8282,24540,7933,8679,8679,8519,1400,23883,24329,24345,8054,22859
COLUMBUS COUNTY,1431,1431,840,1420,1432,914,914,914,528,915,517,517,517,506,312,5561,7246,4423,7245,7231,7196,3344,4423,4412,4314,2198,4423,7246,11553,11686,11711,11732,25726,7579,22690,23741,24152,7892,24132,25289,25848,Columbus,43,43,43,19,63,11668,11643,11510,5542,389,313,52603,389,313,479,389,233,358,313,205,44013,11419,55508,48224,COLUMBUS COUNTY,11669,6402,1269,7445,7259,7443,17924,17894,17641,6390,17341,5964,6976,6974,6813,1193,16615,16801,16818,6181,16413
CASWELL COUNTY,918,919,550,909,919,750,749,745,466,750,169,169,169,164,84,3082,4829,1392,4826,4811,4758,2467,1392,1388,1370,615,1392,4829,6128,6199,6218,6235,11503,4176,10265,10587,10824,4402,10934,11293,11595,Caswell,0,0,0,0,14,6218,6199,6128,3082,170,96,21496,170,96,234,170,87,139,96,61,18383,5005,22604,19944,CASWELL COUNTY,6221,1677,414,1788,1768,1788,9573,9545,9355,3901,9087,1421,1521,1521,1501,296,8990,9153,9164,3819,8748
YANCEY COUNTY,1457,1459,954,1438,1459,1318,1316,1306,886,1318,141,141,141,132,68,3015,4981,571,4981,4951,4896,2782,571,570,535,233,571,4981,5431,5521,5552,5552,9685,3902,8756,9038,9227,4026,9198,9510,9775,Yancey,,,,,,5552,5521,5431,3015,137,107,17212,137,107,194,137,118,134,107,107,14782,4744,18069,15969,YANCEY COUNTY,5552,965,175,1114,1110,1112,8467,8436,8263,3733,8096,891,1033,1032,1027,173,7904,8050,8060,3622,7758
LEE COUNTY,3257,3269,1837,3139,3270,1375,1364,1279,773,1376,1894,1894,1893,1860,1064,8044,8125,10497,8123,7945,7631,3696,10497,10445,10217,4296,10497,8125,17961,18503,18733,18764,37339,9647,31606,33741,34882,10000,33744,36075,37595,Lee,113,113,113,52,142,18620,18390,17848,7992,705,474,57893,705,474,735,705,276,506,474,227,47136,10404,61779,52144,LEE COUNTY,18622,10768,1539,12417,12028,12401,24443,24233,23342,8185,22271,10426,11940,11939,11614,1527,21653,22404,22436,7893,20706
HERTFORD COUNTY,994,994,639,991,994,734,734,733,484,734,260,260,260,258,155,3273,4388,2092,4386,4381,4360,2338,2091,2088,2027,935,2092,4388,6387,6469,6477,6493,12264,4173,10791,11264,11474,4372,11523,12064,12345,Hertford,0,0,0,0,13,6477,6469,6387,3273,43,12,22610,43,12,97,43,29,42,12,12,19299,4836,23677,20898,HERTFORD COUNTY,6480,3125,686,3602,3510,3597,8646,8624,8511,3657,8355,2919,3329,3329,3253,676,7999,8090,8103,3485,7860
ROCKINGHAM COUNTY,3647,3648,2245,3603,3648,1381,1381,1361,914,1381,2267,2267,2266,2242,1331,14237,11273,15359,11270,11225,11092,6478,15356,15330,15175,7697,15359,11273,26370,26658,26729,26753,49294,16873,44241,46006,46885,17327,46494,48375,49481,Rockingham,103,103,103,62,121,26626,26555,26267,14175,594,375,86406,594,375,657,594,374,406,375,278,72695,18996,91010,79246,ROCKINGHAM COUNTY,26632,14370,3011,15568,15202,15556,33256,33144,32579,13942,31530,13628,14747,14747,14419,2967,31212,31701,31732,13628,30238
CARTERET COUNTY,4282,4285,2906,4246,4285,992,992,982,708,992,3293,3293,3290,3264,2198,14104,7995,16550,7994,7955,7873,4740,16548,16510,16269,9008,16550,7995,25287,25672,25749,25774,48781,17195,42815,44680,45524,17962,45796,47856,48902,Carteret,1207,1207,1145,356,1229,24542,24465,24142,13748,7073,5339,66672,6903,5236,7126,6425,1558,5360,4851,1027,57537,17867,69473,62070,CARTERET COUNTY,24545,12129,2621,13560,13170,13553,28216,28155,27783,13783,27242,11720,13070,13066,12710,2699,26734,27083,27094,13469,26244
MECKLENBURG COUNTY,68651,68813,28007,66687,68834,13221,13199,12871,5873,13242,55592,55592,55452,53816,22134,117896,147519,273162,147456,145465,139892,39061,273156,270621,261002,78144,273162,147519,402801,418005,422531,422698,751718,124173,631607,678799,710416,128159,667912,717951,756131,Mecklenburg,1919,1919,1907,691,2017,420612,416086,400894,117205,9898,6100,1037049,9865,6087,10027,9740,3336,6161,5995,2325,852079,127686,1110356,937616,MECKLENBURG COUNTY,420681,230653,25101,270333,256393,269503,475771,472317,451693,99722,427519,222224,260672,260583,247480,24963,425232,442609,443583,96885,403388
SWAIN COUNTY,653,653,444,648,653,311,311,309,222,311,342,342,342,339,222,2104,2094,1244,2094,2083,2053,1209,1244,1244,1215,561,1244,2094,4384,4605,4677,4736,9630,2529,7289,7853,8388,2721,8462,9126,9753,Swain,1339,1278,1116,334,1398,3338,3327,3268,1770,4148,3101,13403,3748,2758,4261,3288,568,3192,2377,430,11137,2803,14271,12138,SWAIN COUNTY,3338,1243,260,1345,1331,1343,4147,4139,4047,1893,3931,1110,1203,1202,1190,241,3905,3989,3993,1858,3802
AVERY COUNTY,935,937,609,930,937,491,489,486,322,491,446,446,446,444,287,2864,3871,1897,3869,3852,3814,1869,1897,1897,1871,995,1897,3871,5685,5749,5766,5768,10148,3634,9214,9451,9605,3836,9787,10016,10231,Avery,,,,,,5766,5749,5685,2864,135,72,16905,135,72,193,135,97,106,72,51,14969,4020,17557,15935,AVERY COUNTY,5768,1522,327,1664,1653,1664,8374,8349,8228,3412,8130,1421,1553,1553,1547,314,7832,7939,7946,3269,7721
VANCE COUNTY,2126,2127,1269,2077,2127,1334,1333,1290,812,1334,793,793,793,787,457,6271,7901,5722,7900,7803,7557,3650,5722,5709,5601,2595,5722,7901,13206,13560,13670,13684,28515,8100,23847,25451,26247,8346,25691,27545,28712,Vance,48,48,48,26,61,13622,13512,13158,6245,483,316,41780,483,316,549,483,270,354,316,204,34092,8487,44535,37671,VANCE COUNTY,13623,7160,1245,7868,7726,7862,20295,20170,19336,6831,18048,6815,7471,7468,7354,1262,17781,18392,18422,6634,16716
HALIFAX COUNTY,2214,2221,1433,2189,2221,1870,1863,1843,1252,1870,351,351,351,346,181,7065,11313,2982,11311,11288,11147,5821,2982,2979,2919,1233,2982,11313,14088,14289,14315,14344,28960,9610,25463,26582,27093,9937,27061,28373,29086,Halifax,22,22,22,11,49,14293,14267,14066,7054,554,360,47245,554,360,606,554,299,401,360,218,39391,10690,50010,43237,HALIFAX COUNTY,14295,5003,982,5529,5437,5529,22951,22877,22382,8656,21504,4646,5132,5132,5057,931,21165,21539,21560,8461,20457
NASH COUNTY,3905,3907,2271,3839,3907,1613,1613,1593,916,1613,2294,2294,2292,2246,1355,13992,16076,14205,16073,16018,15807,7717,14204,14143,13775,6201,14205,16076,29727,30306,30422,30490,57930,16537,50743,53514,54823,17043,53485,56477,58154,Nash,145,145,145,74,209,30277,30161,29582,13918,947,617,89023,947,617,1059,936,498,692,617,376,73765,17956,94298,81106,NASH COUNTY,30281,17699,3373,20379,19638,20360,36716,36623,35892,13172,34850,17057,19522,19521,18896,3355,34001,34583,34609,12806,33069
RUTHERFORD COUNTY,2715,2720,1778,2690,2721,1883,1880,1867,1272,1884,837,837,835,823,506,8086,10818,4551,10814,10768,10633,5829,4551,4545,4475,2245,4551,10818,15120,15325,15377,15429,30327,10818,27000,28034,28513,11311,28736,29848,30460,Rutherford,12,12,12,12,60,15365,15313,15108,8074,694,538,63605,694,538,785,694,502,591,538,432,53422,14855,67029,58398,RUTHERFORD COUNTY,15369,5570,1502,6054,5947,6049,23621,23584,23207,9307,22472,5408,5854,5851,5765,1477,21731,22053,22068,8909,21054
ASHE COUNTY,1623,1625,994,1600,1625,956,954,937,613,956,669,669,669,663,381,4860,5759,3728,5759,5700,5599,2899,3728,3727,3680,1961,3728,5759,9279,9427,9487,9497,16199,5909,14365,14885,15295,6247,15275,15838,16343,Ashe,0,0,0,0,10,9487,9427,9279,4860,158,80,26129,158,80,236,158,112,151,80,69,22479,7249,27203,24214,ASHE COUNTY,9487,3234,861,3469,3445,3467,12638,12574,12235,5274,11883,3098,3317,3317,3299,884,11506,11807,11827,4956,11187
STOKES COUNTY,2296,2296,1404,2267,2296,1026,1026,1015,691,1026,1270,1270,1270,1252,713,6307,5734,6603,5734,5701,5633,3240,6603,6594,6494,3042,6603,5734,12163,12331,12373,12380,23018,8162,20710,21445,21893,8469,21826,22625,23140,Stokes,36,36,36,25,43,12337,12295,12127,6282,275,145,43536,275,145,357,275,179,223,145,125,37145,9917,45591,40306,STOKES COUNTY,12337,7406,1808,7966,7848,7962,14817,14781,14502,6482,14145,6985,7513,7513,7411,1722,13889,14137,14157,6315,13580
GRAHAM COUNTY,382,382,276,381,382,189,189,189,150,189,193,193,193,192,126,1136,1056,871,1055,1050,1035,578,871,871,867,535,871,1056,2000,2019,2024,2062,4270,1571,3737,3852,3939,1644,4071,4202,4305,Graham,98,98,98,23,135,1926,1921,1902,1113,426,308,8040,405,294,457,362,62,338,255,37,6767,2067,8441,7414,GRAHAM COUNTY,1927,897,176,909,909,909,2939,2935,2888,1406,2812,807,821,821,820,164,2738,2778,2780,1370,2675
PENDER COUNTY,2873,2883,1690,2821,2884,1521,1513,1493,995,1522,1362,1362,1360,1328,695,8043,8037,9408,8034,7959,7831,3930,9407,9350,9104,4047,9408,8037,17120,17494,17626,17686,34925,9781,30019,31750,32845,10195,32025,33897,35106,Pender,185,185,185,66,241,17441,17309,16935,7977,1494,977,59482,1457,958,1530,1327,403,1028,871,296,49058,11716,63060,53967,PENDER COUNTY,17445,9528,1572,10915,10491,10902,22661,22529,21949,8220,21170,8906,10226,10226,9844,1511,20948,21504,21591,7974,20242
CRAVEN COUNTY,5260,5268,3342,5133,5268,2845,2840,2738,1835,2845,2423,2423,2420,2395,1507,17742,18015,15253,18012,17803,17216,10062,15253,15240,15007,7471,15253,18015,33473,34305,34540,34584,68458,20603,60127,63150,64822,21090,63267,66618,68765,Craven,1275,1262,1250,209,1316,33265,33043,32223,17533,9969,8624,95778,9878,8564,10033,9713,1086,8644,8442,790,80387,20103,102139,87409,CRAVEN COUNTY,33268,15413,2879,16810,16482,16805,41922,41684,40258,17125,38141,14743,16002,16000,15700,2903,38886,40118,40176,16910,36942
GUILFORD COUNTY,34993,35088,17482,34057,35088,5893,5887,5746,3378,5893,29195,29195,29106,28311,14104,76274,58534,141253,58516,57878,56141,23204,141248,140142,135941,52630,141253,58534,193108,199046,200790,200866,352643,82578,303203,323277,335563,84901,318198,339587,354514,Guilford,1026,1026,1026,440,1079,199764,198020,192082,75834,5738,3561,505896,5719,3561,5797,5654,2399,3615,3517,1638,418240,83442,537174,459608,GUILFORD COUNTY,199787,99452,16580,117671,110828,117267,231046,229638,223040,65922,213092,96192,113747,113732,107441,16431,212275,217874,218201,64509,203494
MADISON COUNTY,1520,1521,950,1502,1521,1251,1250,1235,813,1251,270,270,270,267,137,3261,5848,972,5847,5815,5719,2923,972,965,940,338,972,5848,6659,6780,6819,6820,12819,4602,11683,12090,12378,4670,12101,12542,12910,Madison,,,,,,6819,6780,6659,3261,221,119,20741,221,119,257,221,109,138,119,86,17939,5034,21755,19327,MADISON COUNTY,6820,1253,283,1404,1382,1401,11249,11197,10939,4278,10627,1191,1330,1330,1310,265,10661,10890,10910,4251,10373
CHATHAM COUNTY,8375,8427,4740,8142,8430,2432,2413,2336,1501,2435,5995,5995,5962,5806,3239,16034,11762,21997,11752,11417,11007,5878,21996,21779,21172,10079,21997,11762,32910,33977,34529,34571,48399,14258,40634,43388,45435,14948,43352,46371,48863,Chatham,781,781,731,77,812,33748,33196,32179,15957,4922,3391,70897,4779,3319,4999,4272,858,3416,2957,443,59661,18634,74470,65198,CHATHAM COUNTY,33759,12358,2613,14083,13413,14021,29781,29456,28179,11477,26722,11879,13583,13564,12929,2620,27140,28254,28436,11195,25798
PITT COUNTY,8006,8018,3759,7772,8021,2835,2832,2720,1094,2838,5183,5183,5174,5052,2665,19449,19352,31884,19344,18979,18367,6095,31882,31727,30924,13207,31884,19352,49677,51092,51612,51701,104338,23348,89695,95139,98527,23982,94914,100805,104968,Pitt,386,386,386,147,465,51226,50706,49291,19302,2332,1438,170444,2332,1438,2384,2305,851,1510,1427,580,142466,25045,180742,155511,PITT COUNTY,51236,28426,3797,32952,31588,32915,69632,69091,66885,19334,64183,26608,30906,30900,29632,3669,64069,65973,66111,19099,61660
MOORE COUNTY,7688,7689,4956,7514,7689,2785,2785,2682,1782,2785,4904,4904,4903,4832,3174,21529,16014,23534,16012,15696,15344,8653,23534,23449,23056,12770,23534,16014,39076,39896,40297,40341,63441,23283,55676,58172,59580,24125,59238,62015,63924,Moore,751,751,676,106,793,39546,39145,38400,21423,4965,3396,94937,4800,3320,5000,4285,939,3427,2930,647,79328,24192,100880,86466,MOORE COUNTY,39548,15304,3628,17337,16599,17320,41587,41156,40616,19558,39649,14565,16468,16464,15784,3587,39068,39524,39685,19049,38181
FORSYTH COUNTY,28818,28845,14266,28025,28849,7584,7583,7297,3792,7588,21261,21261,21235,20728,10474,54308,50124,91825,50113,49005,47035,19930,91823,91221,88587,34011,91825,50124,136371,140975,142685,142754,256502,60873,217322,231933,241672,62987,230506,246173,258380,Forsyth,749,749,749,367,805,141936,140226,135622,53941,4356,2584,359934,4356,2584,4395,4322,1924,2634,2557,1334,295401,62720,382295,325690,FORSYTH COUNTY,141949,68538,11607,77734,74827,77587,176251,174559,166990,49456,157646,66421,75273,75265,72650,11722,156699,163114,163765,47817,148344
IREDELL COUNTY,8607,8629,4667,8425,8629,1637,1632,1598,986,1637,6992,6992,6975,6827,3681,23284,17089,39473,17083,16986,16610,7974,39473,39254,38230,15145,39473,17089,55089,56489,56805,56891,102112,26763,89504,94890,97600,27310,93583,99318,102493,Iredell,249,249,249,165,329,56556,56240,54840,23119,2125,1463,171884,2125,1463,2197,2076,1072,1531,1428,882,140623,29513,181806,156060,IREDELL COUNTY,56562,37298,5825,42905,41090,42798,57391,57189,56103,20413,54209,35908,41102,41089,39508,5949,53919,54901,54967,19932,52168
