Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
21850,STOKES COUNTY,3413,3421,2073,3359,3421,1552,1545,1519,1024,1552,1869,1869,1868,1840,1049,6356,5738,6613,5738,5701,5633,3256,6613,6604,6505,3075,6613,5738,12174,12341,12387,12394,23061,8230,20769,21508,21951,8535,21875,22680,23186,Stokes,36,36,36,25,43,12351,12305,12138,6331,275,145,43536,275,145,357,275,179,223,145,125,37145,9917,45591,40306,STOKES COUNTY,12351,7428,1826,7983,7867,7979,14846,14807,14538,6530,14172,7004,7527,7527,7426,1739,13937,14178,14201,6366,13620
3905,GRAHAM COUNTY,505,505,364,504,505,249,249,249,191,249,256,256,256,255,173,1141,1053,871,1052,1047,1033,579,871,871,867,539,871,1053,1998,2016,2021,2059,4266,1575,3734,3850,3937,1648,4068,4199,4301,Graham,98,98,98,23,135,1923,1918,1900,1118,426,309,8040,405,294,457,362,62,339,255,37,6767,2067,8441,7414,GRAHAM COUNTY,1924,898,176,909,909,909,2935,2931,2885,1410,2808,808,822,822,821,164,2735,2774,2776,1374,2671
32723,PENDER COUNTY,4247,4280,2421,4159,4281,2248,2225,2198,1432,2249,2032,2032,2022,1961,989,8094,8032,9437,8029,7952,7828,3939,9436,9379,9140,4089,9437,8032,17153,17516,17650,17711,34945,9821,30063,31780,32876,10250,32077,33936,35137,Pender,185,185,185,66,242,17465,17331,16968,8028,1494,978,59482,1457,959,1530,1327,403,1029,872,296,49058,11716,63060,53967,PENDER COUNTY,17469,9567,1598,10936,10519,10920,22671,22531,21960,8249,21183,8942,10245,10241,9866,1535,20955,21504,21602,7990,20249
64874,CRAVEN COUNTY,8791,8896,5476,8548,8900,5335,5233,5030,3356,5339,3561,3561,3558,3518,2120,17815,18004,15264,18001,17794,17215,10101,15264,15251,15019,7514,15264,18004,33483,34306,34539,34584,68541,20712,60258,63273,65005,21203,63363,66699,68840,Craven,1274,1261,1249,200,1316,33265,33045,32234,17615,9967,8637,95778,9876,8575,10007,9711,1089,8657,8451,792,80387,20103,102139,87409,CRAVEN COUNTY,33268,15448,2907,16832,16507,16827,42001,41747,40316,17207,38204,14781,16025,16023,15727,2928,38971,40214,40323,16992,37026
335382,GUILFORD COUNTY,52654,53251,24842,50925,53256,10467,10256,9926,5513,10472,42784,42784,42398,40999,19329,76686,58632,141286,58610,57967,56251,23351,141281,140190,136068,52928,141286,58632,193294,199132,200866,200922,352661,82967,303621,323545,336211,85178,318459,339680,354646,Guilford,975,975,975,407,1004,199891,198157,192319,76279,5542,3542,505896,5523,3542,5584,5457,2264,3572,3497,1627,418240,83442,537174,459608,GUILFORD COUNTY,199918,99707,16717,117853,111072,117446,231209,229673,223085,66197,213295,96439,114060,113926,107687,16572,212316,217914,218579,64768,203685
12328,MADISON COUNTY,2272,2293,1344,2236,2293,1921,1906,1875,1169,1921,372,372,366,361,175,3282,5820,980,5820,5788,5696,2934,980,973,948,348,980,5820,6644,6761,6800,6800,12797,4623,11678,12077,12383,4687,12086,12519,12880,Madison,,,,,,6800,6761,6644,3282,221,119,20741,221,119,247,221,109,138,119,86,17939,5034,21755,19327,MADISON COUNTY,6800,1257,284,1407,1384,1404,11226,11172,10914,4294,10608,1195,1334,1334,1313,266,10645,10875,10911,4271,10364
45540,CHATHAM COUNTY,11406,11594,6078,11031,11605,3502,3380,3255,1962,3512,8093,8092,8026,7776,4116,16146,11908,21991,11897,11563,11136,5910,21990,21790,21192,10159,21991,11908,33064,34139,34673,34717,48739,14348,40939,43706,45829,15041,43666,46701,49199,Chatham,786,786,736,77,818,33887,33353,32328,16069,4913,3397,70897,4769,3324,4963,4262,845,3412,2962,443,59661,18634,74470,65198,CHATHAM COUNTY,33899,12405,2650,14115,13446,14052,30121,29774,28486,11546,26999,11921,13625,13589,12954,2646,27428,28554,28792,11259,26056
98503,PITT COUNTY,12934,13040,5760,12526,13044,5437,5351,5151,2089,5441,7603,7603,7583,7375,3671,19532,19246,31884,19238,18864,18257,6117,31882,31728,30940,13279,31884,19246,49572,50967,51495,51565,104355,23474,89944,95341,98811,24066,95004,100827,105043,Pitt,375,375,375,136,435,51120,50592,49197,19396,2248,1442,170444,2248,1442,2287,2221,806,1502,1431,582,142466,25045,180742,155511,PITT COUNTY,51130,28534,3835,33008,31661,32973,69748,69134,66918,19425,64249,26702,30963,30956,29701,3703,64198,66105,66346,19189,61811
59496,MOORE COUNTY,11207,11323,6974,10896,11326,4306,4200,4007,2647,4309,7017,7017,7007,6889,4327,21640,16054,23549,16052,15735,15375,8701,23549,23464,23079,12833,23549,16054,39131,39951,40353,40384,63598,23389,55758,58240,59793,24246,59351,62113,64140,Moore,752,752,677,106,781,39601,39199,38454,21534,4971,3401,94937,4803,3322,5007,4288,940,3432,2932,648,79328,24192,100880,86466,MOORE COUNTY,39603,15362,3668,17377,16638,17358,41756,41269,40672,19638,39701,14607,16488,16483,15809,3620,39109,39612,39873,19121,38219
240929,FORSYTH COUNTY,43376,43810,20457,41956,43817,13180,12876,12338,6212,13187,30630,30630,30500,29618,14245,54522,50004,91845,49993,48878,46932,19934,91843,91245,88653,34250,91845,50004,136292,140830,142543,142607,256242,60905,217415,231910,242009,62905,230396,245933,258260,Forsyth,707,707,707,338,758,141836,140123,135585,54184,4209,2574,359934,4209,2574,4235,4175,1810,2607,2547,1322,295401,62720,382295,325690,FORSYTH COUNTY,141849,68727,11726,77844,74956,77690,176181,174343,166768,49369,157494,66621,75431,75383,72783,11846,156553,162972,163971,47737,148247
