Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
5791,5784,6985,6797,66,6058,3319,12261,Pamlico,49,77,6058,1098,255,6019,1116,3015,1036,12726,66,7344,6964,258,93,1193,3866,1185,1193,3084,5918,7093,10805,77,3394,78,11540,1114,5791,66,5695,77,1116,7281,52
5777,5751,6905,6645,52,6174,2788,14242,Mitchell,52,101,6172,1020,235,6105,1052,2501,921,14964,52,7446,6853,249,114,1158,3810,1156,1158,2566,6008,7129,12229,101,2887,75,13195,1050,5778,52,5672,101,1052,7362,72
9017,8998,10971,10613,13,10124,3998,26216,Currituck,13,34,10116,1956,353,10064,1922,3632,1817,27763,13,12245,10922,359,46,2075,4551,2054,2075,4152,9839,11829,21675,34,4530,28,23787,1911,9021,13,8783,34,1922,12152,19
62212,62005,86246,83342,1488,64970,42435,137478,Brunswick,1133,1815,64950,21928,6391,64573,22510,34911,20929,142820,1488,90596,85768,6186,1844,23782,46605,23339,23780,36103,63357,87100,121795,1815,43531,1505,129086,22275,62229,1488,60925,1815,22512,89727,1242
52543,52177,76462,72306,928,56499,24628,158409,Davidson,695,1243,56469,22841,4291,55711,22940,19642,21414,167609,928,82375,75902,4332,1272,24604,31089,24338,24602,20083,53220,77304,131285,1243,25196,961,144432,22797,52560,928,49964,1243,22941,81292,781
22168,22016,35136,32858,384,23403,10149,65799,Franklin,246,505,23389,11771,1908,23037,12547,7995,11223,69685,384,37231,34822,1885,524,13304,11935,13073,13303,8174,22187,34463,54524,505,10334,411,59978,12422,22178,384,21251,505,12547,36615,275
20866,20697,25975,24630,0,21468,9206,35367,Dare,0,10,21457,4967,574,21190,5086,8632,4600,37009,0,27014,25703,601,23,5523,8201,5377,5523,8786,20447,25424,30088,10,9397,17,32745,5006,20872,0,20030,10,5086,26577,10
94228,93479,141644,132514,1234,99324,40193,223363,New Hanover,852,1823,99294,42711,5943,97655,46139,33398,40793,234473,1234,149832,139779,6034,1840,48668,43147,47043,48648,34269,94179,138713,191812,1823,41296,1255,206724,45066,94249,1234,90487,1823,46140,146521,993
11318,11283,15506,14719,151,12256,5574,31131,Bladen,90,176,12249,3913,643,12136,4005,4841,3671,32722,151,16747,15424,677,217,4274,7459,4246,4274,5003,11683,15772,26077,176,5778,177,28574,3990,11324,151,10897,176,4005,16558,98
8190,8149,10775,10327,95,8755,3682,23143,Anson,69,119,8754,2416,369,8670,2485,3244,2185,24446,95,11638,10725,412,129,2754,4730,2738,2754,3327,8552,11087,19608,119,3816,99,21306,2481,8191,95,8047,119,2485,11527,77
