"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
6687.0,26,669.0,28314,3587
7778.0,53,778.0,28301,1378
8376.0,4,838.0,28675,570
9553.0,78,955.0,27030,3596
8015.0,8,802.0,27521,573
5545.0,2,555.0,27805,209
9290.0,43,929.0,27536,1529
3739.0,1,374.0,27939,126
9292.0,32,929.0,27896,1971
0.0,0,0.0,27340,0
8529.0,13,853.0,28690,804
4459.0,25,446.0,28711,680
4268.0,21,427.0,27514,1402
8066.0,6,807.0,27027,324
5952.0,22,595.0,28787,1231
7989.0,5,799.0,27851,447
7487.0,2,749.0,27525,1163
8499.0,9,850.0,27822,775
9090.0,33,909.0,28659,1910
4636.0,1,464.0,28709,107
9243.0,0,924.0,28006,105
5195.0,0,519.0,27824,80
6607.0,2,661.0,28357,213
5123.0,3,512.0,27243,239
9342.0,72,934.0,28139,1881
6937.0,43,694.0,28387,1189
11306.0,2,1131.0,28452,58
13069.0,16,1307.0,28777,1358
5063.0,2,506.0,28763,145
6034.0,3,603.0,28742,171
6554.0,4,655.0,27957,93
5304.0,1,530.0,28756,253
3065.0,0,307.0,28553,16
5789.0,1,579.0,28693,98
748.0,0,75.0,28223,22
8800.0,14,880.0,27858,5119
5860.0,19,586.0,28754,517
,0,,28533,0
6152.0,0,615.0,27946,67
0.0,0,0.0,27827,0
6716.0,3,672.0,28594,247
5969.0,3,597.0,28624,113
5128.0,1,513.0,27942,48
6440.0,13,644.0,27701,1706
5903.0,8,590.0,28457,758
5414.0,15,541.0,28451,2122
6195.0,9,620.0,28557,945
5811.0,0,581.0,28736,43
6481.0,2,648.0,28454,230
7892.0,6,789.0,28135,471
14218.0,0,1422.0,27268,241
8448.0,63,845.0,28025,4674
7040.0,0,704.0,27916,39
0.0,0,0.0,28775,0
0.0,0,0.0,27956,0
5863.0,2,586.0,27826,73
7179.0,0,718.0,27508,168
4992.0,1,499.0,28615,94
7536.0,4,754.0,28762,573
6570.0,10,657.0,28382,526
0.0,0,0.0,28552,0
6782.0,0,678.0,28723,792
0.0,0,0.0,27841,0
13031.0,9,1303.0,28719,905
7347.0,11,735.0,28209,1911
6931.0,32,693.0,27260,1781
9569.0,45,957.0,28645,4557
,0,,28583,0
4065.0,18,406.0,28805,829
6670.0,0,667.0,28698,123
4657.0,1,466.0,27314,53
