Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
2583,729,747,4200,SWAIN COUNTY,3265,1846,1027,662,3255,4199,1172,4105,1105,3962,4025,407,4026,11137,1846,12138,293,2929,1110,8715,7003,492,1110,2475,672,1843,662,13403,Swain,1108,3350,7749,7718,200,2407,14271,9125,747,218,3660,1265,1846,2803,274,1260,1265,2096,1906,4005,8106,7477,3613,2616,662,3234,2613,1868,1672,3880,9077,747,3255
61,1253,1267,8066,AVERY COUNTY,4239,2972,1340,,4239,8060,1436,7967,1550,7520,7586,50,7592,14969,2972,15935,614,80,1463,9615,8829,60,1463,3406,,2946,,16905,Avery,1461,80,9120,9110,283,61,17557,9744,1267,290,102,1576,2972,4020,,1568,1576,61,3207,7871,9387,9042,80,3557,,4199,65,3073,2164,7428,9716,1267,4239
297,3686,3723,19089,VANCE COUNTY,9304,5579,6331,,9302,19063,6699,18475,2876,16883,17209,189,17225,34092,5580,37671,1719,395,6968,26170,22602,215,6966,7586,,5533,,41780,Vance,6893,395,24495,24472,1144,297,44535,26901,3723,1132,408,7404,5581,8487,,7300,7403,297,6459,17373,24467,24073,395,7806,,9219,302,6253,4595,15974,26861,3723,9303
253,1940,1962,22328,HALIFAX COUNTY,10472,8510,4243,,10472,22309,4630,21985,4640,20693,20832,190,20846,39391,8510,43237,827,369,4701,27434,24535,224,4701,9348,,8470,,47245,Halifax,4660,369,25810,25786,856,253,50010,27863,1962,902,373,5162,8510,10690,,5080,5162,253,8498,21176,26175,25606,369,9624,,10410,263,8302,5467,20039,27840,1962,10472
552,9143,9278,36076,NASH COUNTY,20622,11314,15720,13,20605,36054,16472,35517,5720,33523,33846,362,33863,73765,11314,81106,4039,771,17858,54708,49005,424,17858,15948,27,11256,13,89023,Nash,17520,771,52288,52256,3055,552,94298,55820,9278,3070,778,18966,11317,17956,0,18420,18966,552,12862,34571,51814,51595,771,16356,13,20412,567,12531,9759,32733,55791,9278,20605
526,2975,3005,23097,RUTHERFORD COUNTY,11787,8781,5056,,11786,23078,5261,22754,4956,21123,21342,431,21353,53422,8781,58398,1409,616,5480,29012,26058,467,5478,10286,,8738,,63605,Rutherford,5413,616,27379,27346,1366,526,67029,29476,3005,1390,650,5729,8782,14855,,5642,5729,526,8898,22028,27905,27062,616,10755,,11713,546,8489,6365,20476,29423,3005,11786
80,2575,2596,11728,ASHE COUNTY,7097,4501,2964,,7097,11718,3036,11406,2407,10689,10931,69,10938,22479,4501,24214,1322,108,3212,14793,13468,91,3212,5384,,4485,,26129,Ashe,3199,108,14249,14223,841,80,27203,15152,2596,768,126,3298,4501,7249,,3279,3297,80,4758,11112,14256,13968,108,5617,,7060,99,4474,3729,10424,15123,2596,7097
137,4464,4506,14379,STOKES COUNTY,9047,4541,6553,,9047,14371,7059,14152,2674,13468,13611,117,13622,37145,4541,40306,2003,217,7074,21918,19896,149,7074,7646,,4532,,43536,Stokes,7010,217,20868,20822,1545,137,45591,22273,4506,1653,253,7641,4541,9917,,7549,7641,137,6161,13827,21103,20615,217,7963,,8996,172,5984,4677,13206,22229,4506,9047
277,566,569,2918,GRAHAM COUNTY,1471,815,777,55,1439,2917,867,2883,476,2724,2751,37,2753,6767,815,7414,362,334,790,4139,3685,62,790,1521,86,813,55,8040,Graham,790,376,3849,3818,150,277,8441,4202,569,163,404,880,816,2067,10,880,880,242,1370,2811,4012,3791,376,1595,55,1434,306,1334,848,2666,4173,569,1439
340,6493,6599,22260,PENDER COUNTY,12723,6093,8370,12,12704,22249,9021,21736,3233,20501,20876,250,20884,49058,6096,53967,2719,510,9585,32232,28576,284,9585,9388,25,6045,12,59482,Pender,9296,510,30825,30801,1360,340,63060,33148,6599,1404,521,10367,6099,11716,0,9986,10366,340,8030,21003,30534,30137,510,9718,12,12550,356,7778,5952,19866,33125,6599,12707
