Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
4974,6082,5944,,5919,2759,Chowan,,,1200,331,5915,2428,1039,13943,,7207,6081,331,,1288,3521,1288,2791,5777,6977,11164,3122,,12171,1107,4975,4905,,1107,7203,
77113,114116,107004,16563,80310,29516,Orange,8101,17226,19567,2489,80258,18926,18784,148476,16563,119015,114077,2520,17258,21447,21654,21373,19170,74424,111207,119925,29978,16578,130842,20401,77137,71657,17216,20401,118857,8288
11880,13416,13074,,12620,5242,Alexander,,,1678,207,12617,5035,1429,37497,,14435,13414,224,,1815,7667,1813,5190,12306,13984,30040,5414,,32781,1534,11882,11645,,1534,14430,
144121,189643,179892,3689,152164,38668,Durham,216,3951,42388,4723,152108,33729,38830,321488,3689,202237,189584,4945,3984,46089,43764,45987,34290,144566,190905,255829,39457,3716,275950,41774,144153,137373,3951,41774,202046,222
44792,55601,53596,,47801,23593,Henderson,,,10960,3265,47788,20328,10159,117417,,59500,55593,3332,,11699,30961,11686,20845,45936,56896,95451,24177,,103234,10801,44800,43437,,10801,59474,
12853,15900,15522,34,14607,5969,Pasquotank,13,34,3556,672,14588,5284,2919,39824,34,18326,15881,791,45,3674,6841,3674,5799,14168,17758,31068,6603,45,34029,2994,12861,12569,34,2994,18296,13
5470,6170,6071,,5764,3141,Pamlico,,,733,188,5764,2953,654,12726,,6552,6170,199,,788,3866,787,3040,5691,6424,10805,3239,,11540,700,5470,5417,,700,6551,
4997,5644,5539,,5445,2508,Mitchell,,,680,178,5444,2330,569,14964,,6230,5644,193,,785,3810,783,2431,5388,6068,12229,2624,,13195,647,4997,4970,,647,6227,
8131,9517,9347,,9175,3701,Currituck,,,1515,279,9166,3422,1334,27763,,10758,9513,297,,1583,4551,1581,3821,9001,10516,21675,4118,,23787,1382,8135,8013,,1382,10747,
58967,75883,74297,156,61973,39418,Brunswick,0,161,17872,5410,61959,34008,15959,142820,156,81113,75867,5310,184,18956,46605,18923,34963,60904,78937,121795,40273,166,129086,16744,58973,58182,161,16744,81043,0
45988,61791,59487,,49503,21963,Davidson,,,17572,3354,49484,18609,14963,167609,,68226,61778,3566,,18723,31089,18699,19183,47519,65091,131285,22749,,144432,15790,46001,44524,,15790,68183,
20547,29433,28052,,21759,9301,Franklin,,,9087,1490,21751,7811,8096,69685,,31856,29428,1541,,10097,11935,10073,7957,21013,30100,54524,9498,,59978,8881,20552,19956,,8881,31824,
19577,23299,22474,,20494,8836,Dare,,,4141,429,20485,8407,3493,37009,,24937,23292,472,,4443,8201,4439,8603,19773,23914,30088,9075,,32745,3715,19584,18981,,3715,24924,
9855,12268,11909,,11191,5192,Bladen,,,2789,438,11186,4754,2211,32722,,14259,12266,522,,3068,7459,3060,4995,10870,13659,26077,5517,,28574,2411,9857,9698,,2411,14246,
87925,127420,121859,5108,93107,40475,New Hanover,2869,5465,35102,4829,93089,32777,31311,234473,5108,137479,127401,5091,5470,38902,43147,38785,33453,89857,130424,191812,41543,5113,206724,34368,87938,85440,5465,34369,137339,2999
7261,8703,8492,,7747,3331,Anson,,,1627,261,7746,3070,1285,24446,,9602,8702,329,,1855,4730,1852,3163,7668,9295,19608,3492,,21306,1441,7262,7207,,1441,9598,
