COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Asian,COVID Confirmed Black African American,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Other,COVID Confirmed White,COVID Suspected 0-17,COVID Suspected 18-19,COVID Suspected 20-29,COVID Suspected 30-39,COVID Suspected 40-49,COVID Suspected 50-59,COVID Suspected 60-69,COVID Suspected 70-79,COVID Suspected 80-,COVID Suspected Age Unknown,COVID Suspected Hispanic,COVID Suspected Non-Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Suspected Female,COVID Suspected Male,COVID Suspected Gender Not Disclosed,COVID Suspected Gender Unknown,COVID Suspected Alaskan Native American Indian,COVID Suspected Asian,COVID Suspected Black African American,COVID Suspected Native Hawaiian Pacific Islander,COVID Suspected Race Not Disclosed,COVID Suspected Race Other,COVID Suspected White
14,8,8,27,9,10,9,8,2021-02-23,T,2021-02-19,2020-10-18,0,0,3,10,13,25,22,36,28,0,12,110,13,75,61,0,0,1,1,48,1,2,7,76,9,0,12,13,27,45,55,47,49,0,17,222,12,123,112,0,3,4,0,73,0,10,11,159
3,0,2,12,4,7,4,1,2021-02-23,T,2021-02-19,2021-01-23,5,0,14,12,25,64,66,88,88,0,16,306,34,185,174,0,0,9,2,108,0,13,14,213,10,1,12,19,28,39,46,56,42,0,11,220,19,119,105,17,0,4,0,70,1,12,8,156
0,0,0,0,1,0,1,0,2021-02-23,T,2021-02-19,2021-02-06,6,0,15,22,30,41,60,60,58,0,18,260,15,125,166,0,0,3,2,90,0,10,11,175,12,1,27,14,23,39,43,38,36,0,12,208,13,115,88,29,1,0,1,65,0,6,15,146
0,0,0,25,0,0,0,0,2021-02-23,T,2021-02-19,2020-11-29,2,1,6,14,19,36,52,51,60,2,19,200,24,97,145,1,0,2,1,67,1,8,20,144,13,2,19,24,20,40,46,56,38,0,13,223,22,119,114,0,0,2,2,73,1,5,12,163
1,0,0,12,2,3,2,2,2021-02-23,T,2021-02-19,2021-01-30,4,2,9,11,20,40,59,83,82,1,19,264,27,151,157,3,0,6,4,81,0,8,18,194,9,0,19,13,21,31,46,51,53,0,9,220,13,115,106,10,0,2,2,68,0,5,11,155
68,46,65,66,38,38,38,32,2021-02-23,T,2021-02-19,2020-10-06,1,0,4,4,5,12,26,28,20,5,7,79,13,48,46,5,0,3,0,36,0,8,3,49,18,1,19,25,25,48,72,67,57,5,13,285,22,167,153,2,0,0,4,79,0,8,15,217
68,59,68,67,34,37,35,31,2021-02-23,T,2021-02-19,2020-10-03,1,1,4,4,5,16,22,20,16,1,5,70,9,40,46,1,0,3,2,42,0,3,4,32,26,3,20,25,31,47,63,56,56,0,12,290,16,154,162,0,3,3,0,99,1,12,16,187
0,0,0,22,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-01,3,0,12,5,20,48,54,74,59,2,14,239,24,123,147,7,0,4,2,64,1,9,18,179,12,4,13,21,33,49,59,72,52,6,9,289,23,144,151,3,1,3,2,85,0,6,11,214
49,26,49,49,18,29,22,9,2021-02-23,T,2021-02-19,2020-10-11,2,3,6,9,15,22,17,27,25,1,10,83,14,59,54,5,0,2,4,31,0,9,11,57,8,4,21,33,26,34,50,68,57,2,13,246,23,149,130,3,0,2,4,71,1,13,10,181
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-02-12,8,0,15,11,17,36,43,42,46,0,14,193,11,103,115,0,0,6,3,57,0,8,9,135,12,2,15,17,19,35,39,48,40,0,11,203,13,113,89,25,0,1,0,60,0,6,11,149
1,1,1,1,1,1,1,1,2021-02-23,T,2021-02-19,2021-01-13,8,1,12,26,25,46,98,145,85,10,20,406,30,212,235,7,2,5,5,126,0,12,23,285,14,0,12,21,24,48,62,72,50,0,21,263,19,140,135,0,28,6,2,83,2,8,23,179
1,0,1,1,2,2,2,1,2021-02-23,T,2021-02-19,2020-12-31,6,1,10,19,30,59,105,98,115,8,15,402,33,237,207,6,0,5,4,111,0,9,23,298,9,2,15,23,21,54,60,72,57,2,16,279,19,150,143,21,0,0,2,87,0,10,15,200
17,11,9,25,1,3,1,0,2021-02-23,T,2021-02-19,2020-10-25,3,0,3,7,8,17,23,39,27,0,6,109,9,65,61,0,0,3,1,33,1,3,4,81,16,2,19,21,36,35,43,48,54,0,24,230,14,131,126,0,3,3,2,68,1,8,17,177
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2020-12-18,3,0,19,17,18,55,78,79,76,1,20,307,19,180,164,0,2,5,1,86,0,11,17,226,5,4,24,23,23,40,53,62,59,1,14,263,17,155,114,24,1,1,2,90,0,7,15,179
0,0,0,0,0,0,0,0,2021-02-23,T,2021-02-19,2021-02-13,4,1,12,19,11,30,47,52,59,0,13,204,18,118,117,0,0,0,2,58,0,2,12,161,7,1,13,16,16,34,45,31,42,0,4,190,11,97,84,24,0,1,1,63,0,6,10,124
5,4,5,4,14,14,14,13,2021-02-23,T,2021-02-19,2020-10-22,2,1,6,4,14,24,25,34,27,0,13,114,9,67,69,0,0,5,0,45,0,1,5,80,18,2,17,24,26,33,54,61,40,0,18,235,21,138,121,16,0,4,2,75,0,7,14,172
0,0,0,0,1,1,1,0,2021-02-23,T,2021-02-19,2020-11-23,1,0,8,9,14,31,55,46,43,3,11,169,29,103,106,0,0,5,2,59,0,5,7,131,8,4,16,13,17,37,43,49,35,0,10,196,16,95,106,19,2,1,0,49,1,2,12,157
0,0,0,3,2,2,1,2,2021-02-23,T,2021-02-19,2020-11-20,1,0,6,10,18,31,48,54,48,0,14,177,25,103,113,0,0,6,1,74,0,4,10,122,13,2,16,26,21,44,49,54,55,0,15,252,13,131,132,12,2,2,1,84,0,8,14,171
1,0,2,13,2,2,2,0,2021-02-23,T,2021-02-19,2020-11-02,0,0,5,11,16,27,28,28,29,0,12,117,13,71,70,0,1,1,1,35,0,6,16,83,10,2,14,15,29,57,48,63,37,0,13,241,20,127,132,2,1,4,2,73,1,8,11,174
