Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
3996,3950,7619,6932,2060,4176,2455,13403,Swain,401,3288,4175,1143,197,4095,1084,1857,1001,14271,2367,8981,7400,215,3570,1235,2803,1231,1235,1896,3995,8013,11137,3523,2602,2538,2146,12138,1083,3997,2508,3871,2875,1084,8614,491
7536,7509,9047,8798,61,7984,3389,16905,Avery,50,78,7978,1408,278,7917,1440,3061,1318,17557,61,9619,9008,286,99,1536,4020,1532,1536,3187,7825,9311,14969,78,3531,65,3416,15935,1438,7542,61,7419,78,1440,9527,58
16903,16716,24008,22327,297,18667,7541,41780,Vance,189,391,18642,6521,1122,18222,6785,6230,6188,44535,297,26253,23749,1108,403,7183,8487,7105,7182,6426,17171,24083,34092,391,7747,302,7517,37671,6736,16919,297,15842,391,6787,25718,213
20736,20678,25561,24415,253,22092,9402,47245,Halifax,190,367,22074,4471,841,21871,4550,8371,4118,50010,253,27409,25462,886,371,4946,10690,4900,4946,8563,21107,25945,39391,367,9672,262,8031,43237,4531,20749,253,20044,367,4550,27138,223
33864,33718,51731,48835,550,35850,15973,89023,Nash,362,766,35828,16063,3016,35517,17287,12595,15321,94298,550,54894,51341,3031,773,18271,17956,17929,18271,12934,34635,51464,73765,766,16387,563,15480,81106,17073,33881,550,32964,766,17287,54212,422
21099,20964,26996,25796,525,22859,10234,63605,Rutherford,431,611,22840,5150,1351,22601,5339,8452,4944,67029,525,29077,26784,1373,645,5573,14855,5522,5573,8853,21895,27656,53422,611,10689,545,9405,58398,5295,21110,525,20327,611,5341,28734,463
10965,10778,14226,13514,80,11636,5378,26129,Ashe,69,107,11626,2993,831,11358,3156,4478,2917,27203,80,15012,14006,763,124,3252,7249,3236,3251,4741,11075,14175,22479,107,5594,99,5710,24214,3148,10971,80,10517,107,3156,14701,90
13514,13439,20594,19731,137,14237,7607,43536,Stokes,117,206,14229,6912,1526,14062,6897,5964,6420,45591,137,21939,20442,1630,249,7453,9917,7393,7453,6127,13747,20865,37145,206,7905,172,7113,40306,6866,13525,137,13174,206,6897,21661,148
2742,2728,3832,3684,242,2914,1523,8040,Graham,37,361,2913,858,150,2882,783,1336,769,8441,277,4172,3788,162,388,870,2067,870,870,1369,2813,3992,6767,361,1583,305,1226,7414,783,2744,277,2673,321,783,4113,52
20793,20563,30480,28511,340,22056,9402,59482,Pender,250,507,22045,8848,1341,21720,9325,7811,8221,63060,340,32662,30042,1383,518,10088,11716,9795,10087,8041,21024,30379,49058,507,9708,354,9774,53967,9139,20801,340,19950,507,9325,32022,284
37799,37323,59632,56255,7321,39772,19508,95778,Craven,854,8192,39750,14101,2574,38934,14460,16080,13365,102139,7321,63464,58972,2542,8286,15406,20103,15186,15406,16372,37007,59284,80387,8219,19798,7357,18882,87409,14328,37815,7321,35569,8176,14460,62312,884
210367,207938,312424,287789,2298,223340,77320,505896,Guilford,1493,3478,223227,90747,14628,219115,99665,61199,86763,537174,2298,331781,306983,14890,3508,104933,83442,100985,104911,63143,208769,302994,418240,3478,79787,2311,106043,459608,96747,210448,2298,198728,3478,99665,323578,1754
10696,10581,12082,11554,119,10986,4432,20741,Madison,86,207,10980,1180,247,10803,1246,4099,1114,21755,119,12534,11936,262,222,1326,5034,1309,1325,4117,10509,11896,17939,207,4484,136,4592,19327,1236,10700,119,10321,207,1246,12319,105
27130,26458,40128,36851,258,28424,13905,70897,Chatham,150,347,28392,11857,2466,27443,12706,11289,11254,74470,258,42139,38988,2441,383,13332,18634,12874,13329,11561,26199,38403,59661,347,14165,272,18101,65198,12272,27148,258,25339,347,12708,40664,163
64136,63425,92172,85822,1007,66976,22176,170444,Pitt,504,1486,66929,25653,3092,65841,26969,18580,23579,180742,1007,97936,90826,3293,1508,29452,25045,28648,29450,18788,63394,90533,142466,1486,22679,1031,27341,155511,26394,64172,1007,61236,1486,26969,95975,598
38852,38731,54516,51876,687,40976,22102,94937,Moore,413,887,40965,14237,3248,40774,14928,18441,13432,100880,687,57836,54019,3320,922,15938,24192,15489,15938,19370,39721,54845,79328,887,23133,730,22572,86466,14601,38858,687,37757,887,14928,57150,443
154575,151697,224764,206666,2001,166111,57043,359934,Forsyth,1218,3132,165967,63199,10436,161332,68071,45389,60799,382295,2001,240334,220474,10374,3161,71062,62720,69272,71049,47096,152624,218955,295401,3132,58973,2014,76583,325690,66776,154678,2001,143866,3132,68072,233736,1503
53419,52955,91700,85201,1157,56215,25296,171884,Iredell,845,1516,56175,34507,5258,55459,37062,19193,32928,181806,1157,96934,90435,5131,1534,39185,29513,38092,39185,19945,53463,89486,140623,1516,25980,1189,30819,156060,36323,53448,1157,51116,1516,37063,95067,904
15283,15076,18618,17744,207,15571,8013,33015,Transylvania,194,278,15565,3111,1088,15244,3109,6731,2988,34385,207,19132,18373,1069,292,3269,10809,3238,3269,6773,14691,18080,29099,278,8069,224,8938,30988,3090,15285,207,14549,278,3109,18760,227
8526,8498,10873,10411,124,9090,4165,21211,Martin,107,174,9084,2224,481,9005,2208,3577,2071,22440,124,11653,10817,505,183,2380,5372,2353,2380,3693,8671,11069,17917,174,4321,133,3030,19455,2195,8532,124,8216,174,2208,11532,123
7925,7854,10382,9839,111,8437,3788,18843,Warren,83,136,8429,2187,501,8293,2330,3204,2097,19731,111,11032,10278,486,146,2449,5173,2421,2449,3284,8019,10342,16200,136,3860,117,3525,17477,2313,7935,111,7631,136,2330,10850,90
3518,3495,4626,4397,41,3714,1814,8956,Jones,26,55,3712,1088,218,3667,1057,1570,980,9419,41,4960,4583,231,71,1175,2257,1163,1175,1600,3530,4673,7704,55,1861,51,1532,8314,1047,3518,41,3376,55,1057,4885,30
16131,15937,23550,21955,236,16703,7995,40760,Davie,162,343,16689,6790,1601,16367,7157,6232,6466,42846,236,24630,23221,1631,351,7576,9279,7420,7576,6358,15633,22766,33901,343,8171,251,9042,37262,7048,16142,236,15253,343,7157,24130,182
72477,71674,200582,188164,75082,78137,36501,310252,Cumberland,6063,93180,78021,47497,5985,76517,50658,24453,44683,335509,77320,226026,198787,6106,93552,54337,40937,52957,54334,25107,72830,210865,252655,93506,38286,77392,36647,277878,49793,72531,77352,68399,90538,50659,222654,7073
19781,19612,22972,21844,338,20741,7924,43474,McDowell,218,496,20728,3070,528,20465,2836,7178,2712,45756,338,24476,22779,607,507,3228,9517,3209,3228,7325,19563,23129,36617,496,8195,350,7153,39943,2829,19786,338,18794,496,2836,24170,263
9796,9758,12746,12363,423,10270,6212,27420,Cherokee,178,550,10265,2741,767,10191,2461,5267,2449,28612,423,13639,12642,827,611,2758,8723,2758,2758,5391,9897,13188,23877,550,6433,480,4667,25640,2461,9805,423,9491,550,2461,13499,215
5790,5768,7415,7081,,6524,3006,13243,Chowan,,,6519,1589,418,6477,1624,2588,1522,13943,,8216,7391,392,,1692,3521,1690,1692,2893,6249,7838,11164,,3285,,2736,12171,1623,5791,,5559,,1624,8167,
85872,80972,111156,97463,818,89146,22449,142010,Orange,343,1139,89059,22033,3001,83361,24381,19105,21888,148476,818,114974,105676,2930,1188,24640,21654,24083,24638,19803,76934,100106,119925,1139,23124,857,48445,130842,23886,85918,818,74757,1139,24381,108583,391
13047,12963,15702,15042,71,13610,5485,35620,Alexander,59,89,13601,2547,315,13485,2542,5111,2352,37497,71,16501,15552,329,133,2758,7667,2730,2758,5238,13111,15747,30040,89,5632,109,5316,32781,2518,13051,71,12619,89,2542,16304,65
