Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
7003,6955,8834,8413,100,7370,4143,19940,Polk,88,117,7366,1646,740,7288,1709,3315,1577,20724,100,9303,8734,754,145,1788,6644,1751,1788,3414,7042,8805,17478,117,4265,118,2661,18752,1679,7007,100,6736,117,1709,9156,97
24684,24498,35471,33693,220,25897,12370,67979,Surry,178,284,25876,10800,2124,25528,10545,10068,9979,71783,220,37626,35240,2266,301,11428,14964,11373,11427,10251,24422,35506,56811,284,12717,227,11434,62223,10522,24698,220,23494,284,10546,37185,200
17653,17546,20822,19979,351,18201,8997,34121,Macon,238,439,18191,2875,809,18005,2757,7950,2637,35858,351,21679,20647,840,479,2999,10350,2984,2999,8070,17374,20688,29260,439,9169,405,8171,31614,2750,17660,351,16991,439,2757,21428,259
4010,3987,5041,4865,23,4214,2550,10740,Clay,23,25,4214,1008,318,4175,962,2209,959,11231,23,5318,4972,320,93,1011,3581,1011,1011,2260,4061,5094,9352,25,2605,69,2162,10050,962,4010,23,3883,25,962,5211,25
12938,12856,17830,16985,102,13500,6284,35700,Yadkin,87,149,13493,4705,839,13361,4766,5358,4409,37667,102,18780,17699,831,169,5111,7711,5067,5111,5463,12935,17789,29851,149,6399,119,5517,32660,4741,12945,102,12474,149,4766,18577,105
95382,94428,95431,92373,,108591,36603,,Out of State,,,108529,,,106407,,36603,,,,108591,94428,,,,,,,41658,104007,104007,,,41658,,23236,,,95431,,92373,,,106407,
35660,35333,111021,105709,48486,38695,18836,180787,Onslow,2494,56979,38677,25055,2801,38130,25679,13541,22992,197938,49607,124088,110248,2929,57168,28225,19026,27558,28225,13846,36804,117532,149343,57115,19788,49659,16913,162055,25308,35681,49636,34231,55673,25681,122667,3013
15542,15435,20439,19452,247,16800,6845,42075,Richmond,129,283,16789,4564,649,16601,4609,6067,4161,44829,247,22192,20279,690,320,5072,8183,5029,5072,6187,16122,20969,34516,283,7015,281,5961,38043,4597,15549,247,15044,283,4609,21913,138
120452,117749,167089,155036,3824,125360,47860,248550,Buncombe,2022,5680,125289,39246,8207,121374,42711,37631,38655,261191,3824,174574,163330,8005,5709,43505,53494,42389,43497,38015,115622,160548,213777,5680,48385,3862,70349,230148,41757,120515,3824,112557,5680,42712,169443,2365
78001,76893,126382,112352,567,82073,26604,226508,Union,411,897,82021,40774,4412,80106,47759,21781,39143,239859,567,133173,123500,4397,915,50185,31234,47824,50172,22456,75491,117162,176616,897,27360,589,41040,202043,46040,78033,567,72642,897,47760,128827,507
68201,67041,112671,101475,1449,73044,24625,202607,Cabarrus,860,2097,73000,38109,4328,70890,42974,19437,36698,216453,1449,120227,110235,4392,2113,45070,29064,43232,45063,19978,66693,106899,161462,2097,25306,1463,34062,181104,41745,68230,1449,63328,2097,42978,116219,936
3961,3952,5560,5311,28,4365,2362,10985,Washington,16,55,4354,1693,395,4324,1551,1951,1492,11580,28,6178,5531,467,56,1757,2932,1754,1757,2093,4140,5888,9274,55,2593,38,1982,10083,1551,3971,28,3791,55,1551,6133,33
33608,33357,52180,48409,875,35745,13575,126086,Harnett,348,1289,35708,16721,1876,35200,17604,11351,15630,135976,875,56156,51571,1944,1340,19071,17458,18599,19070,11665,33547,51546,100990,1289,14000,945,14526,112079,17339,33630,875,31904,1278,17605,55088,391
30115,29920,40447,38283,346,31459,13270,86176,Burke,261,489,31445,9908,1580,31119,9950,11429,9086,90485,346,42837,40148,1701,498,10880,18720,10745,10879,11611,29925,40322,73860,489,13623,367,14101,79893,9882,30130,346,28851,489,9950,42353,311
22227,22005,36245,33991,4343,23489,8905,57336,Granville,515,4747,23473,9111,1254,23059,9639,7136,8692,60443,4343,38459,35859,1197,4783,10187,10674,9999,10184,7326,21898,35756,48058,4747,9084,4360,10979,52711,9511,22243,4343,20956,4747,9642,37805,561
68901,68315,106958,100412,851,74281,30633,211171,Gaston,652,1302,74229,35317,5111,73117,37142,24870,33082,224529,851,115544,105755,5300,1325,39938,36651,39069,39938,25771,71000,107619,174276,1302,31887,872,32386,191721,36589,68944,851,66479,1302,37142,113488,816
16772,16704,23215,22108,290,17892,8022,48532,Edgecombe,201,391,17885,5969,1063,17728,6144,6758,5492,51472,290,25005,23086,1131,403,6710,10509,6613,6710,6920,17277,23637,39904,391,8290,295,6439,43948,6092,16776,290,16326,391,6144,24732,239
26883,26259,31196,29320,54,28267,7638,54308,Watauga,54,88,28231,4397,617,27431,4212,6967,4041,56177,54,32982,30510,652,123,4592,9229,4573,4592,7299,26461,30946,49022,88,8022,66,10968,51530,4197,26918,54,25225,88,4212,32092,71
11163,11036,17869,16536,775,12421,4007,50664,Hoke,223,1125,12400,5525,537,12166,5906,3247,5216,55234,775,19898,17639,567,1150,6327,5854,6188,6327,3379,11546,18196,40282,1125,4187,780,4539,44624,5828,11183,775,10545,1125,5906,19479,241
7919,7909,9695,9322,15,8634,3547,18126,Bertie,15,34,8629,1733,326,8593,1746,3206,1618,18947,15,10562,9666,343,42,1886,4479,1874,1886,3428,8360,10127,15647,34,3790,28,2845,16854,1742,7921,15,7689,34,1746,10501,19
15782,15649,21286,20126,284,16476,7052,37405,Person,180,388,16463,5230,1029,16213,5204,5843,4873,39490,284,22488,21094,1063,388,5624,7938,5553,5623,5921,15505,21123,31361,388,7184,292,7417,34239,5161,15790,284,14969,388,5204,22154,200
19610,19551,24643,23680,275,20544,10185,44735,Beaufort,224,385,20533,4596,855,20372,4727,9106,4233,46994,275,26141,24523,898,400,5197,11538,5144,5197,9355,19936,24917,37669,385,10522,298,8648,41131,4697,19618,275,19172,385,4727,25901,269
16618,16415,22573,21158,2277,17302,6821,42001,Jackson,542,3494,17288,3129,507,16916,3210,5772,2876,43938,2564,24594,22167,538,3800,3492,8759,3453,3492,5880,16466,22732,36721,3737,7066,2734,7154,39175,3188,16629,2700,16005,3137,3210,23863,648
53062,52546,82055,76687,512,55159,26339,150636,Catawba,349,704,55138,27743,3911,54327,28442,22079,25858,159551,512,86522,81125,4079,732,30631,29156,30076,30630,22420,51937,80384,124631,704,26881,533,27336,137151,28067,53079,512,50317,704,28443,85107,382
513344,497909,775882,691305,6096,543646,135833,1044525,Wake,2706,8604,543256,225068,21771,519705,256200,111356,220614,1111761,6096,816738,751858,21541,8659,264433,133864,253150,264414,116339,484867,718539,849055,8604,140876,6109,274015,941934,247853,513560,6096,464595,8604,256213,781459,2996
32994,32733,46920,44269,368,34873,15801,92365,Cleveland,285,498,34864,13542,2398,34310,13533,13118,12349,97947,368,50258,46583,2476,519,14866,18575,14773,14866,13408,32986,47026,76504,498,16205,386,15510,84044,13482,33001,368,31552,498,13533,49581,321
23015,22955,31061,29433,303,25021,9088,59389,Sampson,202,416,25009,7611,1208,24856,7720,7678,7120,63531,303,33726,30943,1249,427,8278,11637,8215,8278,7891,23743,31770,48081,416,9374,317,8102,53473,7685,23024,303,22010,416,7720,33487,234
16874,16791,23257,22114,272,17981,7598,52603,Columbus,199,341,17970,5786,1089,17845,6095,6310,5251,55508,272,25036,23123,1165,356,6699,11419,6615,6699,6494,17554,23681,44013,341,7886,278,6117,48224,6060,16882,272,16591,341,6097,24801,227
8856,8829,10303,9961,69,9291,4008,21496,Caswell,58,91,9281,1564,268,9203,1369,3682,1286,22604,69,11065,10258,376,109,1665,5005,1652,1665,3763,8955,10610,18383,91,4208,71,3550,19944,1360,8863,69,8606,91,1369,10946,69
7682,7625,8753,8399,103,8124,3726,17212,Yancey,103,133,8121,863,148,8019,939,3475,792,18069,103,9313,8666,142,173,1016,4744,1015,1016,3584,7864,8860,14782,133,3841,130,3473,15969,938,7684,103,7504,133,939,9167,115
21234,20941,32263,29938,432,22975,9201,57893,Lee,213,628,22955,9735,1313,22524,10563,7675,9336,61779,432,34748,31833,1321,644,11129,10404,10942,11129,7903,21633,31996,47136,628,9468,458,9714,52144,10460,21242,432,20170,628,10563,34094,244
7751,7728,10701,10177,10,8372,3842,22610,Hertford,10,25,8364,2773,597,8306,2921,3235,2570,23677,10,11606,10629,594,50,3184,4836,3146,3184,3415,8159,10957,19299,25,4021,23,3412,20898,2891,7757,10,7597,25,2921,11477,12
30783,30677,44190,42234,338,32306,15869,86406,Rockingham,263,471,32289,13016,2640,32007,13039,12966,12202,91010,338,46738,43942,2641,490,13942,18996,13769,13942,13271,30940,44427,72695,471,16217,356,14355,79246,12927,30795,338,29694,471,13039,46247,305
26260,26172,38692,36951,500,27754,15552,66672,Carteret,324,563,27747,11274,2364,27555,11909,12864,10779,69473,500,40932,38383,2304,603,12575,17867,12278,12575,13332,26995,38832,57537,563,15975,517,14861,62070,11711,26264,500,25672,563,11911,40396,339
426294,418447,666213,606415,4908,460967,119079,1037049,Mecklenburg,2024,7623,460616,213820,21770,447420,234701,95285,204587,1110356,4908,715600,652166,22020,7712,246921,127686,238824,246871,99484,423489,644932,852079,7623,124009,4962,216090,937616,228811,426537,4908,396920,7623,234714,693867,2505
3996,3950,7619,6932,2060,4175,2455,13403,Swain,401,3288,4174,1143,197,4095,1084,1857,1001,14271,2367,8980,7400,215,3570,1235,2803,1231,1235,1896,3995,8013,11137,3523,2602,2538,2142,12138,1083,3997,2508,3871,2875,1084,8614,491
7538,7511,9049,8798,61,7986,3389,16905,Avery,50,78,7980,1405,278,7920,1440,3061,1316,17557,61,9619,9010,286,99,1534,4020,1531,1534,3187,7828,9311,14969,78,3531,65,3380,15935,1438,7544,61,7421,78,1440,9529,58
16883,16707,23970,22300,297,18648,7535,41780,Vance,189,391,18623,6507,1117,18212,6767,6229,6174,44535,297,26215,23724,1104,403,7164,8487,7090,7163,6424,17158,24056,34092,391,7741,302,7410,37671,6720,16899,297,15829,391,6769,25693,213
20733,20680,25547,24412,253,22090,9404,47245,Halifax,190,367,22072,4462,839,21882,4539,8375,4108,50010,253,27398,25454,885,371,4937,10690,4891,4937,8567,21120,25949,39391,367,9675,262,7895,43237,4521,20746,253,20051,367,4539,27140,223
33872,33731,51693,48812,550,35856,15975,89023,Nash,362,766,35834,16036,3008,35533,17241,12605,15285,94298,550,54871,51316,3022,773,18242,17956,17903,18242,12944,34651,51453,73765,766,16388,563,15208,81106,17035,33889,550,32977,766,17241,54202,422
21088,20957,26976,25781,525,22844,10235,63605,Rutherford,431,611,22825,5144,1351,22585,5330,8453,4936,67029,525,29057,26770,1371,645,5568,14855,5517,5568,8854,21879,27634,53422,611,10688,545,9272,58398,5288,21099,525,20320,611,5332,28713,463
10956,10770,14211,13501,80,11631,5376,26129,Ashe,69,107,11621,2988,830,11353,3150,4477,2912,27203,80,14999,13993,763,124,3244,7249,3231,3243,4740,11070,14165,22479,107,5593,99,5628,24214,3143,10962,80,10509,107,3150,14691,90
13506,13432,20574,19718,137,14220,7605,43536,Stokes,117,206,14212,6905,1525,14052,6885,5963,6413,45591,137,21914,20426,1630,249,7445,9917,7385,7445,6126,13738,20849,37145,206,7904,172,6960,40306,6857,13517,137,13168,206,6885,21643,148
2734,2723,3824,3679,242,2912,1523,8040,Graham,37,361,2911,858,150,2882,783,1336,769,8441,277,4170,3783,162,388,870,2067,870,870,1369,2813,3992,6767,361,1583,305,1189,7414,783,2736,277,2668,321,783,4113,52
20802,20577,30459,28510,340,22061,9411,59482,Pender,250,507,22050,8835,1339,21731,9295,7822,8206,63060,340,32650,30037,1381,518,10071,11716,9780,10070,8049,21035,30377,49058,507,9714,354,9613,53967,9120,20810,340,19964,507,9295,32018,284
37722,37278,59519,56185,7321,39740,19497,95778,Craven,854,8192,39718,14072,2570,38919,14424,16073,13335,102139,7321,63401,58896,2538,8286,15375,20103,15156,15375,16367,36996,59244,80387,8219,19789,7357,18591,87409,14297,37738,7321,35529,8176,14424,62267,884
210283,207917,312086,287649,2298,223264,77303,505896,Guilford,1493,3478,223151,90634,14622,219091,99411,61188,86642,537174,2298,331536,306830,14879,3508,104764,83442,100855,104742,63133,208749,302861,418240,3478,79766,2311,104499,459608,96615,210364,2298,198709,3478,99411,323424,1754
10691,10579,12072,11548,119,10987,4431,20741,Madison,86,207,10981,1176,246,10803,1241,4099,1110,21755,119,12529,11930,261,222,1320,5034,1304,1319,4118,10512,11895,17939,207,4484,136,4529,19327,1232,10695,119,10319,207,1241,12314,105
27140,26474,40112,36860,258,28447,13915,70897,Chatham,150,347,28415,11852,2465,27467,12680,11300,11246,74470,258,42147,38997,2440,383,13317,18634,12867,13314,11574,26225,38424,59661,347,14177,272,17783,65198,12265,27158,258,25356,347,12682,40681,163
64057,63367,92014,85714,1007,66941,22165,170444,Pitt,504,1486,66895,25613,3085,65828,26890,18576,23528,180742,1007,97848,90712,3286,1508,29399,25045,28608,29397,18787,63387,90486,142466,1486,22671,1031,26756,155511,26338,64093,1007,61179,1486,26890,95922,598
38852,38731,54492,51862,687,40981,22101,94937,Moore,413,887,40970,14231,3247,40779,14904,18441,13419,100880,687,57829,54005,3319,922,15926,24192,15482,15926,19370,39723,54841,79328,887,23132,730,22183,86466,14587,38858,687,37756,887,14904,57148,443
154405,151624,224456,206518,2001,166003,57019,359934,Forsyth,1218,3132,165859,63111,10425,161276,67933,45376,60716,382295,2001,240114,220309,10356,3161,70950,62720,69181,70937,47085,152578,218821,295401,3132,58944,2014,75445,325690,66684,154508,2001,143801,3132,67934,233589,1503
53389,52935,91574,85125,1157,56169,25283,171884,Iredell,845,1516,56129,34470,5249,55441,36967,19189,32871,181806,1157,96832,90358,5122,1534,39129,29513,38054,39129,19942,53444,89430,140623,1516,25968,1189,30387,156060,36266,53417,1157,51097,1516,36968,95011,904
15271,15068,18591,17723,207,15565,8007,33015,Transylvania,194,278,15559,3101,1084,15240,3094,6729,2974,34385,207,19116,18351,1067,292,3259,10809,3228,3259,6772,14687,18066,29099,278,8066,224,8836,30988,3076,15273,207,14542,278,3094,18746,227
8545,8517,10892,10430,124,9112,4181,21211,Martin,107,174,9106,2224,481,9028,2208,3593,2071,22440,124,11674,10836,505,183,2379,5372,2353,2379,3710,8694,11092,17917,174,4338,133,3011,19455,2195,8551,124,8235,174,2208,11555,123
7923,7855,10375,9837,111,8430,3787,18843,Warren,83,136,8422,2184,501,8289,2325,3203,2094,19731,111,11019,10275,486,146,2443,5173,2416,2443,3282,8016,10336,16200,136,3858,117,3492,17477,2309,7933,111,7632,136,2325,10841,90
3517,3495,4621,4395,41,3715,1814,8956,Jones,26,55,3713,1083,218,3668,1053,1570,978,9419,41,4956,4581,230,71,1170,2257,1158,1170,1600,3531,4669,7704,55,1860,51,1514,8314,1045,3517,41,3376,55,1053,4881,30
16103,15927,23505,21934,236,16686,7991,40760,Davie,162,343,16672,6779,1598,16359,7140,6231,6452,42846,236,24597,23196,1627,351,7560,9279,7407,7560,6358,15629,22751,33901,343,8167,251,8929,37262,7033,16114,236,15246,343,7140,24109,182
72453,71665,200388,188051,75082,78096,36484,310252,Cumberland,6063,93180,77980,47413,5969,76491,50488,24452,44577,335509,77320,225874,198665,6091,93552,54226,40937,52859,54223,25104,72808,210759,252655,93506,38268,77392,36041,277878,49680,72507,77352,68392,90538,50489,222530,7073
19773,19605,22958,21834,338,20735,7920,43474,McDowell,218,496,20722,3064,527,20459,2830,7175,2708,45756,338,24462,22767,606,507,3220,9517,3202,3220,7320,19557,23117,36617,496,8189,350,7066,39943,2824,19778,338,18788,496,2830,24157,263
9792,9754,12736,12351,423,10269,6207,27420,Cherokee,178,550,10264,2736,762,10190,2455,5267,2442,28612,423,13633,12632,821,611,2753,8723,2753,2753,5390,9895,13181,23877,550,6426,480,4603,25640,2455,9801,423,9486,550,2455,13493,215
5780,5763,7404,7075,,6519,3004,13243,Chowan,,,6514,1589,418,6472,1623,2586,1521,13943,,8211,7385,392,,1692,3521,1690,1692,2892,6244,7833,11164,,3284,,2672,12171,1622,5781,,5554,,1623,8162,
85752,80949,110994,97422,818,89118,22447,142010,Orange,343,1139,89031,22005,2999,83354,24339,19105,21867,148476,818,114910,105627,2928,1188,24604,21654,24052,24602,19803,76925,100069,119925,1139,23122,857,47674,130842,23860,85798,818,74737,1139,24339,108545,391
13042,12961,15688,15036,71,13600,5484,35620,Alexander,59,89,13591,2546,314,13481,2533,5111,2348,37497,71,16488,15543,328,133,2755,7667,2729,2755,5238,13108,15743,30040,89,5631,109,5103,32781,2511,13046,71,12617,89,2533,16299,65
158933,154331,217972,199562,4547,168176,41474,301307,Durham,1428,6064,168082,50049,5666,161557,54414,34380,48582,321488,4547,230552,211860,5741,6105,56271,43764,54605,56265,35666,153186,209299,255829,6064,43041,4570,88265,275950,52982,158988,4547,146433,6064,54414,222226,1634
52158,51381,66682,62883,959,53881,26454,111764,Henderson,765,1429,53862,13147,3814,52746,13532,21875,12531,117417,959,69525,65661,3850,1436,14208,30961,13956,14208,22043,50555,65131,95451,1429,26766,979,28383,103234,13321,52170,959,49393,1429,13533,68131,873
14805,14706,19729,18791,0,16615,6457,37393,Pasquotank,0,12,16586,5033,883,16359,4897,5574,4686,39824,0,21926,19585,949,30,5281,6841,5248,5281,6096,15713,20758,31068,12,7057,14,6178,34029,4879,14818,0,14105,12,4897,21619,12
5831,5813,7031,6827,66,6090,3336,12261,Pamlico,49,77,6090,1106,255,6043,1122,3032,1038,12726,66,7384,6995,259,93,1201,3866,1193,1201,3101,5939,7122,10805,77,3412,78,2560,11540,1116,5831,66,5723,77,1122,7313,52
5807,5774,6943,6675,52,6195,2793,14242,Mitchell,52,101,6193,1032,238,6121,1060,2503,929,14964,52,7486,6884,255,114,1177,3810,1172,1177,2569,6023,7156,12229,101,2896,75,2291,13195,1058,5808,52,5694,101,1060,7394,72
9040,9016,11014,10642,13,10123,4003,26216,Currituck,13,34,10115,1963,355,10062,1942,3635,1830,27763,13,12254,10953,360,46,2085,4551,2061,2085,4156,9833,11830,21675,34,4535,28,3348,23787,1924,9044,13,8799,34,1942,12157,19
62331,62054,86595,83527,1488,65033,42502,137478,Brunswick,1133,1815,65012,22041,6423,64592,22740,34946,21069,142820,1488,90844,85973,6218,1844,23967,46605,23470,23965,36139,63375,87231,121795,1815,43599,1505,40487,129086,22431,62348,1488,60970,1815,22742,89877,1242
52767,52308,76878,72563,928,56657,24674,158409,Davidson,695,1244,56627,22975,4308,55812,23132,19671,21561,167609,928,82705,76179,4352,1273,24775,31089,24477,24773,20116,53315,77534,131285,1244,25249,961,25521,144432,22943,52784,928,50074,1244,23133,81533,781
22258,22043,35377,32955,384,23478,10158,65799,Franklin,246,505,23464,11825,1913,23079,12698,7999,11297,69685,384,37394,34948,1892,524,13392,11935,13137,13391,8177,22215,34545,54524,505,10344,411,11807,59978,12521,22268,384,21274,505,12698,36721,275
20900,20725,26075,24689,0,21502,9223,35367,Dare,0,10,21489,4994,578,21216,5152,8645,4631,37009,0,27095,25769,605,23,5570,8201,5406,5570,8794,20470,25474,30088,10,9409,17,10150,32745,5044,20906,0,20058,10,5152,26632,10
