Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Fully Vaccinated - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56464,ROBESON COUNTY,2467,2468,1521,2431,2469,1387,1386,1363,897,1388,1081,1081,1081,1068,624,11911,16716,8383,16716,16592,16306,8200,8383,8372,8186,3613,8383,16716,24709,25181,25316,25373,62357,16453,52278,55300,56564,17275,57564,60951,62535,Robeson,217,217,217,98,274,25099,24964,24492,11813,1496,1003,122048,1496,1003,1542,1496,605,1068,1003,407,98425,20565,130625,109195,ROBESON COUNTY,25099,14713,2383,16347,16079,16345,44646,44516,43376,14287,41355,13674,15153,15152,14946,2247,39351,40309,40343,13799,37601
6191,PERQUIMANS COUNTY,671,671,497,663,671,329,329,322,240,329,342,342,342,341,257,2356,2610,1096,2610,2603,2577,1687,1096,1095,1086,669,1096,2610,3663,3698,3706,3706,6687,2978,5935,6106,6206,3178,6396,6585,6723,Perquimans,,,,,,3706,3698,3663,2356,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3706,1145,257,1209,1197,1207,5494,5480,5388,2921,5251,1041,1101,1101,1093,234,5013,5090,5093,2744,4894
115218,JOHNSTON COUNTY,11448,11494,5560,11121,11497,4927,4907,4762,2816,4930,6567,6567,6541,6359,2744,22096,26601,34087,26591,26219,25371,10917,34085,33869,32837,11043,34087,26601,58704,60584,61172,61248,122897,26246,103914,111485,115356,27298,110342,118626,123498,Johnston,496,496,496,136,560,60676,60088,58208,21960,3690,2477,196283,3637,2455,3709,3448,1050,2493,2325,707,156585,28558,209339,175612,JOHNSTON COUNTY,60688,34960,4264,40675,38999,40618,79114,78589,75990,21984,71934,33198,38622,38613,37048,4140,71982,74128,74241,21399,68391
63986,RANDOLPH COUNTY,5273,5286,3151,5192,5287,2204,2200,2161,1486,2205,3082,3082,3073,3031,1665,15770,14801,18262,14796,14710,14465,7483,18262,18232,17974,8205,18262,14801,32562,33065,33181,33196,67488,20702,59842,62706,64128,21171,62923,66012,67684,Randolph,123,123,123,82,133,33058,32942,32439,15688,892,575,135556,892,575,958,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33063,21457,4260,23535,22993,23530,43191,43066,42127,16351,40574,20543,22496,22493,22000,4284,40131,40918,40964,15974,38724
3367,HYDE COUNTY,362,362,192,351,363,349,349,339,187,350,13,13,13,12,5,786,1866,86,1866,1857,1805,755,86,84,81,31,86,1866,1886,1941,1952,1952,3476,1068,3141,3281,3367,1089,3248,3390,3497,Hyde,,,,,,1952,1941,1886,786,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1952,165,53,179,177,179,3306,3297,3213,1036,3083,153,167,167,164,44,3117,3200,3200,1024,2988
6531,ALLEGHANY COUNTY,907,908,654,904,908,396,395,392,299,396,512,512,512,512,355,2166,2209,1867,2208,2193,2162,1108,1867,1865,1862,1058,1867,2209,4024,4058,4075,4076,6948,2738,6268,6437,6580,2826,6650,6827,7005,Alleghany,,,,,,4075,4058,4024,2166,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4076,1373,382,1419,1413,1419,5517,5494,5379,2419,5242,1277,1319,1319,1312,367,5125,5212,5223,2371,4991
27533,DUPLIN COUNTY,1695,1697,1079,1674,1697,796,794,784,507,796,901,901,901,890,572,6045,6248,5925,6245,6193,6085,3045,5925,5908,5815,2907,5925,6248,12237,12449,12518,12562,30012,8215,25355,26895,27598,8523,27484,29245,30105,Duplin,348,348,337,93,389,12170,12101,11900,5952,2193,1650,55126,2157,1632,2242,1936,472,1691,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12173,7911,1653,8788,8654,8785,19075,19034,18434,6398,17637,7635,8446,8445,8321,1672,16942,17438,17461,6212,16268
4617,GATES COUNTY,367,368,235,361,368,298,297,292,194,298,70,70,70,69,41,1283,2005,348,2004,1992,1975,1153,348,348,335,130,348,2005,2310,2340,2352,2364,4924,1862,4402,4551,4646,1953,4684,4853,4993,Gates,0,0,0,0,11,2352,2340,2310,1283,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2353,538,131,588,581,588,4256,4246,4182,1811,4056,509,547,547,543,135,3965,4027,4029,1727,3850
36069,HAYWOOD COUNTY,6616,6635,4303,6515,6635,4103,4085,4005,2692,4103,2532,2532,2531,2510,1611,11964,13014,9857,13013,12860,12540,6643,9857,9846,9711,5307,9857,13014,22353,22808,22972,23020,38052,14223,33924,35240,36191,14699,35804,37182,38275,Haywood,102,102,102,14,149,22870,22706,22251,11950,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22871,8251,2148,8721,8658,8713,27941,27806,26991,11850,26020,7631,8090,8088,8033,2015,26276,27050,27070,11697,25362
28152,STANLY COUNTY,2256,2265,1368,2234,2265,799,795,787,508,799,1466,1466,1461,1447,860,8129,8547,7320,8547,8488,8319,4404,7320,7313,7235,3651,7320,8547,15651,15898,15964,15974,29796,9898,26608,27678,28218,10268,28091,29252,29916,Stanly,97,97,97,74,107,15867,15801,15554,8055,706,556,59178,706,556,759,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15867,7167,1452,7639,7508,7637,21518,21453,21038,8459,20218,6782,7211,7209,7103,1427,20019,20387,20394,8173,19270
260156,MISSING COUNTY,53750,53923,25235,52788,53945,25036,25006,24581,15023,25058,28887,28887,28744,28207,10212,82904,72994,115102,72974,72513,70452,33307,115098,114184,111567,30408,115102,72994,217045,221723,223098,224019,290972,59552,238057,251116,261730,80383,267805,281300,293258,Missing,35026,35026,35026,19189,35923,188072,186697,182019,63715,37941,47590,,37924,47590,39777,37783,9849,48849,47496,9797,,,,,MISSING COUNTY,188096,84144,7625,95843,90970,95639,157638,157392,152406,62909,145878,85065,97418,97387,92507,8358,111019,115179,115463,41397,105496
44141,WILSON COUNTY,4408,4415,2613,4347,4416,3114,3109,3086,1959,3115,1301,1301,1299,1261,654,11128,15639,8419,15635,15571,15380,7894,8419,8389,8143,3200,8419,15639,23609,24046,24140,24177,46630,13557,40884,43135,44216,13890,43052,45489,46795,Wilson,86,86,86,34,119,24054,23960,23523,11094,609,371,76972,609,371,654,609,316,418,371,237,63224,15337,81801,69710,WILSON COUNTY,24058,12625,2032,14423,13925,14413,31718,31608,30955,11542,29818,11912,13580,13576,13130,2021,29634,30194,30218,11299,28601
1994,TYRRELL COUNTY,173,173,111,172,173,157,157,156,104,157,16,16,16,16,7,508,910,95,910,906,894,469,95,95,94,39,95,910,988,1001,1005,1005,2077,699,1869,1957,1995,712,1944,2035,2080,Tyrrell,,,,,,1005,1001,988,508,,,3827,,,,,,,,,3288,810,4016,3533,TYRRELL COUNTY,1005,174,40,183,181,183,1897,1894,1854,672,1770,150,155,155,155,39,1802,1839,1840,660,1719
61742,WAYNE COUNTY,3724,3728,2042,3666,3732,1425,1422,1412,797,1429,2303,2303,2302,2254,1245,14055,14303,15450,14298,14234,14030,6430,15450,15414,15165,7344,15450,14303,30804,31267,31367,31430,66171,16788,57642,60444,61817,17481,61543,64633,66400,Wayne,1619,1619,1609,281,1677,29748,29648,29195,13774,6375,5498,115046,6321,5461,6428,6208,985,5525,5366,753,94031,20802,123131,103693,WAYNE COUNTY,29753,18501,3478,21173,20426,21165,38799,38631,37886,13018,36834,17486,19907,19897,19252,3351,35731,36347,36385,12684,34790
11885,MONTGOMERY COUNTY,933,934,532,914,934,487,486,468,270,487,447,447,447,446,262,3173,3089,3003,3089,3061,3002,1570,3003,3000,2975,1591,3003,3089,5999,6083,6114,6135,12662,4451,11358,11749,11959,4617,12062,12494,12801,Montgomery,22,22,22,12,43,6092,6061,5977,3161,214,142,25757,214,142,297,214,122,200,142,97,21266,5743,27173,23512,MONTGOMERY COUNTY,6092,2944,595,3143,3101,3143,9361,9305,9179,3900,8904,2763,2949,2949,2908,552,8699,8794,8810,3802,8453
31367,LENOIR COUNTY,2242,2243,1372,2219,2245,1042,1041,1032,642,1044,1201,1201,1201,1187,730,8874,9445,7658,9445,9426,9346,4906,7657,7638,7510,3905,7658,9445,16963,17171,17209,17223,33458,10894,29554,30860,31411,11179,31408,32842,33517,Lenoir,107,107,107,63,120,17102,17064,16856,8811,475,291,52801,475,291,493,475,268,325,291,206,43423,11303,55949,47933,LENOIR COUNTY,17103,9698,1915,10958,10627,10953,22066,22030,21740,8996,21235,9123,10294,10291,10003,1852,20566,20785,20792,8836,20140
17309,SCOTLAND COUNTY,1152,1152,718,1136,1152,494,494,488,318,494,658,658,658,648,400,4399,5129,3956,5129,5106,5056,2378,3956,3953,3887,1996,3956,5129,8991,9107,9133,9145,18764,5943,16397,17073,17371,6295,17681,18466,18849,Scotland,48,48,48,25,60,9085,9059,8943,4374,252,169,32530,252,169,302,252,144,222,169,104,26793,6531,34823,29381,SCOTLAND COUNTY,9085,4773,1018,5410,5264,5407,13137,13105,12950,5133,12656,4351,4903,4900,4785,913,12119,12240,12246,4926,11877
102181,ALAMANCE COUNTY,10918,10956,5804,10657,10956,4389,4365,4237,2573,4389,6567,6567,6553,6420,3231,23359,26669,31147,26666,26212,25302,11161,31145,31027,30347,12110,31147,26669,55825,57415,57987,58039,107163,27676,93288,98831,102388,28582,97542,103437,107851,Alamance,176,176,176,88,223,57811,57239,55649,23271,2037,1315,159560,2037,1315,2067,2014,913,1375,1302,697,132145,29035,169509,145046,ALAMANCE COUNTY,57816,25774,4823,28798,27702,28774,76986,76352,73698,22846,69754,24470,27323,27319,26336,4535,71180,73547,73690,22444,67516
5823,CAMDEN COUNTY,373,375,220,363,375,169,169,161,100,169,206,206,204,202,120,1059,1473,796,1473,1458,1423,734,796,796,789,325,796,1473,2445,2487,2502,2527,6800,1504,5452,5702,5836,1792,6372,6656,6832,Camden,233,233,233,0,258,2269,2254,2212,1059,2036,1408,10327,2020,1408,2054,1947,211,1419,1352,42,8407,1833,10867,9354,CAMDEN COUNTY,2269,846,142,909,881,906,3869,3858,3755,1439,3579,826,883,882,856,132,3438,3533,3534,1330,3274
14123,GREENE COUNTY,1182,1185,553,1160,1185,916,914,898,423,916,269,269,268,262,130,2634,4275,1766,4275,4241,4202,1649,1766,1764,1714,689,1766,4275,6736,6875,6925,6979,15468,3656,13063,13783,14154,3994,14272,15072,15547,Greene,884,870,820,296,938,6041,6005,5916,2338,3336,2587,20022,3173,2453,3386,2870,887,2613,2212,606,16884,3592,21069,18372,GREENE COUNTY,6041,2646,437,3028,2961,3027,9133,9105,8938,2670,8756,2480,2851,2850,2794,419,8536,8686,8690,2631,8371
62584,ROWAN COUNTY,5006,5011,2918,4955,5011,1055,1051,1037,635,1055,3956,3956,3955,3918,2283,15061,12647,18535,12641,12599,12360,6436,18535,18494,18247,8314,18535,12647,31170,31656,31739,31765,67410,19364,58726,61409,62708,20229,63165,66040,67588,Rowan,563,563,563,311,583,31176,31093,30607,14750,4169,3261,133830,4169,3261,4238,4169,1741,3341,3261,1509,110729,25371,142088,122048,ROWAN COUNTY,31182,21327,3842,23057,22515,23046,40293,40195,39356,14646,37669,19927,21498,21495,21027,3738,37121,37828,37869,14117,35538
8654,NORTHAMPTON COUNTY,895,899,636,890,899,758,754,750,561,758,141,141,141,140,75,2757,3862,810,3862,3853,3828,2414,810,810,798,343,810,3862,4626,4663,4672,4672,9322,3806,8226,8518,8683,3970,8810,9150,9360,Northampton,,,,,,4672,4663,4626,2757,168,72,18570,168,72,194,168,102,98,72,59,16132,5256,19483,17363,NORTHAMPTON COUNTY,4672,1421,355,1563,1543,1562,7603,7592,7439,3513,7221,1350,1471,1471,1457,325,6989,7111,7114,3422,6804
32289,WILKES COUNTY,3210,3217,1979,3161,3217,1322,1315,1291,828,1322,1895,1895,1895,1870,1151,8009,7007,9165,7005,6959,6833,3363,9165,9161,9011,4630,9165,7007,15860,16136,16186,16215,34659,11106,30517,31803,32361,11592,32732,34108,34781,Wilkes,16,16,16,16,43,16170,16120,15844,7993,316,215,64946,316,215,387,316,224,267,215,168,54628,15162,68412,59783,WILKES COUNTY,16172,10427,2294,11067,10977,11062,23327,23281,22815,9074,21989,9861,10467,10464,10386,2182,21202,21610,21627,8756,20441
42834,LINCOLN COUNTY,4475,4484,2552,4420,4484,1056,1051,1040,632,1056,3428,3428,3424,3380,1920,11584,8256,16732,8255,8192,8075,4065,16732,16656,16290,7498,16732,8256,24416,24899,25038,25059,44912,13556,39907,41824,42877,13843,41780,43824,45045,Lincoln,51,51,51,21,71,24987,24848,24365,11563,394,246,81663,394,246,416,394,252,279,246,203,67981,15456,86111,74647,LINCOLN COUNTY,24988,15636,2586,17649,17083,17629,26980,26889,26347,11005,25750,14723,16632,16631,16099,2550,25479,25957,25966,10803,24938
39445,CALDWELL COUNTY,3706,3714,2332,3664,3714,1632,1628,1606,1087,1632,2082,2082,2078,2058,1245,11574,12057,9892,12057,12013,11861,7116,9892,9864,9705,4458,9892,12057,21566,21877,21949,21966,41529,14141,37468,38912,39479,14416,39337,40911,41615,Caldwell,0,0,0,0,17,21949,21877,21566,11574,338,204,78015,338,204,347,338,195,224,204,151,65842,16769,82178,71809,CALDWELL COUNTY,21949,11054,1653,11993,11763,11984,29275,29207,28810,12568,27945,10137,10941,10939,10760,1600,27948,28302,28314,12390,27127
8494,POLK COUNTY,935,939,563,921,939,597,593,582,381,597,342,342,342,339,182,1970,2415,1422,2415,2401,2357,1280,1422,1418,1382,690,1422,2415,3739,3819,3837,3837,9006,3926,8051,8370,8533,4118,8525,8861,9069,Polk,,,,,,3837,3819,3739,1970,172,100,19940,172,100,213,172,136,131,100,88,17478,6644,20724,18752,POLK COUNTY,3837,1729,792,1882,1834,1879,6974,6955,6855,3190,6624,1652,1802,1802,1758,771,6512,6592,6600,3067,6299
36438,SURRY COUNTY,3925,3939,2422,3860,3941,1969,1957,1916,1217,1971,1970,1970,1968,1944,1205,9655,9931,9729,9929,9851,9635,4919,9727,9724,9622,4690,9729,9931,19316,19634,19715,19734,38428,12593,34300,35833,36505,12989,36055,37707,38597,Surry,59,59,59,46,74,19656,19575,19257,9609,351,238,67979,351,238,404,351,256,265,238,193,56811,14964,71783,62223,SURRY COUNTY,19660,11515,2484,12180,12075,12178,26013,25899,25281,10249,24189,10834,11446,11443,11372,2377,24223,24757,24794,10023,23228
21172,MACON COUNTY,2568,2573,1843,2550,2573,1903,1900,1883,1413,1903,670,670,668,667,430,6972,8234,3410,8228,8201,8103,4941,3410,3410,3392,2031,3410,8234,11495,11611,11638,11669,22168,9332,20243,20886,21241,9536,21137,21853,22264,Macon,0,0,0,0,25,11638,11611,11495,6972,478,356,34121,478,356,538,478,267,415,356,239,29260,10350,35858,31614,MACON COUNTY,11644,3066,928,3212,3175,3211,18514,18479,18200,8341,17593,2869,3003,3002,2981,912,17549,17814,17823,8181,17018
5243,CLAY COUNTY,891,891,639,882,891,753,753,744,546,753,138,138,138,138,93,2125,2653,617,2653,2645,2617,1754,617,616,615,371,617,2653,3232,3261,3270,3280,5528,2677,5069,5189,5333,2761,5330,5461,5659,Clay,0,0,0,0,10,3270,3261,3232,2125,127,77,10740,127,77,252,127,54,166,77,23,9352,3581,11231,10050,CLAY COUNTY,3270,1048,358,1054,1052,1053,4353,4348,4282,2349,4155,995,1001,1000,999,347,4113,4166,4166,2307,3997
18832,YADKIN COUNTY,2038,2042,1266,2009,2042,873,870,850,581,873,1169,1169,1168,1159,685,5090,4454,5469,4453,4428,4361,2439,5469,5464,5385,2639,5469,4454,9758,9904,9934,9946,19743,6642,17783,18526,18870,6779,18598,19413,19818,Yadkin,12,12,12,12,23,9922,9892,9746,5078,169,110,35700,169,110,193,169,118,132,110,93,29851,7711,37667,32660,YADKIN COUNTY,9923,5199,934,5652,5578,5650,13973,13924,13666,5727,13230,4940,5370,5369,5294,953,13122,13353,13368,5596,12733
119396,OUT OF STATE,21068,21200,10566,20445,21207,19891,19764,19151,9710,19898,1309,1309,1304,1294,856,27006,60208,5431,60199,58565,56595,24124,5431,5394,5326,2882,5431,60208,61921,63959,65630,65639,129654,44323,111445,115130,119566,47042,120483,124584,132388,Out of State,,,,,,65630,63959,61921,27006,,,,,,,,,,,,,,,,OUT OF STATE,65639,789,158,874,830,869,131514,128785,123754,46884,119694,994,1130,1130,1065,229,114065,118266,118436,44094,110451
