Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Fully Vaccinated - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
33313,SAMPSON COUNTY,2446,2447,1389,2429,2447,1393,1392,1389,784,1393,1054,1054,1054,1040,605,7550,9407,6992,9404,9369,9165,4375,6992,6986,6858,3147,6992,9407,16070,16402,16443,16502,35959,9590,31103,32708,33398,9936,33463,35227,36042,Sampson,47,47,47,28,103,16396,16355,16023,7522,634,413,59389,634,413,675,634,290,482,413,208,48081,11637,63531,53473,SAMPSON COUNTY,16399,8396,1440,9200,9006,9200,26167,26125,25587,8206,24433,7934,8677,8677,8517,1401,23778,24223,24239,7981,22756
24092,COLUMBUS COUNTY,1692,1693,1012,1677,1694,1081,1080,1078,638,1082,612,612,612,599,374,5569,7246,4419,7245,7231,7196,3348,4419,4408,4312,2202,4419,7246,11551,11682,11707,11728,25728,7591,22701,23745,24156,7904,24142,25291,25850,Columbus,43,43,43,19,63,11664,11639,11508,5550,389,313,52603,389,313,479,389,233,358,313,205,44013,11419,55508,48224,COLUMBUS COUNTY,11665,6409,1272,7447,7261,7445,17924,17894,17641,6399,17344,5973,6980,6978,6817,1197,16615,16801,16818,6189,16415
10781,CASWELL COUNTY,1183,1184,726,1171,1184,975,974,970,627,975,209,209,209,201,99,3082,4832,1390,4829,4814,4761,2468,1390,1386,1368,614,1390,4832,6129,6200,6219,6236,11509,4177,10277,10598,10835,4400,10941,11299,11601,Caswell,0,0,0,0,14,6219,6200,6129,3082,170,96,21496,170,96,234,170,87,139,96,61,18383,5005,22604,19944,CASWELL COUNTY,6222,1678,412,1789,1769,1789,9578,9550,9360,3901,9093,1424,1524,1524,1504,296,8998,9161,9172,3820,8757
9197,YANCEY COUNTY,1678,1680,1093,1658,1680,1523,1521,1510,1019,1523,157,157,157,148,74,3016,4979,574,4979,4949,4894,2780,574,573,538,236,574,4979,5432,5522,5553,5553,9688,3901,8764,9047,9236,4025,9201,9514,9765,Yancey,,,,,,5553,5522,5432,3016,137,107,17212,137,107,180,137,118,134,107,107,14782,4744,18069,15969,YANCEY COUNTY,5553,966,176,1115,1111,1113,8470,8438,8266,3731,8098,892,1034,1033,1028,174,7912,8057,8068,3620,7765
34849,LEE COUNTY,3799,3831,2099,3650,3834,1589,1558,1452,873,1592,2242,2242,2241,2198,1226,8057,8126,10497,8124,7945,7632,3702,10497,10445,10218,4303,10497,8126,17963,18503,18734,18765,37379,9673,31637,33770,34908,10031,33784,36114,37630,Lee,113,113,113,52,142,18621,18390,17850,8005,705,474,57893,705,474,723,705,276,496,474,227,47136,10404,61779,52144,LEE COUNTY,18623,10774,1545,12418,12033,12402,24489,24272,23376,8210,22305,10435,11945,11944,11623,1531,21673,22431,22467,7915,20728
11438,HERTFORD COUNTY,1195,1195,751,1188,1195,907,907,904,584,907,288,288,288,284,167,3275,4386,2092,4384,4379,4358,2340,2091,2088,2027,935,2092,4386,6385,6467,6475,6491,12265,4179,10799,11272,11481,4377,11525,12066,12346,Hertford,0,0,0,0,13,6475,6467,6385,3275,43,12,22610,43,12,97,43,29,42,12,12,19299,4836,23677,20898,HERTFORD COUNTY,6478,3127,686,3603,3511,3598,8646,8624,8512,3662,8355,2922,3331,3331,3255,677,8005,8095,8108,3490,7865
46827,ROCKINGHAM COUNTY,4418,4421,2737,4366,4421,1773,1773,1751,1193,1773,2648,2648,2645,2615,1544,14256,11278,15365,11275,11230,11098,6482,15362,15336,15182,7712,15365,11278,26383,26669,26740,26764,49290,16893,44239,46012,46889,17346,46489,48374,49456,Rockingham,103,103,103,62,121,26637,26566,26280,14194,594,375,86406,594,375,633,594,374,406,375,278,72695,18996,91010,79246,ROCKINGHAM COUNTY,26643,14377,3017,15575,15210,15563,33248,33133,32570,13955,31518,13634,14756,14756,14430,2973,31207,31696,31727,13642,30230
45498,CARTERET COUNTY,5060,5076,3435,5017,5076,1236,1225,1213,879,1236,3840,3840,3835,3804,2556,14118,7992,16553,7991,7950,7868,4741,16551,16513,16272,9020,16553,7992,25286,25671,25750,25756,48769,17216,42821,44687,45534,17975,45788,47848,48880,Carteret,1208,1208,1146,357,1211,24542,24463,24140,13761,7053,5341,66672,6883,5236,7096,6405,1548,5362,4851,1027,57537,17867,69473,62070,CARTERET COUNTY,24545,12136,2626,13565,13178,13558,28219,28158,27787,13801,27247,11722,13071,13067,12714,2703,26737,27090,27101,13486,26248
708541,MECKLENBURG COUNTY,79115,79516,31436,76683,79552,15538,15432,15018,6715,15574,63978,63978,63683,61665,24721,117839,147037,273223,146972,144985,139430,38931,273215,270687,261099,78270,273223,147037,402365,417520,422035,422168,750791,124002,631018,678135,709669,127897,667158,717125,755177,Mecklenburg,1848,1848,1836,638,1908,420187,415672,400529,117201,9735,6071,1037049,9702,6058,9810,9577,3229,6126,5966,2294,852079,127686,1110356,937616,MECKLENBURG COUNTY,420260,230791,25155,270418,256503,269577,474949,471479,450920,99513,426790,222367,260763,260671,247596,25027,424481,441799,442780,96681,402685
8269,SWAIN COUNTY,730,730,494,725,730,345,345,343,247,345,385,385,385,382,247,2103,2098,1239,2098,2087,2057,1212,1239,1239,1210,557,1239,2098,4373,4594,4666,4677,9562,2528,7264,7830,8339,2677,8393,9057,9681,Swain,1329,1268,1106,334,1340,3337,3326,3267,1769,4083,3081,13403,3682,2738,4191,3222,525,3146,2356,430,11137,2803,14271,12138,SWAIN COUNTY,3337,1244,260,1346,1332,1344,4144,4135,4043,1892,3927,1110,1203,1202,1190,241,3902,3986,3990,1857,3798
