Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
12827,15374,14846,71,13421,5470,35620,Alexander,59,89,2481,306,13412,5105,2270,37497,71,16240,15332,321,133,2686,7667,2686,5236,12989,15559,30040,5622,109,32781,2434,12831,12505,89,2434,16187,65
153278,209678,197614,4546,165783,41243,301307,Durham,1428,5983,49308,5581,165701,34234,47502,321488,4546,226785,209603,5665,6024,54978,43764,54972,35299,152248,207539,255829,42590,4569,275950,51779,153330,145566,5983,51779,226656,1626
50251,64325,61572,959,52656,26053,111764,Henderson,765,1429,12899,3749,52638,21539,12300,117417,959,67942,64292,3780,1436,13850,30961,13850,21797,49686,64014,95451,26450,979,103234,13082,50263,48313,1429,13083,67917,873
14557,19258,18468,0,16445,6405,37393,Pasquotank,0,12,4883,865,16418,5540,4499,39824,0,21594,19231,935,29,5120,6841,5120,6067,15614,20509,31068,7014,14,34029,4674,14570,13969,12,4674,21550,12
5744,6891,6716,66,6019,3300,12261,Pamlico,49,76,1074,248,6019,3003,992,12726,66,7275,6879,252,92,1164,3866,1164,3079,5903,7053,10805,3383,78,11540,1069,5744,5658,76,1069,7259,52
5697,6804,6575,52,6103,2770,14242,Mitchell,52,101,997,232,6101,2486,902,14964,52,7347,6780,245,114,1130,3810,1130,2554,5958,7056,12229,2871,75,13195,1031,5698,5621,101,1031,7332,72
8935,10833,10515,13,10070,3967,26216,Currituck,13,33,1916,342,10062,3612,1776,27763,13,12142,10814,347,45,2027,4551,2027,4132,9805,11754,21675,4498,28,23787,1866,8939,8726,33,1866,12122,19
61864,85293,82882,1487,64747,42260,137478,Brunswick,1133,1813,21598,6318,64727,34809,20612,142820,1487,89891,85265,6112,1841,23303,46605,23302,36021,63294,86705,121795,43375,1503,129086,21914,61874,60783,1813,21916,89842,1242
51625,74901,71307,928,55468,24422,158409,Davidson,695,1239,22420,4232,55439,19495,20952,167609,928,80832,74851,4276,1268,24096,31089,24094,19952,52464,76123,131285,25008,961,144432,22298,51641,49427,1239,22299,80772,780
21920,34558,32572,384,23199,10098,65799,Franklin,246,505,11585,1880,23185,7972,11025,69685,384,36730,34522,1862,524,13007,11935,13006,8154,22107,34197,54524,10291,410,59978,12218,21930,21163,505,12218,36696,275
20576,25462,24391,0,21368,9153,35367,Dare,0,10,4855,560,21358,8593,4475,37009,0,26743,25439,589,23,5352,8201,5352,8763,20409,25274,30088,9362,17,32745,4863,20582,19916,10,4863,26720,10
93203,138828,131588,1234,98794,40054,223363,New Hanover,852,1822,42171,5862,98764,33340,40126,234473,1234,148221,138788,5970,1839,47588,43147,47569,34216,94015,138008,191812,41179,1255,206724,44351,93221,90228,1822,44352,148155,993
11237,15297,14579,151,12190,5561,31131,Bladen,90,176,3823,629,12183,4842,3566,32722,151,16582,15265,662,216,4176,7459,4176,5009,11667,15666,26077,5769,177,28574,3877,11243,10862,176,3877,16535,98
8058,10531,10144,95,8632,3652,23143,Anson,69,119,2359,360,8631,3223,2089,24446,95,11434,10527,406,128,2674,4730,2674,3307,8455,10933,19608,3790,99,21306,2374,8058,7960,119,2374,11424,77
