ZIPCode,Place,date,cases_confirmed_cum,deaths_confirmed_cum,TotalPop,cases_daily,deaths_daily,state,cases_per_100k
27530,Goldsboro,2020-05-08,516,3,40212,516,3,North Carolina,1283.19904506118
27531,Goldsboro,2020-05-08,0,0,666,0,0,North Carolina,0
27534,Goldsboro,2020-05-08,60,0,31819,60,0,North Carolina,188.566579716522
27536,Henderson,2020-05-08,100,8,16459,100,8,North Carolina,607.570326265265
27537,Henderson,2020-05-08,52,3,25321,52,3,North Carolina,205.363137316852
27539,Apex,2020-05-08,15,1,26567,15,1,North Carolina,56.4610230737381
27540,Holly Springs,2020-05-08,18,0,39075,18,0,North Carolina,46.0652591170825
27541,Hurdle Mills,2020-05-08,2,0,4044,2,0,North Carolina,49.4559841740851
27542,Kenly,2020-05-08,6,0,10043,6,0,North Carolina,59.743104650005
27544,Kittrell,2020-05-08,2,0,4291,2,0,North Carolina,46.6091820088558
27545,Knightdale,2020-05-08,75,11,30327,75,11,North Carolina,247.304382233653
27546,Lillington,2020-05-08,83,9,22436,83,9,North Carolina,369.941165983241
27549,Louisburg,2020-05-08,74,20,25224,74,20,North Carolina,293.37139232477
27551,Macon,2020-05-08,1,0,2205,1,0,North Carolina,45.3514739229025
27553,Manson,2020-05-08,5,0,2030,5,0,North Carolina,246.305418719212
27557,Middlesex,2020-05-08,2,0,9214,2,0,North Carolina,21.7060994139353
27559,Moncure,2020-05-08,0,0,2874,0,0,North Carolina,0
27560,Morrisville,2020-05-08,18,0,33691,18,0,North Carolina,53.4267311744976
27562,New Hill,2020-05-08,1,0,2791,1,0,North Carolina,35.8294518093873
27563,Norlina,2020-05-08,9,0,5312,9,0,North Carolina,169.427710843374
27565,Oxford,2020-05-08,35,0,26057,35,0,North Carolina,134.320911847104
27569,Princeton,2020-05-08,9,0,8984,9,0,North Carolina,100.178094390027
27571,Rolesville,2020-05-08,4,0,7385,4,0,North Carolina,54.16384563304
27572,Rougemont,2020-05-08,3,0,7316,3,0,North Carolina,41.0060142154183
27573,Roxboro,2020-05-08,13,1,11561,13,1,North Carolina,112.447020153966
27574,Roxboro,2020-05-08,8,0,15232,8,0,North Carolina,52.5210084033613
27576,Selma,2020-05-08,17,1,20197,17,1,North Carolina,84.1709164727435
27577,Smithfield,2020-05-08,21,0,25214,21,0,North Carolina,83.2870627429206
27581,Stem,2020-05-08,6,0,3956,6,0,North Carolina,151.668351870576
27583,Timberlake,2020-05-08,8,0,7012,8,0,North Carolina,114.090131203651
27587,Wake Forest,2020-05-08,47,2,74087,47,2,North Carolina,63.4389299067313
27589,Warrenton,2020-05-08,2,0,8312,2,0,North Carolina,24.0615976900866
27591,Wendell,2020-05-08,22,0,23448,22,0,North Carolina,93.8246332309792
27592,Willow Spring,2020-05-08,24,0,17368,24,0,North Carolina,138.185168125288
27596,Youngsville,2020-05-08,16,0,18655,16,0,North Carolina,85.7678906459394
27597,Zebulon,2020-05-08,22,1,25494,22,1,North Carolina,86.2948144661489
27601,Raleigh,2020-05-08,18,0,12139,18,0,North Carolina,148.28239558448
27603,Raleigh,2020-05-08,46,0,55479,46,0,North Carolina,82.9142558445538
27604,Raleigh,2020-05-08,60,1,47645,60,1,North Carolina,125.931367404764
27605,Raleigh,2020-05-08,4,0,5253,4,0,North Carolina,76.1469636398249
27606,Raleigh,2020-05-08,31,0,47938,31,0,North Carolina,64.6668613625934
27607,Raleigh,2020-05-08,15,0,30296,15,0,North Carolina,49.5114866649063
27608,Raleigh,2020-05-08,6,0,11603,6,0,North Carolina,51.7107644574679
27609,Raleigh,2020-05-08,40,1,38631,40,1,North Carolina,103.543786078538
27610,Raleigh,2020-05-08,220,5,74203,220,5,North Carolina,296.483969650823
27612,Raleigh,2020-05-08,23,2,39208,23,2,North Carolina,58.6614976535401
27613,Raleigh,2020-05-08,23,0,46521,23,0,North Carolina,49.4400378323768
27614,Raleigh,2020-05-08,22,0,37689,22,0,North Carolina,58.3724694207859
27615,Raleigh,2020-05-08,31,0,46038,31,0,North Carolina,67.3356792215127
27616,Raleigh,2020-05-08,58,1,55260,58,1,North Carolina,104.958378574014
27617,Raleigh,2020-05-08,18,0,19511,18,0,North Carolina,92.2556506586028
27701,Durham,2020-05-08,29,1,26489,29,1,North Carolina,109.479406546114
27703,Durham,2020-05-08,79,2,61351,79,2,North Carolina,128.76725725742
27704,Durham,2020-05-08,105,0,39369,105,0,North Carolina,266.707307780233
27705,Durham,2020-05-08,256,27,48078,256,27,North Carolina,532.468072715171
27707,Durham,2020-05-08,88,1,47036,88,1,North Carolina,187.090739008419
27708,Durham,2020-05-08,0,0,4635,0,0,North Carolina,0
27712,Durham,2020-05-08,64,13,22055,64,13,North Carolina,290.183631829517
27713,Durham,2020-05-08,71,2,53996,71,2,North Carolina,131.491221571968
27801,Rocky Mount,2020-05-08,25,1,21556,25,1,North Carolina,115.976990165151
27803,Rocky Mount,2020-05-08,28,2,22337,28,2,North Carolina,125.352554058289
27804,Rocky Mount,2020-05-08,51,0,29160,51,0,North Carolina,174.897119341564
27805,Aulander,2020-05-08,3,0,3769,3,0,North Carolina,79.5967100026532
27806,Aurora,2020-05-08,1,0,2441,1,0,North Carolina,40.9668168783286
27807,Bailey,2020-05-08,6,0,6940,6,0,North Carolina,86.4553314121038
27808,Bath,2020-05-08,2,0,2481,2,0,North Carolina,80.6126561870214
27809,Battleboro,2020-05-08,14,1,5254,14,1,North Carolina,266.463646745337
27810,Belhaven,2020-05-08,0,0,4224,0,0,North Carolina,0
27812,Bethel,2020-05-08,2,0,2951,2,0,North Carolina,67.7736360555744
27813,Black Creek,2020-05-08,2,0,687,2,0,North Carolina,291.120815138282
27814,Blounts Creek,2020-05-08,1,0,1801,1,0,North Carolina,55.5247084952804
27816,Castalia,2020-05-08,2,0,2634,2,0,North Carolina,75.9301442672741
27817,Chocowinity,2020-05-08,4,0,7777,4,0,North Carolina,51.4337148000514
27818,Como,2020-05-08,2,0,1269,2,0,North Carolina,157.604412923562
27820,Conway,2020-05-08,12,1,3292,12,1,North Carolina,364.520048602673
27822,Elm City,2020-05-08,15,1,9119,15,1,North Carolina,164.491720583397
27823,Enfield,2020-05-08,15,0,7812,15,0,North Carolina,192.012288786482
27824,Engelhard,2020-05-08,0,0,1540,0,0,North Carolina,0
27826,Fairfield,2020-05-08,0,0,1245,0,0,North Carolina,0
27828,Farmville,2020-05-08,8,0,9031,8,0,North Carolina,88.5837670246927
27829,Fountain,2020-05-08,3,0,1872,3,0,North Carolina,160.25641025641
27830,Fremont,2020-05-08,6,0,4858,6,0,North Carolina,123.507616303005
27831,Garysburg,2020-05-08,6,0,3588,6,0,North Carolina,167.224080267559
27832,Gaston,2020-05-08,18,0,2912,18,0,North Carolina,618.131868131868
27834,Greenville,2020-05-08,70,0,57505,70,0,North Carolina,121.728545343883
27837,Grimesland,2020-05-08,3,0,6506,3,0,North Carolina,46.1112818936366
27839,Halifax,2020-05-08,3,0,3702,3,0,North Carolina,81.0372771474879
27840,Hamilton,2020-05-08,2,0,535,2,0,North Carolina,373.831775700935
27842,Henrico,2020-05-08,2,0,1436,2,0,North Carolina,139.275766016713
27843,Hobgood,2020-05-08,0,0,946,0,0,North Carolina,0
27844,Hollister,2020-05-08,9,0,3039,9,0,North Carolina,296.150049358342
27845,Jackson,2020-05-08,3,0,2841,3,0,North Carolina,105.596620908131
27846,Jamesville,2020-05-08,0,0,3069,0,0,North Carolina,0
27847,Kelford,2020-05-08,1,0,1071,1,0,North Carolina,93.3706816059757
27849,Lewiston Woodville,2020-05-08,1,0,1483,1,0,North Carolina,67.4308833445718
27850,Littleton,2020-05-08,3,0,7413,3,0,North Carolina,40.4694455685957
27851,Lucama,2020-05-08,13,0,5595,13,0,North Carolina,232.350312779267
27852,Macclesfield,2020-05-08,8,0,3454,8,0,North Carolina,231.615518239722
27855,Murfreesboro,2020-05-08,8,1,6105,8,1,North Carolina,131.040131040131
27856,Nashville,2020-05-08,18,1,17301,18,1,North Carolina,104.040228888504
27857,Oak City,2020-05-08,0,0,1601,0,0,North Carolina,0
27858,Greenville,2020-05-08,32,1,58170,32,1,North Carolina,55.0111741447482
27860,Pantego,2020-05-08,2,0,2062,2,0,North Carolina,96.9932104752667
27862,Pendleton,2020-05-08,0,0,945,0,0,North Carolina,0
27863,Pikeville,2020-05-08,7,0,12670,7,0,North Carolina,55.2486187845304
27864,Pinetops,2020-05-08,25,1,4823,25,1,North Carolina,518.349574953349
27865,Pinetown,2020-05-08,2,0,2003,2,0,North Carolina,99.8502246630055
27866,Pleasant Hill,2020-05-08,1,0,672,1,0,North Carolina,148.809523809524
27869,Rich Square,2020-05-08,23,5,2167,23,5,North Carolina,1061.3751730503
27870,Roanoke Rapids,2020-05-08,31,1,26633,31,1,North Carolina,116.396951150828
27871,Robersonville,2020-05-08,12,1,4466,12,1,North Carolina,268.696820420958
27874,Scotland Neck,2020-05-08,2,0,4766,2,0,North Carolina,41.9639110365086
27875,Scranton,2020-05-08,0,0,511,0,0,North Carolina,0
27876,Seaboard,2020-05-08,5,0,1290,5,0,North Carolina,387.596899224806
27880,Sims,2020-05-08,2,0,3280,2,0,North Carolina,60.9756097560976
27882,Spring Hope,2020-05-08,7,0,7927,7,0,North Carolina,88.3057903368235
27883,Stantonsburg,2020-05-08,10,1,4361,10,1,North Carolina,229.305205228159
27884,Stokes,2020-05-08,0,0,1545,0,0,North Carolina,0
27885,Swanquarter,2020-05-08,1,0,859,1,0,North Carolina,116.414435389988
27886,Tarboro,2020-05-08,66,4,21595,66,4,North Carolina,305.626302384811
27888,Walstonburg,2020-05-08,3,0,2803,3,0,North Carolina,107.028184088477
27889,Washington,2020-05-08,12,0,27543,12,0,North Carolina,43.5682387539484
27890,Weldon,2020-05-08,2,0,2398,2,0,North Carolina,83.4028356964137
27891,Whitakers,2020-05-08,5,1,5011,5,1,North Carolina,99.7804829375374
27892,Williamston,2020-05-08,15,0,14363,15,0,North Carolina,104.435006614217
27893,Wilson,2020-05-08,111,5,40647,111,5,North Carolina,273.082884345708
27896,Wilson,2020-05-08,36,0,21212,36,0,North Carolina,169.715255515746
27897,Woodland,2020-05-08,27,1,2467,27,1,North Carolina,1094.44669639238
