county,report_date,reference_date,confirm_death,confirm
Guilford,2021-09-28,2021-09-14,4,309
Guilford,2021-09-28,2021-09-15,4,320
Wake,2021-09-28,2021-09-20,4,562
Guilford,2021-09-28,2021-09-16,6,295
Forsyth,2021-09-29,2021-09-24,0,151
Wake,2021-09-29,2021-09-25,0,214
Wake,2021-09-29,2021-09-24,0,308
Wake,2021-09-29,2021-09-26,0,75
Forsyth,2021-09-29,2021-09-27,0,82
Guilford,2021-09-29,2021-09-26,0,110
Wake,2021-09-29,2021-09-27,0,284
Forsyth,2021-09-29,2021-09-23,0,159
Guilford,2021-09-29,2021-09-22,0,257
Guilford,2021-09-29,2021-09-27,0,71
Forsyth,2021-09-29,2021-09-25,1,63
Guilford,2021-09-29,2021-09-19,1,123
Wake,2021-09-29,2021-09-18,1,309
Forsyth,2021-09-29,2021-09-17,1,191
Forsyth,2021-09-29,2021-09-14,1,244
Forsyth,2021-09-29,2021-09-15,1,251
Forsyth,2021-09-29,2021-09-20,1,237
Wake,2021-09-29,2021-09-21,1,397
Wake,2021-09-29,2021-09-23,1,329
Guilford,2021-09-29,2021-09-24,1,218
Guilford,2021-09-29,2021-09-20,1,315
Wake,2021-09-29,2021-09-16,1,431
Forsyth,2021-09-29,2021-09-18,2,90
Forsyth,2021-09-29,2021-09-16,2,197
Guilford,2021-09-29,2021-09-25,2,116
Guilford,2021-09-29,2021-09-17,2,293
Wake,2021-09-29,2021-09-14,2,426
Guilford,2021-09-29,2021-09-23,2,232
Forsyth,2021-09-29,2021-09-22,2,185
Guilford,2021-09-29,2021-09-21,2,264
Forsyth,2021-09-29,2021-09-19,3,101
Forsyth,2021-09-29,2021-09-26,3,77
Guilford,2021-09-29,2021-09-18,3,136
Wake,2021-09-29,2021-09-15,3,492
Wake,2021-09-29,2021-09-19,3,144
Wake,2021-09-29,2021-09-22,3,397
Forsyth,2021-09-29,2021-09-21,4,175
Guilford,2021-09-29,2021-09-14,4,310
Guilford,2021-09-29,2021-09-15,4,320
Wake,2021-09-29,2021-09-20,4,560
Wake,2021-09-29,2021-09-17,4,397
Guilford,2021-09-29,2021-09-16,6,299
Forsyth,2021-09-30,2021-09-24,0,152
Forsyth,2021-09-30,2021-09-28,0,66
Wake,2021-09-30,2021-09-25,0,221
Wake,2021-09-30,2021-09-28,0,238
Wake,2021-09-30,2021-09-24,0,314
Wake,2021-09-30,2021-09-26,0,87
Guilford,2021-09-30,2021-09-26,0,119
Guilford,2021-09-30,2021-09-28,0,58
Forsyth,2021-09-30,2021-09-27,0,182
Forsyth,2021-09-30,2021-09-23,0,159
Wake,2021-09-30,2021-09-27,0,424
Guilford,2021-09-30,2021-09-22,0,270
Guilford,2021-09-30,2021-09-27,0,196
Guilford,2021-09-30,2021-09-19,1,132
Wake,2021-09-30,2021-09-18,1,309
Forsyth,2021-09-30,2021-09-17,1,191
Forsyth,2021-09-30,2021-09-14,1,244
Forsyth,2021-09-30,2021-09-15,1,251
Forsyth,2021-09-30,2021-09-20,1,239
Wake,2021-09-30,2021-09-21,1,396
Wake,2021-09-30,2021-09-23,1,332
Guilford,2021-09-30,2021-09-24,1,225
Guilford,2021-09-30,2021-09-20,1,322
Wake,2021-09-30,2021-09-16,1,431
Forsyth,2021-09-30,2021-09-18,2,89
Forsyth,2021-09-30,2021-09-25,2,62
Forsyth,2021-09-30,2021-09-16,2,197
Guilford,2021-09-30,2021-09-25,2,118
Guilford,2021-09-30,2021-09-17,2,293
Wake,2021-09-30,2021-09-14,2,426
Guilford,2021-09-30,2021-09-23,2,236
Forsyth,2021-09-30,2021-09-22,2,191
Guilford,2021-09-30,2021-09-21,2,269
Forsyth,2021-09-30,2021-09-19,3,101
Forsyth,2021-09-30,2021-09-26,3,88
Guilford,2021-09-30,2021-09-18,3,137
Wake,2021-09-30,2021-09-15,3,492
Wake,2021-09-30,2021-09-19,3,145
Wake,2021-09-30,2021-09-22,3,398
Forsyth,2021-09-30,2021-09-21,4,176
Guilford,2021-09-30,2021-09-14,4,312
Guilford,2021-09-30,2021-09-15,4,320
Wake,2021-09-30,2021-09-20,4,560
Wake,2021-09-30,2021-09-17,4,396
Guilford,2021-09-30,2021-09-16,6,301
Forsyth,2021-10-01,2021-09-29,0,53
Wake,2021-10-01,2021-09-25,0,223
Wake,2021-10-01,2021-09-29,0,298
Wake,2021-10-01,2021-09-26,0,91
Wake,2021-10-01,2021-09-24,0,314
Guilford,2021-10-01,2021-09-26,0,133
Forsyth,2021-10-01,2021-09-23,0,159
Guilford,2021-10-01,2021-09-29,0,45
Wake,2021-10-01,2021-09-28,0,304
Guilford,2021-10-01,2021-09-28,0,150
Forsyth,2021-10-01,2021-09-27,0,207
Wake,2021-10-01,2021-09-27,0,444
Guilford,2021-10-01,2021-09-22,0,271
Guilford,2021-10-01,2021-09-27,0,273
Guilford,2021-10-01,2021-09-19,1,131
Forsyth,2021-10-01,2021-09-24,1,152
Wake,2021-10-01,2021-09-18,1,310
Forsyth,2021-10-01,2021-09-17,1,190
Forsyth,2021-10-01,2021-09-14,1,244
Forsyth,2021-10-01,2021-09-15,1,251
