Reinfection,Total Cases by Date of Specimen collection,Total Antigen Cases by Date of Specimen Collection,Total Molecular Cases by Date of Specimen Collection,Death by Date of Death,County,Date
,0,0,0,0,Columbus,2022-03-05
,0,0,0,0,Columbus,2022-03-15
,0,0,0,0,Columbus,2022-03-19
,0,0,0,0,Columbus,2022-03-20
,0,0,0,0,Columbus,2022-03-21
,0,0,0,0,Columbus,2022-03-22
,0,0,0,0,Columbus,2022-03-24
,0,0,0,0,Columbus,2022-03-25
,0,0,0,0,Columbus,2022-03-29
,0,0,0,0,Columbus,2022-03-30
,0,0,0,0,Columbus,2022-04-01
,0,0,0,0,Columbus,2022-04-03
,0,0,0,0,Columbus,2022-04-06
,0,0,0,0,Columbus,2022-04-09
,0,0,0,0,Columbus,2022-04-10
,0,0,0,0,Columbus,2022-04-13
,0,0,0,0,Columbus,2022-04-15
,0,0,0,0,Columbus,2022-04-16
,0,0,0,0,Columbus,2022-04-17
,0,0,0,0,Columbus,2022-05-05
0,14,4,10,0,Columbus,2021-12-17
0,2,0,2,0,Columbus,2021-12-18
0,4,0,4,0,Columbus,2021-12-19
0,7,2,5,0,Columbus,2021-12-25
0,25,9,16,0,Columbus,2022-01-21
0,7,2,5,0,Columbus,2022-02-12
0,5,2,3,0,Columbus,2022-02-25
0,4,0,4,0,Columbus,2022-02-26
0,2,1,1,0,Columbus,2022-02-27
0,6,0,6,0,Columbus,2022-03-01
0,2,1,1,0,Columbus,2022-03-03
0,1,0,1,0,Columbus,2022-03-04
0,1,0,1,0,Columbus,2022-03-07
0,2,0,2,0,Columbus,2022-03-09
0,2,1,1,0,Columbus,2022-03-10
0,1,0,1,0,Columbus,2022-03-13
0,1,0,1,0,Columbus,2022-03-16
0,3,0,3,0,Columbus,2022-03-17
0,2,0,2,0,Columbus,2022-03-18
0,1,0,1,0,Columbus,2022-03-23
0,1,0,1,0,Columbus,2022-03-26
0,1,0,1,0,Columbus,2022-03-27
0,3,0,3,0,Columbus,2022-03-28
0,2,0,2,0,Columbus,2022-04-05
0,1,0,1,0,Columbus,2022-04-07
0,1,0,1,0,Columbus,2022-04-08
0,3,2,1,0,Columbus,2022-04-11
0,1,0,1,0,Columbus,2022-04-14
0,1,0,1,0,Columbus,2022-04-19
0,1,0,1,0,Columbus,2022-04-21
0,2,1,1,0,Columbus,2022-04-23
0,3,2,1,0,Columbus,2022-04-24
0,4,2,2,0,Columbus,2022-04-27
0,7,0,7,0,Columbus,2022-04-28
0,2,1,1,0,Columbus,2022-04-29
0,2,0,2,0,Columbus,2022-04-30
0,5,3,2,0,Columbus,2022-05-03
0,2,0,2,0,Columbus,2022-05-07
0,6,3,3,0,Columbus,2022-05-09
0,3,0,3,0,Columbus,2022-05-15
0,8,0,8,0,Columbus,2022-05-20
0,4,0,4,0,Columbus,2022-05-21
0,6,1,5,0,Columbus,2022-05-24
0,3,1,2,0,Columbus,2022-05-28
0,6,1,5,0,Columbus,2022-05-29
0,3,1,2,0,Columbus,2022-06-03
0,1,0,1,0,Columbus,2022-06-04
0,3,0,3,0,Columbus,2022-06-05
0,6,3,3,0,Columbus,2022-06-08
0,4,2,2,0,Columbus,2022-06-11
1,9,6,3,0,Columbus,2021-12-15
1,21,10,11,0,Columbus,2021-12-16
1,13,2,11,0,Columbus,2021-12-24
1,15,5,10,0,Columbus,2022-01-01
1,21,6,15,0,Columbus,2022-01-30
1,11,1,10,0,Columbus,2022-02-13
1,11,3,8,0,Columbus,2022-02-18
1,3,1,2,0,Columbus,2022-02-20
1,7,2,5,0,Columbus,2022-02-22
1,11,6,5,0,Columbus,2022-02-23
1,7,4,3,0,Columbus,2022-02-24
1,4,1,3,0,Columbus,2022-03-02
1,6,1,5,0,Columbus,2022-03-08
1,2,0,2,0,Columbus,2022-03-11
1,2,2,0,0,Columbus,2022-03-14
1,1,1,0,0,Columbus,2022-04-12
1,4,0,4,0,Columbus,2022-04-18
1,2,0,2,0,Columbus,2022-04-22
1,2,1,1,0,Columbus,2022-05-01
1,4,1,3,0,Columbus,2022-05-04
1,6,2,4,0,Columbus,2022-05-06
1,7,1,6,0,Columbus,2022-05-11
1,2,1,1,0,Columbus,2022-05-14
1,4,1,3,0,Columbus,2022-05-22
1,7,1,6,0,Columbus,2022-05-27
1,5,2,3,0,Columbus,2022-05-30
1,14,11,3,0,Columbus,2022-06-01
1,11,3,8,0,Columbus,2022-06-07
2,25,9,16,0,Columbus,2021-12-20
2,20,2,18,0,Columbus,2021-12-22
2,29,8,21,0,Columbus,2022-01-02
2,40,16,24,0,Columbus,2022-01-08
2,54,9,45,0,Columbus,2022-01-15
2,39,13,26,0,Columbus,2022-01-16
2,15,9,6,0,Columbus,2022-01-29
2,18,11,7,0,Columbus,2022-02-21
2,12,8,4,0,Columbus,2022-02-28
2,6,2,4,0,Columbus,2022-04-25
2,9,3,6,0,Columbus,2022-05-10
2,8,4,4,0,Columbus,2022-05-12
2,23,8,15,0,Columbus,2022-05-16
2,19,6,13,0,Columbus,2022-05-18
2,7,2,5,0,Columbus,2022-05-26
2,6,2,4,0,Columbus,2022-06-06
2,11,4,7,0,Columbus,2022-06-09
2,6,2,4,0,Columbus,2022-06-10
3,26,4,22,0,Columbus,2021-12-23
3,23,13,10,0,Columbus,2022-02-16
3,9,4,5,0,Columbus,2022-04-26
3,11,4,7,0,Columbus,2022-05-13
3,12,3,9,0,Columbus,2022-05-19
4,68,30,38,0,Columbus,2022-02-01
4,16,5,11,0,Columbus,2022-02-05
4,20,9,11,0,Columbus,2022-05-23
4,12,7,5,0,Columbus,2022-05-25
5,25,13,12,0,Columbus,2022-02-09
6,85,11,74,0,Columbus,2021-12-30
6,50,9,41,0,Columbus,2021-12-31
6,56,21,35,0,Columbus,2022-02-07
7,77,4,73,0,Columbus,2021-12-28
8,43,23,20,0,Columbus,2022-02-08
10,96,14,82,0,Columbus,2021-12-29
10,120,26,94,0,Columbus,2022-01-03
12,189,59,130,0,Columbus,2022-01-17
17,161,85,76,0,Columbus,2022-01-05
21,156,78,78,0,Columbus,2022-01-04
26,288,115,173,0,Columbus,2022-01-19
27,259,68,191,0,Columbus,2022-01-11
27,273,117,156,0,Columbus,2022-01-13
0,41,16,25,0,Craven,2021-12-20
0,39,13,26,0,Craven,2021-12-23
0,17,7,10,0,Craven,2021-12-24
0,9,1,8,0,Craven,2021-12-25
0,9,0,9,0,Craven,2022-02-20
0,24,6,18,0,Craven,2022-02-23
0,8,2,6,0,Craven,2022-02-26
0,4,2,2,0,Craven,2022-02-27
0,20,1,19,0,Craven,2022-02-28
0,9,3,6,0,Craven,2022-03-04
0,7,2,5,0,Craven,2022-03-08
0,12,4,8,0,Craven,2022-03-11
0,7,1,6,0,Craven,2022-03-13
0,8,2,6,0,Craven,2022-03-15
0,6,2,4,0,Craven,2022-03-16
0,5,3,2,0,Craven,2022-03-18
0,1,0,1,0,Craven,2022-03-19
0,6,1,5,0,Craven,2022-03-22
0,2,0,2,0,Craven,2022-03-23
0,3,1,2,0,Craven,2022-03-24
0,3,1,2,0,Craven,2022-03-26
0,1,0,1,0,Craven,2022-03-27
0,5,4,1,0,Craven,2022-03-28
0,3,2,1,0,Craven,2022-03-30
0,6,0,6,0,Craven,2022-03-31
0,4,0,4,0,Craven,2022-04-01
0,3,0,3,0,Craven,2022-04-02
0,1,1,0,0,Craven,2022-04-03
0,8,5,3,0,Craven,2022-04-04
0,5,4,1,0,Craven,2022-04-05
0,6,2,4,0,Craven,2022-04-07
0,6,5,1,0,Craven,2022-04-08
0,2,0,2,0,Craven,2022-04-09
0,2,0,2,0,Craven,2022-04-10
0,6,3,3,0,Craven,2022-04-15
0,19,14,5,0,Craven,2022-04-18
0,9,5,4,0,Craven,2022-04-22
0,3,2,1,0,Craven,2022-04-24
0,10,3,7,0,Craven,2022-04-27
0,21,5,16,0,Craven,2022-04-28
0,19,9,10,0,Craven,2022-04-29
0,14,6,8,0,Craven,2022-05-01
0,17,10,7,0,Craven,2022-05-14
1,21,9,12,0,Craven,2021-12-14
1,28,10,18,0,Craven,2021-12-16
1,14,5,9,0,Craven,2021-12-18
1,37,8,29,0,Craven,2022-02-21
1,20,3,17,0,Craven,2022-02-25
1,12,2,10,0,Craven,2022-03-01
1,4,2,2,0,Craven,2022-03-05
1,8,3,5,0,Craven,2022-03-06
1,6,3,3,0,Craven,2022-03-10
1,3,2,1,0,Craven,2022-03-25
1,3,2,1,0,Craven,2022-03-29
1,10,2,8,0,Craven,2022-04-06
1,7,2,5,0,Craven,2022-04-11
1,10,4,6,0,Craven,2022-04-14
1,5,0,5,0,Craven,2022-04-16
1,7,1,6,0,Craven,2022-04-17
1,18,5,13,0,Craven,2022-04-19
1,18,4,14,0,Craven,2022-04-25
1,19,5,14,0,Craven,2022-04-26
1,8,6,2,0,Craven,2022-04-30
1,34,19,15,0,Craven,2022-05-05
1,20,12,8,0,Craven,2022-05-07
1,42,27,15,0,Craven,2022-05-13
1,44,17,27,0,Craven,2022-05-20
1,19,11,8,0,Craven,2022-06-04
1,19,6,13,0,Craven,2022-06-11
2,37,8,29,0,Craven,2021-12-26
2,72,17,55,0,Craven,2022-01-02
2,77,24,53,0,Craven,2022-01-08
2,18,2,16,0,Craven,2022-02-24
2,8,2,6,0,Craven,2022-03-03
2,18,10,8,0,Craven,2022-03-07
2,9,4,5,0,Craven,2022-03-17
2,11,3,8,0,Craven,2022-04-20
2,10,6,4,0,Craven,2022-04-21
2,41,17,24,0,Craven,2022-05-03
2,25,9,16,0,Craven,2022-05-04
2,31,18,13,0,Craven,2022-05-06
2,21,8,13,0,Craven,2022-05-08
2,40,15,25,0,Craven,2022-05-12
2,44,20,24,0,Craven,2022-05-19
2,43,19,24,0,Craven,2022-05-27
2,21,9,12,0,Craven,2022-05-29
3,32,8,24,0,Craven,2021-12-15
3,47,18,29,0,Craven,2021-12-21
3,134,33,101,0,Craven,2021-12-29
3,46,12,34,0,Craven,2022-02-05
3,59,18,41,0,Craven,2022-02-11
3,35,12,23,0,Craven,2022-02-15
3,54,15,39,0,Craven,2022-02-16
3,26,9,17,0,Craven,2022-02-22
3,25,20,5,0,Craven,2022-04-13
3,41,20,21,0,Craven,2022-05-02
3,50,22,28,0,Craven,2022-05-11
3,38,13,25,0,Craven,2022-05-22
3,24,11,13,0,Craven,2022-05-30
4,58,13,45,0,Craven,2021-12-22
4,99,27,72,0,Craven,2021-12-27
4,86,26,60,0,Craven,2022-01-09
4,87,29,58,0,Craven,2022-02-08
4,84,21,63,0,Craven,2022-02-09
4,52,27,25,0,Craven,2022-05-10
4,18,7,11,0,Craven,2022-05-15
4,31,13,18,0,Craven,2022-05-21
4,67,37,30,0,Craven,2022-05-26
4,32,7,25,0,Craven,2022-06-05
4,60,34,26,0,Craven,2022-06-08
5,131,45,86,0,Craven,2021-12-28
5,57,34,23,0,Craven,2022-05-24
5,54,28,26,0,Craven,2022-05-25
5,62,27,35,0,Craven,2022-06-01
5,52,22,30,0,Craven,2022-06-07
6,115,20,95,0,Craven,2021-12-30
6,67,28,39,0,Craven,2022-05-31
6,39,21,18,0,Craven,2022-06-03
6,71,33,38,0,Craven,2022-06-06
6,52,22,30,0,Craven,2022-06-09
7,74,22,52,0,Craven,2021-12-31
7,62,24,38,0,Craven,2022-05-16
7,31,15,16,0,Craven,2022-05-28
7,67,23,44,0,Craven,2022-06-02
8,213,54,159,0,Craven,2022-01-31
9,59,33,26,0,Craven,2022-05-09
9,44,14,30,0,Craven,2022-05-18
9,82,39,43,0,Craven,2022-05-23
10,109,32,77,0,Craven,2022-01-21
10,80,37,43,0,Craven,2022-02-10
15,216,67,149,0,Craven,2022-01-06
15,279,87,192,0,Craven,2022-01-20
17,268,97,171,0,Craven,2022-01-25
19,317,105,212,0,Craven,2022-01-12
20,280,62,218,0,Craven,2022-01-14
21,253,55,198,0,Craven,2022-01-03
25,412,130,282,0,Craven,2022-01-10
26,426,121,305,0,Craven,2022-01-19
28,304,104,200,0,Craven,2022-01-11
31,282,94,188,0,Craven,2022-01-13
0,7,1,6,0,Cumberland,2022-03-06
0,7,2,5,0,Cumberland,2022-03-13
0,11,5,6,0,Cumberland,2022-03-18
0,4,1,3,0,Cumberland,2022-03-20
0,12,1,11,0,Cumberland,2022-03-24
0,9,6,3,0,Cumberland,2022-03-27
0,10,3,7,0,Cumberland,2022-04-01
0,5,1,4,0,Cumberland,2022-04-02
0,3,0,3,0,Cumberland,2022-04-03
0,8,4,4,0,Cumberland,2022-04-17
1,41,1,40,0,Cumberland,2022-03-11
1,11,2,9,0,Cumberland,2022-03-12
1,14,2,12,0,Cumberland,2022-03-17
1,22,2,20,0,Cumberland,2022-03-22
1,14,2,12,0,Cumberland,2022-03-23
1,17,2,15,0,Cumberland,2022-03-25
1,7,2,5,0,Cumberland,2022-03-26
1,15,6,9,0,Cumberland,2022-03-29
1,10,2,8,0,Cumberland,2022-03-30
1,19,5,14,0,Cumberland,2022-04-04
1,25,6,19,0,Cumberland,2022-04-08
1,9,4,5,0,Cumberland,2022-04-09
1,11,3,8,0,Cumberland,2022-04-10
1,60,15,45,0,Cumberland,2022-05-06
1,26,10,16,0,Cumberland,2022-05-07
2,79,13,66,0,Cumberland,2021-12-18
2,30,4,26,0,Cumberland,2022-03-07
2,22,3,19,0,Cumberland,2022-03-09
2,24,5,19,0,Cumberland,2022-03-10
2,22,1,21,0,Cumberland,2022-04-06
2,22,6,16,0,Cumberland,2022-04-16
2,43,6,37,0,Cumberland,2022-04-22
3,168,30,138,0,Cumberland,2021-12-15
3,44,7,37,0,Cumberland,2022-03-01
3,14,3,11,0,Cumberland,2022-03-31
3,23,5,18,0,Cumberland,2022-04-07
3,27,0,27,0,Cumberland,2022-04-15
3,41,3,38,0,Cumberland,2022-04-21
3,37,11,26,0,Cumberland,2022-04-30
3,38,8,30,0,Cumberland,2022-06-11
4,136,21,115,0,Cumberland,2021-12-14
4,23,9,14,0,Cumberland,2022-03-08
4,38,13,25,0,Cumberland,2022-04-13
4,42,5,37,0,Cumberland,2022-04-14
4,49,20,29,0,Cumberland,2022-05-14
4,63,15,48,0,Cumberland,2022-05-21
5,66,1,65,0,Cumberland,2021-12-25
5,20,7,13,0,Cumberland,2022-04-23
5,98,19,79,0,Cumberland,2022-05-03
6,44,6,38,0,Cumberland,2022-04-20
6,35,10,25,0,Cumberland,2022-04-24
7,194,21,173,0,Cumberland,2021-12-20
7,117,17,100,0,Cumberland,2022-02-05
7,46,2,44,0,Cumberland,2022-04-18
7,62,15,47,0,Cumberland,2022-05-05
7,57,23,34,0,Cumberland,2022-05-30
7,88,10,78,0,Cumberland,2022-06-10
8,116,16,100,0,Cumberland,2022-02-15
8,35,8,27,0,Cumberland,2022-04-19
8,69,11,58,0,Cumberland,2022-04-29
8,38,7,31,0,Cumberland,2022-05-01
8,89,23,66,0,Cumberland,2022-05-04
8,75,19,56,0,Cumberland,2022-05-15
8,69,7,62,0,Cumberland,2022-05-22
8,60,20,40,0,Cumberland,2022-06-04
9,119,23,96,0,Cumberland,2022-06-09
10,115,27,88,0,Cumberland,2022-06-07
11,235,36,199,0,Cumberland,2021-12-22
11,74,11,63,0,Cumberland,2022-04-27
11,126,23,103,0,Cumberland,2022-06-08
12,122,22,100,0,Cumberland,2022-05-12
12,144,24,120,0,Cumberland,2022-05-26
12,70,16,54,0,Cumberland,2022-05-28
12,72,21,51,0,Cumberland,2022-05-29
13,123,19,104,0,Cumberland,2022-05-11
14,106,22,84,0,Cumberland,2022-02-21
14,128,26,102,0,Cumberland,2022-05-10
14,142,27,115,0,Cumberland,2022-06-06
15,103,15,88,0,Cumberland,2022-05-13
15,173,29,144,0,Cumberland,2022-05-19
15,179,38,141,0,Cumberland,2022-05-23
15,130,25,105,0,Cumberland,2022-05-27
15,99,22,77,0,Cumberland,2022-06-03
16,141,25,116,0,Cumberland,2022-05-18
17,285,41,244,0,Cumberland,2021-12-23
18,118,15,103,0,Cumberland,2022-05-20
19,158,43,115,0,Cumberland,2022-05-17
19,149,28,121,0,Cumberland,2022-05-24
22,194,34,160,0,Cumberland,2022-06-01
31,524,86,438,0,Cumberland,2021-12-27
37,488,72,416,0,Cumberland,2022-02-01
45,666,87,579,0,Cumberland,2021-12-28
48,609,61,548,0,Cumberland,2021-12-31
72,1011,108,903,0,Cumberland,2021-12-29
76,1188,195,993,0,Cumberland,2022-01-20
100,1408,122,1286,0,Cumberland,2022-01-04
,0,0,0,0,Currituck,2022-02-18
,0,0,0,0,Currituck,2022-02-19
,0,0,0,0,Currituck,2022-02-20
,0,0,0,0,Currituck,2022-02-21
,0,0,0,0,Currituck,2022-02-23
,0,0,0,0,Currituck,2022-02-25
,0,0,0,0,Currituck,2022-02-27
,0,0,0,0,Currituck,2022-03-01
,0,0,0,0,Currituck,2022-03-02
,0,0,0,0,Currituck,2022-03-07
,0,0,0,0,Currituck,2022-03-09
,0,0,0,0,Currituck,2022-03-11
,0,0,0,0,Currituck,2022-03-14
,0,0,0,0,Currituck,2022-03-15
,0,0,0,0,Currituck,2022-03-16
,0,0,0,0,Currituck,2022-03-17
,0,0,0,0,Currituck,2022-03-18
,0,0,0,0,Currituck,2022-03-19
,0,0,0,0,Currituck,2022-03-20
,0,0,0,0,Currituck,2022-03-21
,0,0,0,0,Currituck,2022-03-23
,0,0,0,0,Currituck,2022-03-24
,0,0,0,0,Currituck,2022-03-26
,0,0,0,0,Currituck,2022-03-27
,0,0,0,0,Currituck,2022-03-28
,0,0,0,0,Currituck,2022-03-29
,0,0,0,0,Currituck,2022-03-31
,0,0,0,0,Currituck,2022-04-02
,0,0,0,0,Currituck,2022-04-04
,0,0,0,0,Currituck,2022-04-05
,0,0,0,0,Currituck,2022-04-06
,0,0,0,0,Currituck,2022-04-08
,0,0,0,0,Currituck,2022-04-09
,0,0,0,0,Currituck,2022-04-10
,0,0,0,0,Currituck,2022-04-15
,0,0,0,0,Currituck,2022-04-16
,0,0,0,0,Currituck,2022-04-17
,0,0,0,0,Currituck,2022-04-18
,0,0,0,0,Currituck,2022-04-19
0,8,1,7,0,Currituck,2021-12-14
0,8,1,7,0,Currituck,2021-12-15
0,11,3,8,0,Currituck,2021-12-16
0,11,4,7,0,Currituck,2021-12-18
0,7,0,7,0,Currituck,2021-12-19
0,32,4,28,0,Currituck,2021-12-28
0,27,8,19,0,Currituck,2022-01-02
0,6,2,4,0,Currituck,2022-01-22
0,20,4,16,0,Currituck,2022-01-23
0,3,0,3,0,Currituck,2022-01-28
0,5,2,3,0,Currituck,2022-01-29
0,4,1,3,0,Currituck,2022-01-30
0,12,1,11,0,Currituck,2022-02-03
0,14,0,14,0,Currituck,2022-02-04
0,3,2,1,0,Currituck,2022-02-05
0,3,0,3,0,Currituck,2022-02-06
0,12,1,11,0,Currituck,2022-02-07
0,9,1,8,0,Currituck,2022-02-09
0,6,0,6,0,Currituck,2022-02-10
0,8,0,8,0,Currituck,2022-02-11
0,4,0,4,0,Currituck,2022-02-13
0,9,0,9,0,Currituck,2022-02-14
0,4,0,4,0,Currituck,2022-02-15
0,2,0,2,0,Currituck,2022-02-17
0,3,0,3,0,Currituck,2022-02-28
0,3,1,2,0,Currituck,2022-03-12
0,2,1,1,0,Currituck,2022-03-13
0,2,0,2,0,Currituck,2022-03-30
0,1,0,1,0,Currituck,2022-04-01
0,1,0,1,0,Currituck,2022-04-11
0,1,0,1,0,Currituck,2022-04-12
0,1,0,1,0,Currituck,2022-04-13
0,2,0,2,0,Currituck,2022-04-14
0,2,0,2,0,Currituck,2022-04-20
0,2,0,2,0,Currituck,2022-04-21
0,1,0,1,0,Currituck,2022-04-22
0,3,2,1,0,Currituck,2022-04-23
0,2,0,2,0,Currituck,2022-04-24
0,3,0,3,0,Currituck,2022-04-25
0,6,2,4,0,Currituck,2022-04-26
0,6,2,4,0,Currituck,2022-04-27
0,3,1,2,0,Currituck,2022-04-29
0,2,0,2,0,Currituck,2022-04-30
0,1,0,1,0,Currituck,2022-05-01
0,2,0,2,0,Currituck,2022-05-03
0,6,3,3,0,Currituck,2022-05-04
0,1,1,0,0,Currituck,2022-05-06
0,1,0,1,0,Currituck,2022-05-07
0,7,2,5,0,Currituck,2022-05-09
0,9,0,9,0,Currituck,2022-05-10
0,1,0,1,0,Currituck,2022-05-11
0,5,0,5,0,Currituck,2022-05-12
0,7,0,7,0,Currituck,2022-05-13
0,11,4,7,0,Currituck,2022-05-14
0,4,1,3,0,Currituck,2022-05-15
0,1,1,0,0,Currituck,2022-05-19
0,3,1,2,0,Currituck,2022-05-20
0,7,3,4,0,Currituck,2022-05-24
0,15,4,11,0,Currituck,2022-05-25
0,6,1,5,0,Currituck,2022-05-26
0,2,0,2,0,Currituck,2022-05-30
0,8,6,2,0,Currituck,2022-06-01
0,3,0,3,0,Currituck,2022-06-04
0,4,0,4,0,Currituck,2022-06-05
0,3,0,3,0,Currituck,2022-06-07
0,5,1,4,0,Currituck,2022-06-08
0,4,0,4,0,Currituck,2022-06-10
0,1,0,1,0,Currituck,2022-06-11
1,16,4,12,0,Currituck,2021-12-20
1,16,3,13,0,Currituck,2021-12-23
1,21,6,15,0,Currituck,2021-12-26
1,18,0,18,0,Currituck,2021-12-31
1,52,8,44,0,Currituck,2022-01-05
1,23,3,20,0,Currituck,2022-01-09
1,64,7,57,0,Currituck,2022-01-12
1,29,3,26,0,Currituck,2022-01-16
1,72,10,62,0,Currituck,2022-01-19
1,19,5,14,0,Currituck,2022-01-21
1,20,6,14,0,Currituck,2022-01-27
1,20,5,15,0,Currituck,2022-02-01
1,5,0,5,0,Currituck,2022-02-08
1,3,0,3,0,Currituck,2022-02-22
1,3,3,0,0,Currituck,2022-03-03
1,3,2,1,0,Currituck,2022-03-05
1,2,1,1,0,Currituck,2022-03-10
1,2,0,2,0,Currituck,2022-03-25
1,2,0,2,0,Currituck,2022-04-03
1,3,0,3,0,Currituck,2022-04-07
1,2,0,2,0,Currituck,2022-04-28
1,11,3,8,0,Currituck,2022-05-16
1,7,2,5,0,Currituck,2022-05-18
1,6,0,6,0,Currituck,2022-05-22
1,9,1,8,0,Currituck,2022-05-27
1,5,1,4,0,Currituck,2022-05-29
1,5,0,5,0,Currituck,2022-06-02
1,4,1,3,0,Currituck,2022-06-03
2,10,7,3,0,Currituck,2021-12-25
2,46,5,41,0,Currituck,2021-12-29
2,31,6,25,0,Currituck,2022-01-01
2,58,11,47,0,Currituck,2022-01-04
2,57,4,53,0,Currituck,2022-01-06
2,34,11,23,0,Currituck,2022-01-15
2,52,6,46,0,Currituck,2022-01-20
2,59,8,51,0,Currituck,2022-01-24
2,43,3,40,0,Currituck,2022-01-26
2,5,0,5,0,Currituck,2022-02-12
2,14,3,11,0,Currituck,2022-05-28
2,11,4,7,0,Currituck,2022-06-06
2,7,2,5,0,Currituck,2022-06-09
3,36,4,32,0,Currituck,2021-12-27
3,63,4,59,0,Currituck,2022-01-14
3,12,1,11,0,Currituck,2022-05-23
4,61,13,48,0,Currituck,2022-01-03
4,25,1,24,0,Currituck,2022-01-08
4,66,6,60,0,Currituck,2022-01-13
4,78,9,69,0,Currituck,2022-01-18
4,66,10,56,0,Currituck,2022-01-25
4,27,4,23,0,Currituck,2022-01-31
6,77,11,66,0,Currituck,2022-01-10
8,68,18,50,0,Currituck,2022-01-17
,0,0,0,0,Dare,2021-12-25
,0,0,0,0,Dare,2022-03-10
,0,0,0,0,Dare,2022-03-11
,0,0,0,0,Dare,2022-03-12
,0,0,0,0,Dare,2022-03-24
,0,0,0,0,Dare,2022-03-28
,0,0,0,0,Dare,2022-03-29
,0,0,0,0,Dare,2022-04-04
0,16,0,16,0,Dare,2021-12-14
0,15,1,14,0,Dare,2021-12-15
0,7,0,7,0,Dare,2021-12-18
0,25,0,25,0,Dare,2021-12-22
0,18,0,18,0,Dare,2022-01-01
0,32,0,32,0,Dare,2022-02-04
0,9,0,9,0,Dare,2022-02-05
0,11,0,11,0,Dare,2022-02-09
0,15,0,15,0,Dare,2022-02-11
0,4,0,4,0,Dare,2022-02-12
0,3,0,3,0,Dare,2022-02-19
0,4,0,4,0,Dare,2022-02-23
0,5,0,5,0,Dare,2022-02-24
0,4,0,4,0,Dare,2022-02-25
0,1,0,1,0,Dare,2022-02-27
0,3,0,3,0,Dare,2022-02-28
0,2,0,2,0,Dare,2022-03-01
0,3,0,3,0,Dare,2022-03-02
0,3,0,3,0,Dare,2022-03-04
0,2,0,2,0,Dare,2022-03-05
0,2,0,2,0,Dare,2022-03-06
0,8,0,8,0,Dare,2022-03-09
0,1,0,1,0,Dare,2022-03-14
0,3,0,3,0,Dare,2022-03-15
0,2,0,2,0,Dare,2022-03-16
0,3,0,3,0,Dare,2022-03-18
0,1,0,1,0,Dare,2022-03-19
0,2,0,2,0,Dare,2022-03-20
0,2,0,2,0,Dare,2022-03-21
0,1,0,1,0,Dare,2022-03-22
0,1,0,1,0,Dare,2022-03-25
0,1,0,1,0,Dare,2022-03-26
0,1,0,1,0,Dare,2022-03-27
0,2,1,1,0,Dare,2022-03-30
0,1,0,1,0,Dare,2022-04-01
0,1,0,1,0,Dare,2022-04-02
0,1,0,1,0,Dare,2022-04-03
0,1,0,1,0,Dare,2022-04-05
0,3,0,3,0,Dare,2022-04-06
0,2,0,2,0,Dare,2022-04-07
0,1,0,1,0,Dare,2022-04-08
0,1,0,1,0,Dare,2022-04-10
0,3,0,3,0,Dare,2022-04-11
0,1,0,1,0,Dare,2022-04-12
0,6,0,6,0,Dare,2022-04-14
0,2,0,2,0,Dare,2022-04-16
0,6,0,6,0,Dare,2022-04-18
0,2,0,2,0,Dare,2022-04-20
0,7,0,7,0,Dare,2022-04-22
0,5,0,5,0,Dare,2022-04-23
0,3,0,3,0,Dare,2022-04-24
0,8,0,8,0,Dare,2022-04-26
0,11,0,11,0,Dare,2022-04-27
0,13,0,13,0,Dare,2022-04-28
0,7,0,7,0,Dare,2022-04-29
0,7,0,7,0,Dare,2022-04-30
0,1,0,1,0,Dare,2022-05-01
0,12,1,11,0,Dare,2022-05-02
0,5,0,5,0,Dare,2022-05-07
0,17,0,17,0,Dare,2022-05-10
0,16,0,16,0,Dare,2022-05-12
0,10,0,10,0,Dare,2022-05-14
0,8,0,8,0,Dare,2022-05-15
0,13,0,13,0,Dare,2022-05-16
0,10,0,10,0,Dare,2022-05-22
0,24,2,22,0,Dare,2022-05-24
0,12,1,11,0,Dare,2022-05-26
0,12,0,12,0,Dare,2022-05-28
0,16,0,16,0,Dare,2022-06-03
0,8,0,8,0,Dare,2022-06-04
1,24,2,22,0,Dare,2021-12-20
1,30,0,30,0,Dare,2022-01-21
1,14,0,14,0,Dare,2022-01-23
1,20,0,20,0,Dare,2022-01-30
1,38,0,38,0,Dare,2022-02-01
1,21,1,20,0,Dare,2022-02-02
1,13,0,13,0,Dare,2022-02-06
1,21,2,19,0,Dare,2022-02-07
1,17,1,16,0,Dare,2022-02-08
1,14,0,14,0,Dare,2022-02-10
1,7,0,7,0,Dare,2022-02-13
1,9,0,9,0,Dare,2022-02-14
1,16,0,16,0,Dare,2022-02-15
1,12,0,12,0,Dare,2022-02-16
1,13,0,13,0,Dare,2022-02-17
1,9,0,9,0,Dare,2022-02-18
1,11,0,11,0,Dare,2022-02-21
1,6,0,6,0,Dare,2022-02-22
1,3,0,3,0,Dare,2022-03-13
1,1,0,1,0,Dare,2022-03-17
1,1,0,1,0,Dare,2022-03-31
1,2,0,2,0,Dare,2022-04-09
1,4,0,4,0,Dare,2022-04-13
1,6,0,6,0,Dare,2022-04-15
1,3,0,3,0,Dare,2022-04-17
1,7,0,7,0,Dare,2022-04-19
1,11,0,11,0,Dare,2022-05-04
1,13,0,13,0,Dare,2022-05-09
1,19,1,18,0,Dare,2022-05-13
1,9,0,9,0,Dare,2022-05-21
