state,county,date,cases_daily,deaths_daily,pct_pos,cases_confirmed_cum,deaths_confirmed_cum
North Carolina,Rowan,2020-01-26,0,0,,0,0
North Carolina,Rutherford,2020-01-26,0,0,,0,0
North Carolina,Sampson,2020-01-26,0,0,,0,0
North Carolina,Scotland,2020-01-26,0,0,,0,0
North Carolina,Stanly,2020-01-26,0,0,,0,0
North Carolina,Stokes,2020-01-26,0,0,,0,0
North Carolina,Surry,2020-01-26,0,0,,0,0
North Carolina,Swain,2020-01-26,0,0,,0,0
North Carolina,Transylvania,2020-01-26,0,0,,0,0
North Carolina,Tyrrell,2020-01-26,0,0,,0,0
North Carolina,Unassigned,2020-01-26,0,0,,0,0
North Carolina,Union,2020-01-26,0,0,,0,0
North Carolina,Vance,2020-01-26,0,0,,0,0
North Carolina,Wake,2020-01-26,0,0,,0,0
North Carolina,Warren,2020-01-26,0,0,,0,0
North Carolina,Washington,2020-01-26,0,0,,0,0
North Carolina,Watauga,2020-01-26,0,0,,0,0
