OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,GeoName,FIPS,SVI,UpdateDTS
1864,033,37033930200,1471,5376,32.4223054882081,Caswell,4437,4537,"Census Tract 9302, Caswell County, North Carolina",37033930200,0.9671,202105071931
1879,033,37033930600,1281,5212,30.3914590747331,Caswell,4067,4215,"Census Tract 9306, Caswell County, North Carolina",37033930600,0.4526,202105071931
1927,033,37033930400,654,2229,32.1218074656189,Caswell,2003,2036,"Census Tract 9304, Caswell County, North Carolina",37033930400,0.4683,202105071931
2072,033,37033930300,655,3922,20.3732503888025,Caswell,3115,3215,"Census Tract 9303, Caswell County, North Carolina",37033930300,0.7719,202105071931
2135,033,37033930500,943,3538,32.4724517906336,Caswell,2863,2904,"Census Tract 9305, Caswell County, North Carolina",37033930500,0.4461,202105071931
2136,033,37033930100,590,2407,29.3678446988552,Caswell,1930,2009,"Census Tract 9301, Caswell County, North Carolina",37033930100,0.5678,202105071931
892,035,37035010401,2031,7215,34.2842673869007,Catawba,5807,5924,"Census Tract 104.01, Catawba County, North Carolina",37035010401,0.6247,202105071931
893,035,37035010301,1380,4722,36.0219263899765,Catawba,3652,3831,"Census Tract 103.01, Catawba County, North Carolina",37035010301,0.5044,202105071931
943,035,37035010102,1277,4113,37.8482513337285,Catawba,3262,3374,"Census Tract 101.02, Catawba County, North Carolina",37035010102,0.3586,202105071931
944,035,37035010302,2071,5763,43.9516129032258,Catawba,4540,4712,"Census Tract 103.02, Catawba County, North Carolina",37035010302,0.3577,202105071931
975,035,37035011200,1343,6363,25.7378305864316,Catawba,5074,5218,"Census Tract 112, Catawba County, North Carolina",37035011200,0.6182,202105071931
983,035,37035011702,1524,7067,27.9530447542186,Catawba,5374,5452,"Census Tract 117.02, Catawba County, North Carolina",37035011702,0.3957,202105071931
1088,035,37035011101,889,3885,27.651632970451,Catawba,3115,3215,"Census Tract 111.01, Catawba County, North Carolina",37035011101,0.3674,202105071931
