OBJECTID,COUNTYFP10,GEOID10,TotalVax,TotalPop,PctTotal,NAME10,Pop18Up,Pop16Up,UpdateDTS
1539,019,37019020512,594,932,68.1192660550459,Brunswick,870,872,202105041931
1542,019,37019020506,1438,5352,32.9892177104841,Brunswick,4251,4359,202105041931
1543,019,37019020509,2094,4861,49.0513000702741,Brunswick,4157,4269,202105041931
1553,019,37019020104,1171,5816,25.5064256153344,Brunswick,4455,4591,202105041931
1554,019,37019020403,1192,5336,24.3066884176183,Brunswick,4833,4904,202105041931
1625,019,37019020405,1001,3312,33.8404327248141,Brunswick,2853,2958,202105041931
1629,019,37019020201,1146,4564,30.4787234042553,Brunswick,3638,3760,202105041931
1695,019,37019020603,890,3329,31.6951566951567,Brunswick,2717,2808,202105041931
1696,019,37019020504,948,2045,47.2111553784861,Brunswick,1984,2008,202105041931
1699,019,37019020203,566,2748,24.3022756547875,Brunswick,2189,2329,202105041931
1717,019,37019020510,749,2039,40.1178361006963,Brunswick,1792,1867,202105041931
1723,019,37019020505,837,4496,23.2564601278133,Brunswick,3458,3599,202105041931
1787,019,37019020307,,230,,Brunswick,230,230,202105041931
1794,019,37019990100,,0,,Brunswick,0,0,202105041931
1814,021,37021002000,2083,6446,38.4459210040605,Buncombe,5364,5418,202105041931
1816,021,37021001600,3059,6514,55.9129957960154,Buncombe,5358,5471,202105041931
1818,021,37021002206,2148,4829,52.0348837209302,Buncombe,4066,4128,202105041931
1822,021,37021001000,1600,4811,41.386445938955,Buncombe,3772,3866,202105041931
1823,021,37021000700,596,1605,43.6630036630037,Buncombe,1322,1365,202105041931
1824,021,37021002203,1208,4429,33.4255672385169,Buncombe,3510,3614,202105041931
1825,021,37021002204,3838,9453,47.4412855377009,Buncombe,8037,8090,202105041931
1826,021,37021002702,1655,4403,44.3224424209962,Buncombe,3718,3734,202105041931
1843,021,37021001200,1888,4903,47.9066226845978,Buncombe,3886,3941,202105041931
1844,021,37021001801,1344,3391,45.420750253464,Buncombe,2959,2959,202105041931
1845,021,37021003104,2087,6487,36.8662780427486,Buncombe,5526,5661,202105041931
1854,021,37021002301,2211,6862,38.5998603351955,Buncombe,5475,5728,202105041931
1855,021,37021000500,1827,3559,61.4324142568931,Buncombe,2832,2974,202105041931
1856,021,37021000800,1381,3454,45.2490170380079,Buncombe,2929,3052,202105041931
1857,021,37021000100,619,1445,43.2262569832402,Buncombe,1418,1432,202105041931
1860,021,37021001802,1830,5062,43.2011331444759,Buncombe,4147,4236,202105041931
1861,021,37021002205,2328,7406,39.2580101180438,Buncombe,5728,5930,202105041931
1862,021,37021002606,929,4462,27.4852071005917,Buncombe,3336,3380,202105041931
1863,021,37021003202,1512,4082,43.1137724550898,Buncombe,3348,3507,202105041931
1872,021,37021002402,1043,4943,26.9997411338338,Buncombe,3768,3863,202105041931
1877,021,37021002506,675,3655,23.9107332624867,Buncombe,2730,2823,202105041931
1903,021,37021002701,1112,3861,33.3633363336334,Buncombe,3299,3333,202105041931
1922,021,37021002302,2795,9265,36.1531496572242,Buncombe,7532,7731,202105041931
1923,021,37021003002,1991,6591,33.837525492862,Buncombe,5770,5884,202105041931
1924,021,37021002605,1361,6215,26.9718588981371,Buncombe,4892,5046,202105041931
1925,021,37021002401,644,3514,22.5411270563528,Buncombe,2742,2857,202105041931
1926,021,37021002503,871,4081,27.058092575334,Buncombe,3163,3219,202105041931
1944,021,37021003204,1629,5977,33.1771894093686,Buncombe,4744,4910,202105041931
1949,021,37021003102,1666,5518,34.4072697232548,Buncombe,4703,4842,202105041931
1986,021,37021003001,2559,9026,33.4466082864985,Buncombe,7532,7651,202105041931
1987,021,37021000900,1037,2996,42.3957481602617,Buncombe,2410,2446,202105041931
1988,021,37021002504,1136,4896,27.9527559055118,Buncombe,3858,4064,202105041931
1989,021,37021002505,1511,5313,33.901727619475,Buncombe,4371,4457,202105041931
1990,021,37021002604,1383,5787,28.0129633380595,Buncombe,4823,4937,202105041931
1991,021,37021002703,1971,6441,36.0856829000366,Buncombe,5290,5462,202105041931
2050,021,37021000600,826,1871,50.5817513778322,Buncombe,1633,1633,202105041931
2051,021,37021001900,1417,3885,43.8428217821782,Buncombe,3163,3232,202105041931
2052,021,37021001400,1684,6950,27.9177718832891,Buncombe,5875,6032,202105041931
2060,021,37021000400,1339,3899,36.8160571899918,Buncombe,3607,3637,202105041931
2061,021,37021002102,1529,5740,34.8053721830184,Buncombe,4230,4393,202105041931
2062,021,37021001300,1113,4551,30.0729532558768,Buncombe,3623,3701,202105041931
2063,021,37021001100,1974,5573,42.4516129032258,Buncombe,4445,4650,202105041931
2064,021,37021002900,708,3814,23.1221423905944,Buncombe,2959,3062,202105041931
2065,021,37021002803,879,4827,23.7631792376318,Buncombe,3490,3699,202105041931
