OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,RatePer100K,Shape__Area,Shape__Length,DataGatherTS
128,27508,331,1,2340,Bunn,"",1414.52991452991,14145.2991452991,312599782.273071,114289.902416244,202109100040
129,27509,1993,39,6935,Butner,"",2873.82840663302,28738.2840663302,507253453.414795,156294.942704551,202109100040
130,27510,979,8,14543,Carrboro,"",673.176098466616,6731.76098466616,88705554.5671387,57867.6032694508,202109100040
131,27511,2555,28,34041,Cary,"",750.565494550689,7505.65494550689,333520579.048462,98702.6527265331,202109100040
132,27513,3068,25,49003,Cary,"",626.084117298941,6260.84117298941,474399121.186279,162336.294574525,202109100040
133,27514,2142,24,32847,Chapel Hill,"",652.114348342314,6521.14348342314,579057212.663452,190879.985276748,202109100040
134,27516,2690,17,44117,Chapel Hill,"",609.742276220051,6097.42276220051,2564236091.9281,438904.079251583,202109100040
135,27517,1490,17,28831,Chapel Hill,"",516.804828136381,5168.04828136381,1520140847.99951,299162.993678501,202109100040
136,27518,1510,19,22765,Cary,"",663.298923786514,6632.98923786514,262665807.612671,130741.025823352,202109100040
137,27519,3367,10,59960,Cary,"",561.541027351568,5615.41027351568,609072010.422363,166930.324843009,202109100040
138,27520,6176,69,43958,Clayton,"",1404.97747850221,14049.7747850221,1962402119.35425,374945.851452289,202109100040
139,27521,918,10,7149,Coats,"",1284.09567771716,12840.9567771716,721041350.168091,174373.299688566,202109100040
140,27522,1440,10,13652,Creedmoor,"",1054.79050688544,10547.9050688544,2172960809.67273,361578.814896966,202109100040
141,27523,1030,2,12782,Apex,"",805.820685338758,8058.20685338758,1210964088.06177,294058.887697931,202109100040
142,27524,1942,22,13532,Four Oaks,"",1435.11676027195,14351.1676027195,3831785222.9375,530912.577014992,202109100040
143,27525,2064,4,15534,Franklinton,"",1328.69833912708,13286.9833912708,2660281050.9928,421324.476104612,202109100040
144,27526,5622,58,54027,Fuquay Varina,"",1040.59081570326,10405.9081570326,2787678657.25134,460586.982042285,202109100040
145,27527,3807,14,30234,Clayton,"",1259.17840841437,12591.7840841437,1261348608.45837,213730.175971786,202109100040
