OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,Shape__Area,Shape__Length,DataGatherTS
188,27599,NA,NA,0,Chapel Hill,Population <500 and Cases <5,4275416.30163574,15555.1510255833,202005311336
189,27601,23,0,12139,Raleigh,,49970514.2080078,41226.7428180515,202005311336
190,27603,91,0,55479,Raleigh,,1420350588.63403,346107.072534996,202005311336
191,27604,145,2,47645,Raleigh,,550434833.049927,194088.121184431,202005311336
192,27605,5,0,5253,Raleigh,,26954475.7900391,26465.2700663817,202005311336
193,27606,58,1,47938,Raleigh,,750229681.939209,267151.497057326,202005311336
194,27607,19,0,30296,Raleigh,,519162282.902344,200611.380547666,202005311336
195,27608,7,0,11603,Raleigh,,91889809.9622803,55583.7467967219,202005311336
196,27609,70,2,38631,Raleigh,,310136046.756592,95880.163026763,202005311336
197,27610,358,8,74203,Raleigh,,1211166911.84558,327751.489063642,202005311336
198,27612,39,2,39208,Raleigh,,428868509.332275,164483.082879678,202005311336
199,27613,38,0,46521,Raleigh,,675406849.409912,184431.643996557,202005311336
200,27614,31,0,37689,Raleigh,,829063194.918701,218912.319813944,202005311336
201,27615,49,0,46038,Raleigh,,525952454.993774,134192.839940925,202005311336
202,27616,145,1,55260,Raleigh,,646426991.218628,201092.505637391,202005311336
203,27617,25,0,19511,Raleigh,,230483847.672241,125016.743498849,202005311336
204,27701,99,2,26489,Durham,,147212202.097778,89264.6755119976,202005311336
205,27703,236,3,61351,Durham,,1376809528.09961,349864.156739061,202005311336
206,27704,284,3,39369,Durham,,1307759376.10449,279407.953507315,202005311336
207,27705,385,31,48078,Durham,,1155101566.94189,288440.086812307,202005311336
208,27706,NA,NA,10,Durham,Population <500 and Cases <5,1281872.18347168,6816.757693542,202005311336
209,27707,199,1,47036,Durham,,551326002.510864,228660.826032165,202005311336
210,27708,1,0,4635,Durham,,24140532.868042,39624.2440738689,202005311336
211,27709,NA,NA,4,Durham,Population <500 and Cases <5,166810196.870483,93465.8554704913,202005311336
212,27710,NA,NA,0,Durham,Population <500 and Cases <5,3645590.83996582,9509.21127183631,202005311336
213,27711,NA,NA,62,Durham,Population <500 and Cases <5,11690491.0200195,25227.7794868175,202005311336
214,27712,110,17,22055,Durham,,952678558.948486,239427.124284805,202005311336
215,27713,133,3,53996,Durham,,1004016276.63342,186930.768828538,202005311336
216,27801,52,3,21556,Rocky Mount,,1947625744.14368,298032.749540484,202005311336
217,27803,39,2,22337,Rocky Mount,,1209689022.16736,314786.382274833,202005311336
218,27804,74,0,29160,Rocky Mount,,1207912397.80139,237805.719395058,202005311336
219,27805,10,0,3769,Aulander,,3260348789.01416,427031.578041759,202005311336
220,27806,1,0,2441,Aurora,,3806890944.80762,575449.481817415,202005311336
221,27807,21,0,6940,Bailey,,1393278091.89233,266050.599193056,202005311336
222,27808,3,0,2481,Bath,,1375581489.5946,320371.987641635,202005311336
223,27809,22,1,5254,Battleboro,,2127311815.53979,418206.140952668,202005311336
224,27810,0,0,4224,Belhaven,,5320714553.85889,863428.562860575,202005311336
225,27812,6,0,2951,Bethel,,1796512894.90283,307599.921723871,202005311336
226,27813,2,0,687,Black Creek,,17954681.8726807,21851.3845296183,202005311336
227,27814,1,0,1801,Blounts Creek,,2084052221.88855,349050.345630614,202005311336
228,27816,3,0,2634,Castalia,,1727056405.90051,269780.663460198,202005311336
229,27817,5,0,7777,Chocowinity,,3011254799.10022,441922.251479678,202005311336
230,27818,4,0,1269,Como,,1775223218.97412,291672.91933713,202005311336
231,27820,15,2,3292,Conway,,1787180209.86865,300570.413456991,202005311336
232,27821,NA,NA,343,Edward,Population <500 and Cases <5,180879118.265869,102716.617789089,202005311336
233,27822,30,1,9119,Elm City,,2421416079.34338,500329.938801193,202005311336
234,27823,24,0,7812,Enfield,,5279947738.18738,591795.38238411,202005311336
235,27824,0,0,1540,Engelhard,,5755622445.56714,766498.765242208,202005311336
236,27826,0,0,1245,Fairfield,,5502010014.61365,681909.128335756,202005311336
237,27827,NA,NA,99,Falkland,Population <500 and Cases <5,6818760.54968262,12365.1347191574,202005311336
238,27828,14,0,9031,Farmville,,1954373169.79175,304535.643741104,202005311336
239,27829,5,0,1872,Fountain,,1242859232.87109,276952.810668188,202005311336
240,27830,11,1,4858,Fremont,,1661392631.86707,301522.072838785,202005311336
241,27831,7,0,3588,Garysburg,,1733783751.73071,369102.732751728,202005311336
242,27832,22,0,2912,Gaston,,1029571544.94922,217897.088475999,202005311336
243,27834,141,0,57505,Greenville,,5082356628.8689,890421.476518531,202005311336
244,27837,5,0,6506,Grimesland,,1710764546.60681,462288.004070908,202005311336
245,27839,5,0,3702,Halifax,,3728459644.54443,454921.143892168,202005311336
246,27840,5,1,535,Hamilton,,127567387.286499,59155.8177418193,202005311336
247,27841,NA,NA,84,Hassell,Population <500 and Cases <5,5972995.94189453,12505.2057352129,202005311336
248,27842,2,0,1436,Henrico,,414285932.678223,116849.514846702,202005311336
249,27843,3,0,946,Hobgood,,1458584246.23853,232329.162988765,202005311336
250,27844,10,0,3039,Hollister,,1251113401.94934,274076.283965929,202005311336
251,27845,1,0,2841,Jackson,,2842001076.66528,416912.567186113,202005311336
252,27846,3,0,3069,Jamesville,,3050744149.28796,442133.927899832,202005311336
253,27847,6,0,1071,Kelford,,1048559305.60547,265580.578438826,202005311336
254,27849,3,0,1483,Lewiston Woodville,,2062202839.65674,367759.436044123,202005311336
255,27850,11,0,7413,Littleton,,5554617534.52942,570792.398502674,202005311336
256,27851,18,0,5595,Lucama,,1253082833.57764,200836.347936783,202005311336
257,27852,10,0,3454,Macclesfield,,1418996205.83582,268041.951522527,202005311336
258,27853,NA,NA,436,Margarettsville,Population <500 and Cases <5,1061331085.73535,233986.055045062,202005311336
259,27855,15,1,6105,Murfreesboro,,1379257056.24951,246550.621363096,202005311336
260,27856,31,1,17301,Nashville,,3696764195.94336,508647.139191863,202005311336
261,27857,4,0,1601,Oak City,,2180191629.70935,354763.313675516,202005311336
262,27858,55,1,58170,Greenville,,1683129152.90881,395293.630437,202005311336
263,27860,2,0,2062,Pantego,,4384086912.80859,475177.331131482,202005311336
264,27862,1,0,945,Pendleton,,1337735767.81812,305131.144563485,202005311336
265,27863,20,0,12670,Pikeville,,1822358483.62146,414140.550515842,202005311336
266,27864,37,1,4823,Pinetops,,1058515929.69434,223861.53375515,202005311336
267,27865,2,0,2003,Pinetown,,3183419700.15735,407140.115990912,202005311336
268,27866,5,1,672,Pleasant Hill,,548856343.547363,183824.668332886,202005311336
269,27869,51,10,2167,Rich Square,,2314340977.34839,283794.508144883,202005311336
270,27870,94,1,26633,Roanoke Rapids,,1958976214.39966,237465.130853914,202005311336
271,27871,19,1,4466,Robersonville,,2640265625.23401,370404.169208956,202005311336
272,27872,NA,NA,429,Roxobel,Population <500 and Cases <5,78668396.3901367,60062.9164687203,202005311336
273,27874,7,0,4766,Scotland Neck,,3988089594.78687,425091.541566969,202005311336
274,27875,0,0,511,Scranton,,1462926064.75208,668994.049821798,202005311336
275,27876,4,0,1290,Seaboard,,1161065802.28784,286123.221519332,202005311336
276,27880,3,0,3280,Sims,,661768421.449585,178936.521495753,202005311336
277,27881,NA,NA,323,Speed,Population <500 and Cases <5,45624486.2655029,35379.3892263349,202005311336
278,27882,18,0,7927,Spring Hope,,2721376125.90833,404465.358087667,202005311336
279,27883,13,1,4361,Stantonsburg,,2149873597.18677,378850.12800901,202005311336
280,27884,0,0,1545,Stokes,,1118165618.53992,178810.199825372,202005311336
281,27885,1,0,859,Swanquarter,,3236637890.30994,778832.459471456,202005311336
282,27886,77,5,21595,Tarboro,,5534275751.92761,530150.851444626,202005311336
283,27888,8,0,2803,Walstonburg,,1661899290.0293,260588.447365408,202005311336
284,27889,23,0,27543,Washington,,4746901259.41052,624948.845007958,202005311336
285,27890,14,0,2398,Weldon,,250295126.203369,88214.5142201125,202005311336
286,27891,9,2,5011,Whitakers,,3802342458.24487,551887.618669609,202005311336
287,27892,42,2,14363,Williamston,,4740161664.64209,528153.604658045,202005311336
288,27893,200,7,40647,Wilson,,3134674028.43115,441390.734015219,202005311336
289,27896,66,0,21212,Wilson,,1013992738.34033,260787.736893695,202005311336
290,27897,26,1,2467,Woodland,,1262848506.99878,250563.523857377,202005311336
291,27909,88,11,40958,Elizabeth City,,6356628470.42627,720925.199090358,202005311336
292,27910,88,2,11609,Ahoskie,,3854004911.8667,558805.248838311,202005311336
293,27915,1,0,758,Avon,,132797325.68457,159985.858445685,202005311336
294,27916,1,0,554,Aydlett,,175446906.710938,88834.9392660151,202005311336
295,27917,1,0,1084,Barco,,583346697.773926,150643.300800981,202005311336
296,27919,0,0,1211,Belvidere,,1805677755.21484,260299.205087965,202005311336
297,27920,0,0,1415,Buxton,,251417477.481567,169552.58818934,202005311336
298,27921,0,0,5366,Camden,,2216306760.15601,371309.805402765,202005311336
299,27922,2,0,1107,Cofield,,1372106941.59424,230585.938382193,202005311336
300,27923,0,0,990,Coinjock,,442853112.258789,222994.427279021,202005311336
301,27924,25,0,3509,Colerain,,2545571117.46045,325068.518729581,202005311336
302,27925,5,0,4164,Columbia,,9421043776.67224,822613.133571787,202005311336
303,27926,3,0,1965,Corapeake,,1084179276.0813,176947.978129327,202005311336
304,27927,0,0,613,Corolla,,685869287.21875,1266393.74615984,202005311336
305,27928,3,0,1888,Creswell,,3736346955.86023,344143.792077436,202005311336
306,27929,1,0,1949,Currituck,,352573124.774658,146317.944454099,202005311336
307,27932,23,1,12644,Edenton,,3509551689.6084,391797.495792958,202005311336
308,27935,4,1,1674,Eure,,1443577833.21069,213483.780281898,202005311336
309,27936,0,0,961,Frisco,,134638106.065186,108288.074251882,202005311336
310,27937,8,0,4253,Gates,,2407949124.70361,290137.740864669,202005311336
311,27938,2,0,1430,Gatesville,,1202645918.03784,229961.178585235,202005311336
312,27939,0,0,3370,Grandy,,296874050.40332,237784.484514939,202005311336
313,27941,0,0,670,Harbinger,,66348159.842041,42125.3614314887,202005311336
314,27942,1,0,936,Harrellsville,,927451831.666504,150762.800286803,202005311336
315,27943,NA,NA,491,Hatteras,Population <500 and Cases <5,82146889.1915283,162150.406610954,202005311336
316,27944,18,1,12230,Hertford,,5013940953.42065,828274.577378666,202005311336
317,27946,4,0,1089,Hobbsville,,1234977495.96777,250163.996071758,202005311336
318,27947,0,0,845,Jarvisburg,,181991023.044922,117825.87149715,202005311336
319,27948,2,0,12518,Kill Devil Hills,,288939959.776123,266090.270790261,202005311336
320,27949,7,0,7235,Kitty Hawk,,426732703.740967,296487.581606319,202005311336
321,27950,1,0,2183,Knotts Island,,1009906812.90234,393684.159837613,202005311336
322,27953,0,0,992,Manns Harbor,,4841742826.08521,775886.839802653,202005311336
323,27954,0,0,6405,Manteo,,346159524.466309,171104.045001834,202005311336
324,27956,NA,NA,328,Maple,Population <500 and Cases <5,91616147.3259277,62675.9008746753,202005311336
325,27957,7,0,1419,Merry Hill,,1345289022.66797,219570.3989813,202005311336
326,27958,8,0,12061,Moyock,,2191273226.67993,258895.732965411,202005311336
327,27959,5,1,2451,Nags Head,,464337538.219238,468359.824712585,202005311336
328,27960,0,0,899,Ocracoke,,272996211.932129,221416.979930584,202005311336
329,27962,16,0,7439,Plymouth,,2248894843.11377,323982.422404071,202005311336
330,27964,0,0,653,Point Harbor,,40700993.1791992,29044.1496807834,202005311336
331,27965,0,0,611,Poplar Branch,,362463348.010742,286670.577035681,202005311336
332,27966,1,0,1473,Powells Point,,310362212.773438,140593.315765635,202005311336
333,27968,NA,NA,413,Rodanthe,Population <500 and Cases <5,255307311.38855,376970.397727617,202005311336
334,27970,10,3,3214,Roper,,3979984913.95898,386215.845703473,202005311336
335,27972,NA,NA,196,Salvo,Population <500 and Cases <5,25839959.5158691,77591.8753697891,202005311336
336,27973,0,0,1493,Shawboro,,1350823542.63281,279776.313560853,202005311336
337,27974,0,0,1375,Shiloh,,1282875105.52026,448552.234751615,202005311336
338,27976,2,0,3561,South Mills,,2739484648.62012,348819.066033239,202005311336
339,27978,NA,NA,221,Stumpy Point,Population <500 and Cases <5,3250437066.68713,488663.160212976,202005311336
340,27979,2,0,1813,Sunbury,,2196378526.26221,272849.595585558,202005311336
341,27980,0,0,2075,Tyner,,1319096560.03711,208839.628959427,202005311336
342,27981,0,0,1863,Wanchese,,183167116.380371,177755.254740471,202005311336
343,27982,NA,NA,0,Waves,Population <500 and Cases <5,5381164.09509277,11228.317119066,202005311336
344,27983,60,2,10633,Windsor,,9431469996.22351,861662.756904591,202005311336
345,27986,24,0,2650,Winton,,374234308.870117,153016.850399202,202005311336
346,28001,30,4,28360,Albemarle,,3791255242.38873,479491.354130006,202005311336
347,28006,0,0,1136,Alexis,,126883649.701416,88485.0702727942,202005311336
348,28012,25,0,24276,Belmont,,865729022.118042,170607.841876971,202005311336
349,28016,16,0,14526,Bessemer City,,1271825919.55414,236943.686135101,202005311336
350,28018,5,0,5943,Bostic,,2694770404.83051,433562.153950885,202005311336
351,28020,1,0,2464,Casar,,1475633951.64899,260515.821792163,202005311336
352,28021,21,0,13436,Cherryville,,1626380587.60425,391038.422631114,202005311336
353,28023,22,0,14843,China Grove,,1273875684.14087,277795.952246167,202005311336
