OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length,DataGatherTS
210,27708,2,0,4635,Durham,"",4.31499460625674,24140532.868042,39624.2440738689,202008131655
211,27709,17,0,4,Durham,"",,166810196.870483,93465.8554704913,202008131655
212,27710,,,0,Durham,Population <500 and Cases <5,,3645590.83996582,9509.21127183631,202008131655
213,27711,,,62,Durham,Population <500 and Cases <5,,11690491.0200195,25227.7794868175,202008131655
214,27712,326,20,22055,Durham,"",147.81228746316,952678558.948486,239427.124284805,202008131655
215,27713,620,4,53996,Durham,"",114.823320245944,1004016276.63342,186930.768828538,202008131655
216,27801,231,6,21556,Rocky Mount,"",107.1627389126,1947625744.14368,298032.749540484,202008131655
217,27803,212,3,22337,Rocky Mount,"",94.9097909298473,1209689022.16736,314786.382274833,202008131655
218,27804,379,4,29160,Rocky Mount,"",129.97256515775,1207912397.80139,237805.719395058,202008131655
219,27805,46,0,3769,Aulander,"",122.048288670735,3260348789.01416,427031.578041759,202008131655
220,27806,10,0,2441,Aurora,"",40.9668168783286,3806890944.80762,575449.481817415,202008131655
221,27807,166,2,6940,Bailey,"",239.193083573487,1393278091.89233,266050.599193056,202008131655
222,27808,23,0,2481,Bath,"",92.7045546150746,1375581489.5946,320371.987641635,202008131655
223,27809,73,1,5254,Battleboro,"",138.941758660069,2127311815.53979,418206.140952668,202008131655
224,27810,24,0,4224,Belhaven,"",56.8181818181818,5320714553.85889,863428.562860575,202008131655
225,27812,32,0,2951,Bethel,"",108.437817688919,1796512894.90283,307599.921723871,202008131655
226,27813,5,0,687,Black Creek,"",72.7802037845706,17954681.8726807,21851.3845296183,202008131655
227,27814,12,0,1801,Blounts Creek,"",66.6296501943365,2084052221.88855,349050.345630614,202008131655
228,27816,28,0,2634,Castalia,"",106.302201974184,1727056405.90051,269780.663460198,202008131655
229,27817,64,0,7777,Chocowinity,"",82.2939436800823,3011254799.10022,441922.251479678,202008131655
230,27818,17,0,1269,Como,"",133.963750985028,1775223218.97412,291672.91933713,202008131655
231,27820,36,2,3292,Conway,"",109.356014580802,1787180209.86865,300570.413456991,202008131655
232,27821,,,343,Edward,Population <500 and Cases <5,,180879118.265869,102716.617789089,202008131655
233,27822,110,2,9119,Elm City,"",120.627261761158,2421416079.34338,500329.938801193,202008131655
234,27823,122,0,7812,Enfield,"",156.169994879672,5279947738.18738,591795.38238411,202008131655
235,27824,11,0,1540,Engelhard,"",71.4285714285714,5755622445.56714,766498.765242208,202008131655
236,27826,3,0,1245,Fairfield,"",24.0963855421687,5502010014.61365,681909.128335756,202008131655
237,27827,,,99,Falkland,Population <500 and Cases <5,,6818760.54968262,12365.1347191574,202008131655
238,27828,84,0,9031,Farmville,"",93.0129553759273,1954373169.79175,304535.643741104,202008131655
239,27829,11,1,1872,Fountain,"",58.7606837606838,1242859232.87109,276952.810668188,202008131655
240,27830,48,1,4858,Fremont,"",98.8060930424043,1661392631.86707,301522.072838785,202008131655
241,27831,52,0,3588,Garysburg,"",144.927536231884,1733783751.73071,369102.732751728,202008131655
242,27832,51,0,2912,Gaston,"",175.137362637363,1029571544.94922,217897.088475999,202008131655
243,27834,811,4,57505,Greenville,"",141.031214676985,5082356628.8689,890421.476518531,202008131655
244,27837,50,0,6506,Grimesland,"",76.8521364893944,1710764546.60681,462288.004070908,202008131655
245,27839,23,0,3702,Halifax,"",62.1285791464074,3728459644.54443,454921.143892168,202008131655
246,27840,12,2,535,Hamilton,"",224.299065420561,127567387.286499,59155.8177418193,202008131655
247,27841,,,84,Hassell,Population <500 and Cases <5,,5972995.94189453,12505.2057352129,202008131655
248,27842,11,0,1436,Henrico,"",76.6016713091922,414285932.678223,116849.514846702,202008131655
249,27843,12,0,946,Hobgood,"",126.849894291755,1458584246.23853,232329.162988765,202008131655
250,27844,67,0,3039,Hollister,"",220.467258966765,1251113401.94934,274076.283965929,202008131655
251,27845,13,0,2841,Jackson,"",45.7585357268567,2842001076.66528,416912.567186113,202008131655
252,27846,21,0,3069,Jamesville,"",68.4261974584555,3050744149.28796,442133.927899832,202008131655
253,27847,9,0,1071,Kelford,"",84.0336134453782,1048559305.60547,265580.578438826,202008131655
254,27849,11,0,1483,Lewiston Woodville,"",74.173971679029,2062202839.65674,367759.436044123,202008131655
255,27850,45,0,7413,Littleton,"",60.7041683528936,5554617534.52942,570792.398502674,202008131655
256,27851,88,0,5595,Lucama,"",157.283288650581,1253082833.57764,200836.347936783,202008131655
257,27852,30,0,3454,Macclesfield,"",86.8558193398958,1418996205.83582,268041.951522527,202008131655
258,27853,8,0,436,Margarettsville,"",183.48623853211,1061331085.73535,233986.055045062,202008131655
259,27855,74,1,6105,Murfreesboro,"",121.212121212121,1379257056.24951,246550.621363096,202008131655
260,27856,165,2,17301,Nashville,"",95.3702098144616,3696764195.94336,508647.139191863,202008131655
261,27857,33,1,1601,Oak City,"",206.121174266084,2180191629.70935,354763.313675516,202008131655
262,27858,592,4,58170,Greenville,"",101.770672167784,1683129152.90881,395293.630437,202008131655
263,27860,36,0,2062,Pantego,"",174.58777885548,4384086912.80859,475177.331131482,202008131655
264,27862,2,0,945,Pendleton,"",21.1640211640212,1337735767.81812,305131.144563485,202008131655
265,27863,114,0,12670,Pikeville,"",89.9763220205209,1822358483.62146,414140.550515842,202008131655
266,27864,75,1,4823,Pinetops,"",155.504872486005,1058515929.69434,223861.53375515,202008131655
