state,county,date,cases_confirmed_cum,cases_daily,deaths_confirmed_cum,deaths_daily
North Carolina,Alleghany,3/16/2020,0,0,0,0
North Carolina,Alleghany,3/17/2020,0,0,0,0
North Carolina,Alleghany,3/18/2020,0,0,0,0
North Carolina,Anson,1/22/2020,0,0,0,0
North Carolina,Anson,1/23/2020,0,0,0,0
North Carolina,Anson,1/24/2020,0,0,0,0
North Carolina,Anson,1/25/2020,0,0,0,0
North Carolina,Anson,1/26/2020,0,0,0,0
North Carolina,Anson,1/27/2020,0,0,0,0
North Carolina,Anson,1/28/2020,0,0,0,0
North Carolina,Anson,1/29/2020,0,0,0,0
North Carolina,Anson,1/30/2020,0,0,0,0
North Carolina,Anson,1/31/2020,0,0,0,0
North Carolina,Anson,2/1/2020,0,0,0,0
North Carolina,Anson,2/2/2020,0,0,0,0
North Carolina,Anson,2/3/2020,0,0,0,0
North Carolina,Anson,2/4/2020,0,0,0,0
North Carolina,Anson,2/5/2020,0,0,0,0
North Carolina,Anson,2/6/2020,0,0,0,0
North Carolina,Anson,2/7/2020,0,0,0,0
North Carolina,Anson,2/8/2020,0,0,0,0
North Carolina,Anson,2/9/2020,0,0,0,0
North Carolina,Anson,2/10/2020,0,0,0,0
North Carolina,Anson,2/11/2020,0,0,0,0
North Carolina,Anson,2/12/2020,0,0,0,0
North Carolina,Anson,2/13/2020,0,0,0,0
North Carolina,Anson,2/14/2020,0,0,0,0
North Carolina,Anson,2/15/2020,0,0,0,0
North Carolina,Anson,2/16/2020,0,0,0,0
North Carolina,Anson,2/17/2020,0,0,0,0
North Carolina,Anson,2/18/2020,0,0,0,0
North Carolina,Anson,2/19/2020,0,0,0,0
North Carolina,Anson,2/20/2020,0,0,0,0
North Carolina,Anson,2/21/2020,0,0,0,0
North Carolina,Anson,2/22/2020,0,0,0,0
North Carolina,Anson,2/23/2020,0,0,0,0
North Carolina,Anson,2/24/2020,0,0,0,0
North Carolina,Anson,2/25/2020,0,0,0,0
North Carolina,Anson,2/26/2020,0,0,0,0
North Carolina,Anson,2/27/2020,0,0,0,0
North Carolina,Anson,2/28/2020,0,0,0,0
North Carolina,Anson,2/29/2020,0,0,0,0
North Carolina,Anson,3/1/2020,0,0,0,0
North Carolina,Anson,3/2/2020,0,0,0,0
North Carolina,Anson,3/3/2020,0,0,0,0
North Carolina,Anson,3/4/2020,0,0,0,0
North Carolina,Anson,3/5/2020,0,0,0,0
North Carolina,Anson,3/6/2020,0,0,0,0
North Carolina,Anson,3/7/2020,0,0,0,0
North Carolina,Anson,3/8/2020,0,0,0,0
North Carolina,Anson,3/9/2020,0,0,0,0
North Carolina,Anson,3/10/2020,0,0,0,0
North Carolina,Anson,3/11/2020,0,0,0,0
North Carolina,Anson,3/12/2020,0,0,0,0
North Carolina,Anson,3/13/2020,0,0,0,0
North Carolina,Anson,3/14/2020,0,0,0,0
